Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_09.47.40",7.042632000000001,43.618801,4G,LTE,-112.0,-7.0,10.0,11.0,-59.0,0.0,0.0,164.0,164.0,D,LOG START,4Iq
"
2022.11.23_09.47.41",7.0426850000000005,43.618836,4G,LTE,-112.0,-7.0,10.0,11.0,-59.0,0.0,0.0,164.0,164.0,D,,4Iq
"
2022.11.23_09.47.41",7.0426850000000005,43.618836,4G,LTE,-113.0,-13.0,10.0,10.0,-113.0,6.0,105.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.42",7.0426850000000005,43.618836,4G,LTE,-113.0,-13.0,10.0,10.0,-113.0,0.0,0.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.43",7.0426850000000005,43.618836,4G,LTE,-111.0,-6.0,14.0,11.0,-59.0,1.0,1.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.44",7.0426850000000005,43.618836,4G,LTE,-111.0,-6.0,14.0,11.0,-59.0,2.0,107.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.45",7.0426850000000005,43.618836,4G,LTE,-113.0,-6.0,8.0,5.0,-59.0,80.0,39.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.46",7.0426850000000005,43.618836,4G,LTE,-113.0,-6.0,8.0,5.0,-59.0,111.0,60.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.47",7.0426850000000005,43.618836,4G,LTE,-112.0,-8.0,10.0,11.0,-57.0,87.0,38.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.48",7.0426850000000005,43.618836,4G,LTE,-112.0,-8.0,10.0,11.0,-57.0,136.0,122.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.49",7.0426850000000005,43.618836,4G,LTE,-112.0,-12.0,11.0,10.0,-113.0,12.0,2.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.50",7.0426850000000005,43.618836,4G,LTE,-112.0,-12.0,11.0,10.0,-113.0,129.0,53.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.51",7.0426850000000005,43.618836,4G,LTE,-112.0,-13.0,10.0,5.0,-113.0,18.0,98.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.52",7.0426850000000005,43.618836,4G,LTE,-112.0,-13.0,10.0,5.0,-113.0,7.0,86.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.53",7.0426850000000005,43.618836,4G,LTE,-113.0,-6.0,9.0,10.0,-59.0,0.0,0.0,164.0,164.0,I,PERIODIC,4Iq
"
2022.11.23_09.47.54",7.0426850000000005,43.618836,4G,LTE,-113.0,-6.0,9.0,10.0,-59.0,54.0,38.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.55",7.042565,43.618869000000004,4G,LTE,-113.0,-6.0,9.0,10.0,-59.0,54.0,38.0,164.0,164.0,D,,4Iq
"
2022.11.23_09.47.55",7.042565,43.618869000000004,4G,LTE,-111.0,-11.0,7.0,6.0,-111.0,4.0,107.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.56",7.042565,43.618869000000004,4G,LTE,-111.0,-11.0,7.0,6.0,-111.0,4.0,24.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.57",7.042565,43.618869000000004,4G,LTE,-112.0,-11.0,10.0,10.0,-111.0,0.0,0.0,164.0,164.0,I,PERIODIC,4Iq
"
2022.11.23_09.47.58",7.042565,43.618869000000004,4G,LTE,-112.0,-11.0,10.0,10.0,-111.0,7.0,4.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.47.59",7.042565,43.618869000000004,4G,LTE,-112.0,-12.0,11.0,10.0,-111.0,4.0,2.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.00",7.042565,43.618869000000004,4G,LTE,-112.0,-12.0,11.0,10.0,-111.0,69.0,32.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.01",7.042565,43.618869000000004,4G,LTE,-111.0,-7.0,9.0,6.0,-57.0,5238.0,75.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.02",7.042565,43.618869000000004,4G,LTE,-111.0,-7.0,9.0,6.0,-57.0,2831.0,249.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.03",7.042565,43.618869000000004,4G,LTE,-112.0,-7.0,9.0,6.0,-57.0,8401.0,318.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.04",7.042565,43.618869000000004,4G,LTE,-112.0,-7.0,9.0,6.0,-57.0,23742.0,163.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.05",7.042565,43.618869000000004,4G,LTE,-112.0,-8.0,11.0,6.0,-53.0,15729.0,128.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.06",7.042565,43.618869000000004,4G,LTE,-112.0,-8.0,11.0,6.0,-53.0,39667.0,221.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.07",7.042565,43.618869000000004,4G,LTE,-113.0,-12.0,12.0,7.0,-113.0,31594.0,208.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.08",7.042565,43.618869000000004,4G,LTE,-113.0,-12.0,12.0,7.0,-113.0,35579.0,211.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.09",7.042565,43.618869000000004,4G,LTE,-112.0,-12.0,12.0,7.0,-51.0,30276.0,165.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.10",7.042565,43.618869000000004,4G,LTE,-112.0,-12.0,12.0,7.0,-51.0,26003.0,145.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.11",7.042565,43.618869000000004,4G,LTE,-116.0,-12.0,9.0,9.0,-57.0,26057.0,147.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.12",7.042427,43.618854,4G,LTE,-116.0,-12.0,9.0,9.0,-57.0,26057.0,147.0,164.0,164.0,D,,4Iq
"
2022.11.23_09.48.12",7.042427,43.618854,4G,LTE,-116.0,-12.0,9.0,9.0,-57.0,22651.0,139.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.13",7.042427,43.618854,4G,LTE,-116.0,-13.0,8.0,6.0,-57.0,29214.0,167.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.14",7.042427,43.618854,4G,LTE,-116.0,-13.0,8.0,6.0,-57.0,2184.0,25.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.15",7.042427,43.618854,4G,LTE,-114.0,-12.0,9.0,6.0,-53.0,34141.0,190.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.16",7.042427,43.618854,4G,LTE,-114.0,-12.0,9.0,6.0,-53.0,1166.0,12.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.17",7.042427,43.618854,4G,LTE,-114.0,-13.0,9.0,5.0,-51.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.18",7.042427,43.618854,4G,LTE,-114.0,-13.0,9.0,5.0,-51.0,28262.0,207.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.19",7.042427,43.618854,4G,LTE,-114.0,-12.0,6.0,7.0,-53.0,2927.0,21.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.20",7.042427,43.618854,4G,LTE,-114.0,-12.0,6.0,7.0,-53.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.21",7.042427,43.618854,4G,LTE,-115.0,-13.0,10.0,7.0,-55.0,31340.0,171.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.22",7.042427,43.618854,4G,LTE,-115.0,-13.0,10.0,7.0,-55.0,3747.0,25.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.23",7.042427,43.618854,4G,LTE,-113.0,-8.0,11.0,11.0,-57.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.24",7.042427,43.618854,4G,LTE,-113.0,-8.0,11.0,11.0,-57.0,17600.0,113.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.25",7.042427,43.618854,4G,LTE,-115.0,-11.0,7.0,9.0,-57.0,5250.0,32.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.26",7.042427,43.618854,4G,LTE,-115.0,-11.0,7.0,9.0,-57.0,12442.0,76.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.27",7.042427,43.618854,4G,LTE,-114.0,-7.0,8.0,5.0,-61.0,22902.0,122.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.28",7.042427,43.618854,4G,LTE,-114.0,-7.0,8.0,5.0,-61.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.29",7.042427,43.618854,4G,LTE,-113.0,-7.0,-12.0,1.0,-59.0,693.0,18.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.30",7.042427,43.618854,4G,LTE,-113.0,-7.0,-12.0,1.0,-59.0,25149.0,134.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.31",7.042427,43.618854,4G,LTE,-113.0,-7.0,7.0,10.0,-59.0,6.0,15.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.32",7.042427,43.618854,4G,LTE,-113.0,-7.0,7.0,10.0,-59.0,35596.0,242.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.33",7.042427,43.618854,4G,LTE,-114.0,-8.0,7.0,5.0,-61.0,4.0,6.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.34",7.042427,43.618854,4G,LTE,-114.0,-8.0,7.0,5.0,-61.0,5.0,13.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.35",7.042427,43.618854,4G,LTE,-114.0,-13.0,7.0,5.0,-51.0,35101.0,204.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.36",7.042427,43.618854,4G,LTE,-114.0,-13.0,7.0,5.0,-51.0,4327.0,36.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.37",7.042427,43.618854,4G,LTE,-113.0,-12.0,7.0,6.0,-51.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.38",7.042427,43.618854,4G,LTE,-113.0,-12.0,7.0,6.0,-51.0,4.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.39",7.042427,43.618854,4G,LTE,-114.0,-10.0,8.0,8.0,-55.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.40",7.042427,43.618854,4G,LTE,-114.0,-10.0,8.0,8.0,-55.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.41",7.042427,43.618854,4G,LTE,-112.0,-8.0,12.0,7.0,-53.0,19230.0,113.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.42",7.042427,43.618854,4G,LTE,-112.0,-8.0,12.0,7.0,-53.0,16186.0,95.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.43",7.042427,43.618854,4G,LTE,-113.0,-13.0,9.0,10.0,-51.0,5.0,6.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.44",7.042427,43.618854,4G,LTE,-113.0,-13.0,9.0,10.0,-51.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.45",7.042427,43.618854,4G,LTE,-113.0,-12.0,10.0,10.0,-53.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.46",7.042427,43.618854,4G,LTE,-113.0,-12.0,10.0,10.0,-53.0,37.0,36.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.47",7.042427,43.618854,4G,LTE,-114.0,-12.0,9.0,5.0,-53.0,6.0,12.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.48",7.042427,43.618854,4G,LTE,-114.0,-12.0,9.0,5.0,-53.0,2315.0,79.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.49",7.042427,43.618854,4G,LTE,-111.0,-10.0,7.0,10.0,-51.0,1720.0,136.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.50",7.042427,43.618854,4G,LTE,-111.0,-10.0,7.0,10.0,-51.0,160.0,17.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.51",7.042427,43.618854,4G,LTE,-112.0,-13.0,13.0,5.0,-111.0,35368.0,183.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.52",7.042427,43.618854,4G,LTE,-112.0,-13.0,13.0,5.0,-111.0,2.0,6.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.53",7.042427,43.618854,4G,LTE,-113.0,-6.0,9.0,6.0,-61.0,7.0,7.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.54",7.042427,43.618854,4G,LTE,-113.0,-6.0,9.0,6.0,-61.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.55",7.042427,43.618854,4G,LTE,-114.0,-11.0,9.0,6.0,-55.0,28352.0,158.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.56",7.042427,43.618854,4G,LTE,-114.0,-11.0,9.0,6.0,-55.0,3.0,5.0,164.0,164.0,D,PERIODIC,4Iq
"
2022.11.23_09.48.57",7.042427,43.618854,4G,LTE,-113.0,-9.0,9.0,11.0,-55.0,4.0,5.0,164.0,164.0,D,PERIODIC,4Iq
