Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_13.42.05",7.068967999999999,43.615327,4G,LTE,-98.0,-13.0,-10.0,12.0,-99.0,0.0,0.0,168.0,168.0,I,LOG START,4Iso
"
2022.11.23_13.42.05",7.068967999999999,43.615327,4G,LTE,-98.0,-13.0,-10.0,12.0,-99.0,0.0,0.0,168.0,168.0,I,PERIODIC,4Iso
"
2022.11.23_13.42.06",7.068983,43.615322,4G,LTE,-98.0,-13.0,-10.0,12.0,-99.0,0.0,0.0,168.0,168.0,I,,4Iso
"
2022.11.23_13.42.07",7.068983,43.615322,4G,LTE,-98.0,-13.0,-10.0,12.0,-99.0,0.0,0.0,168.0,168.0,I,PERIODIC,4Iso
"
2022.11.23_13.42.07",7.068983,43.615322,4G,LTE,-100.0,-14.0,-9.0,7.0,-99.0,20.0,29.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.08",7.068983,43.615322,4G,LTE,-100.0,-14.0,-9.0,7.0,-103.0,297.0,98.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.09",7.068983,43.615322,4G,LTE,-102.0,-14.0,9.0,11.0,-103.0,56.0,7.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.10",7.068983,43.615322,4G,LTE,-102.0,-14.0,9.0,11.0,-103.0,53.0,2.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.12",7.068983,43.615322,4G,LTE,-101.0,-13.0,6.0,9.0,-103.0,11.0,4.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.13",7.068983,43.615322,4G,LTE,-101.0,-13.0,6.0,9.0,-103.0,169.0,94.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.13",7.068983,43.615322,4G,LTE,-101.0,-13.0,4.0,8.0,-103.0,101.0,32.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.14",7.068983,43.615322,4G,LTE,-101.0,-13.0,4.0,8.0,-103.0,0.0,0.0,168.0,168.0,I,PERIODIC,4Iso
"
2022.11.23_13.42.15",7.068983,43.615322,4G,LTE,-101.0,-13.0,4.0,8.0,-99.0,12.0,9.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.16",7.068983,43.615322,4G,LTE,-101.0,-13.0,4.0,8.0,-99.0,0.0,0.0,168.0,168.0,I,PERIODIC,4Iso
"
2022.11.23_13.42.18",7.068983,43.615322,4G,LTE,-99.0,-14.0,6.0,9.0,-99.0,0.0,0.0,168.0,168.0,I,PERIODIC,4Iso
"
2022.11.23_13.42.18",7.068983,43.615322,4G,LTE,-99.0,-14.0,6.0,9.0,-103.0,68.0,157.0,168.0,168.0,D,PERIODIC,4Iso
"
2022.11.23_13.42.19",7.068983,43.615322,4G,LTE,-105.0,-14.0,5.0,9.0,-105.0,90.0,167.0,168.0,168.0,D,PERIODIC,4Iso
