Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.24_17.25.27",7.0689839999999995,43.615296,5G,5G,-122.0,-9.0,-3.0,10.0,-,0.0,0.0,181.0,181.0,I,LOG START,-114.0,-13.0,3.0,5I24o
"
2022.10.24_17.25.27",7.068953,43.615278,5G,5G,-121.0,-9.0,-2.0,10.0,-,0.0,0.0,180.0,180.0,I,,-114.0,-13.0,3.0,5I24o
"
2022.10.24_17.25.27",7.068953,43.615278,5G,5G,-121.0,-9.0,-2.0,10.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-114.0,-13.0,3.0,5I24o
"
2022.10.24_17.25.28",7.068953,43.615278,5G,5G,-121.0,-9.0,-2.0,10.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-114.0,-13.0,3.0,5I24o
"
2022.10.24_17.25.30",7.068953,43.615278,5G,5G,-121.0,-9.0,-3.0,14.0,-,3.0,27.0,180.0,180.0,D,PERIODIC,-107.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.31",7.068953,43.615278,5G,5G,-124.0,-12.0,-4.0,14.0,-,601.0,311.0,180.0,180.0,D,PERIODIC,-107.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.32",7.068953,43.615278,5G,5G,-125.0,-12.0,-5.0,8.0,-,507.0,228.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,3.0,5I24o
"
2022.10.24_17.25.32",7.068953,43.615278,5G,5G,-125.0,-12.0,-5.0,8.0,-,187.0,149.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,3.0,5I24o
"
2022.10.24_17.25.34",7.068953,43.615278,5G,5G,-125.0,-12.0,-5.0,7.0,-,67.0,178.0,180.0,180.0,D,PERIODIC,-116.0,-13.0,-1.0,5I24o
"
2022.10.24_17.25.35",7.068953,43.615278,5G,5G,-126.0,-11.0,-3.0,7.0,-,4.0,2.0,180.0,180.0,D,PERIODIC,-116.0,-13.0,-1.0,5I24o
"
2022.10.24_17.25.36",7.068953,43.615278,5G,5G,-126.0,-11.0,-3.0,9.0,-,56.0,15.0,180.0,180.0,D,PERIODIC,-110.0,-11.0,4.0,5I24o
"
2022.10.24_17.25.37",7.068953,43.615278,5G,5G,-122.0,-10.0,-3.0,9.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-110.0,-11.0,4.0,5I24o
"
2022.10.24_17.25.38",7.068953,43.615278,5G,5G,-122.0,-10.0,-3.0,8.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-114.0,-13.0,4.0,5I24o
"
2022.10.24_17.25.39",7.068953,43.615278,5G,5G,-122.0,-10.0,-3.0,8.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-114.0,-13.0,4.0,5I24o
"
2022.10.24_17.25.40",7.068953,43.615278,5G,5G,-122.0,-9.0,-1.0,5.0,-,24.0,8.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,3.0,5I24o
"
2022.10.24_17.25.41",7.068953,43.615278,5G,5G,-122.0,-9.0,-1.0,5.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,3.0,5I24o
"
2022.10.24_17.25.42",7.068953,43.615278,5G,5G,-122.0,-9.0,-1.0,9.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-112.0,-13.0,7.0,5I24o
"
2022.10.24_17.25.43",7.068953,43.615278,5G,5G,-118.0,-6.0,-1.0,9.0,-,6.0,25.0,180.0,180.0,D,PERIODIC,-112.0,-13.0,7.0,5I24o
"
2022.10.24_17.25.44",7.068953,43.615278,5G,5G,-118.0,-6.0,-1.0,9.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,9.0,5I24o
"
2022.10.24_17.25.45",7.068953,43.615278,5G,5G,-121.0,-9.0,-2.0,9.0,-,75.0,88.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,9.0,5I24o
"
2022.10.24_17.25.46",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,14.0,-,418.0,58.0,180.0,180.0,D,PERIODIC,-107.0,-9.0,6.0,5I24o
"
2022.10.24_17.25.47",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,14.0,-,1558.0,308.0,180.0,180.0,D,PERIODIC,-107.0,-9.0,6.0,5I24o
"
2022.10.24_17.25.48",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,5880.0,301.0,180.0,180.0,D,PERIODIC,-113.0,-10.0,8.0,5I24o
"
2022.10.24_17.25.49",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,16086.0,91.0,180.0,180.0,D,PERIODIC,-113.0,-10.0,8.0,5I24o
"
2022.10.24_17.25.50",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,10.0,-,23866.0,202.0,180.0,180.0,D,PERIODIC,-113.0,-11.0,6.0,5I24o
"
2022.10.24_17.25.51",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,10.0,-,6064.0,53.0,180.0,180.0,D,PERIODIC,-113.0,-11.0,6.0,5I24o
"
2022.10.24_17.25.52",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,4.0,6.0,180.0,180.0,D,PERIODIC,-113.0,-9.0,6.0,5I24o
"
2022.10.24_17.25.53",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,10895.0,104.0,180.0,180.0,D,PERIODIC,-113.0,-9.0,6.0,5I24o
"
2022.10.24_17.25.54",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,10.0,-,49644.0,272.0,180.0,180.0,D,PERIODIC,-113.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.55",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,10.0,-,5.0,5.0,180.0,180.0,D,PERIODIC,-113.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.56",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,4.0,20.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.57",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,11.0,7.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,6.0,5I24o
"
2022.10.24_17.25.58",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,6.0,14.0,180.0,180.0,D,PERIODIC,-114.0,-9.0,7.0,5I24o
"
2022.10.24_17.25.59",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,3.0,5.0,180.0,180.0,D,PERIODIC,-114.0,-9.0,7.0,5I24o
"
2022.10.24_17.26.00",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,13.0,-,3.0,13.0,180.0,180.0,D,PERIODIC,-113.0,-9.0,7.0,5I24o
"
2022.10.24_17.26.01",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,13.0,-,38960.0,214.0,180.0,180.0,D,PERIODIC,-113.0,-9.0,7.0,5I24o
"
2022.10.24_17.26.02",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,4.0,6.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,5.0,5I24o
"
2022.10.24_17.26.03",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,10.0,18.0,180.0,180.0,D,PERIODIC,-114.0,-11.0,5.0,5I24o
"
2022.10.24_17.26.04",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,3.0,5.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,7.0,5I24o
"
2022.10.24_17.26.05",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,11.0,-,35396.0,190.0,180.0,180.0,D,PERIODIC,-114.0,-12.0,7.0,5I24o
"
2022.10.24_17.26.06",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,4.0,5.0,180.0,180.0,D,PERIODIC,-114.0,-13.0,7.0,5I24o
"
2022.10.24_17.26.07",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,9.0,-,14906.0,98.0,180.0,180.0,D,PERIODIC,-114.0,-13.0,7.0,5I24o
"
2022.10.24_17.26.08",7.068953,43.615278,5G,5G,-125.0,-12.0,-4.0,13.0,-,20474.0,137.0,180.0,180.0,D,PERIODIC,-114.0,-13.0,5.0,5I24o
