Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_16.46.09",7.069076,43.615897,5G,5G,-108.0,-3.0,9.0,14.0,-,12.0,16.0,181.0,181.0,D,LOG START,-101.0,-8.0,14.0,5It
"
2022.11.22_16.46.10",7.069076,43.615897,5G,5G,-108.0,-3.0,9.0,14.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-101.0,-8.0,14.0,5It
"
2022.11.22_16.46.10",7.069094000000001,43.615811,5G,5G,-108.0,-3.0,9.0,14.0,-,0.0,0.0,189.0,189.0,I,,-101.0,-8.0,14.0,5It
"
2022.11.22_16.46.11",7.069094000000001,43.615811,5G,5G,-108.0,-3.0,9.0,8.0,-,0.0,0.0,189.0,189.0,I,PERIODIC,-101.0,-10.0,11.0,5It
"
2022.11.22_16.46.12",7.069094000000001,43.615811,5G,5G,-108.0,-3.0,9.0,8.0,-,0.0,0.0,189.0,189.0,I,PERIODIC,-101.0,-10.0,11.0,5It
"
2022.11.22_16.46.13",7.069094000000001,43.615811,5G,5G,-113.0,-3.0,4.0,8.0,-,132.0,6.0,189.0,189.0,D,PERIODIC,-101.0,-10.0,11.0,5It
"
2022.11.22_16.46.14",7.069094000000001,43.615811,5G,5G,-113.0,-3.0,4.0,8.0,-,76.0,61.0,189.0,189.0,D,PERIODIC,-101.0,-10.0,11.0,5It
"
2022.11.22_16.46.15",7.069094000000001,43.615811,5G,5G,-115.0,-11.0,3.0,12.0,-,32.0,8.0,189.0,189.0,D,PERIODIC,-98.0,-11.0,14.0,5It
"
2022.11.22_16.46.16",7.069094000000001,43.615811,5G,5G,-115.0,-11.0,3.0,12.0,-,0.0,0.0,189.0,189.0,I,PERIODIC,-98.0,-11.0,14.0,5It
"
2022.11.22_16.46.17",7.069094000000001,43.615811,5G,5G,-111.0,-3.0,4.0,14.0,-,36.0,25.0,189.0,189.0,D,PERIODIC,-99.0,-12.0,14.0,5It
"
2022.11.22_16.46.18",7.069094000000001,43.615811,5G,5G,-111.0,-3.0,4.0,14.0,-,0.0,5.0,189.0,189.0,D,PERIODIC,-99.0,-12.0,14.0,5It
"
2022.11.22_16.46.19",7.069094000000001,43.615811,5G,5G,-113.0,-4.0,3.0,11.0,-,51.0,11.0,189.0,189.0,D,PERIODIC,-100.0,-12.0,17.0,5It
"
2022.11.22_16.46.20",7.069094000000001,43.615811,5G,5G,-113.0,-4.0,3.0,11.0,-,59.0,11.0,189.0,189.0,D,PERIODIC,-100.0,-12.0,17.0,5It
"
2022.11.22_16.46.20",7.069132000000001,43.615718,5G,5G,-113.0,-4.0,3.0,11.0,-,59.0,11.0,188.0,188.0,D,,-100.0,-12.0,17.0,5It
"
2022.11.22_16.46.21",7.069132000000001,43.615718,5G,5G,-113.0,-4.0,3.0,11.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-100.0,-12.0,17.0,5It
"
2022.11.22_16.46.22",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,11.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-100.0,-12.0,17.0,5It
"
2022.11.22_16.46.23",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,13.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-102.0,-8.0,15.0,5It
"
2022.11.22_16.46.24",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,13.0,-,0.0,0.0,188.0,188.0,D,PERIODIC,-102.0,-8.0,15.0,5It
"
2022.11.22_16.46.25",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,9.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.26",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,9.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.27",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,9.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.28",7.069132000000001,43.615718,5G,5G,-115.0,-6.0,0.0,9.0,-,0.0,0.0,188.0,188.0,I,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.28",7.069171000000001,43.615621000000004,5G,5G,-115.0,-6.0,0.0,9.0,-,0.0,0.0,187.0,187.0,I,,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.29",7.069171000000001,43.615621000000004,5G,5G,-115.0,-6.0,0.0,9.0,-,38.0,21.0,187.0,187.0,D,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.30",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,9.0,-,42.0,31.0,187.0,187.0,D,PERIODIC,-104.0,-9.0,11.0,5It
"
2022.11.22_16.46.31",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,11.0,-,38.0,15.0,187.0,187.0,D,PERIODIC,-105.0,-9.0,14.0,5It
"
2022.11.22_16.46.32",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,11.0,-,627.0,124.0,187.0,187.0,D,PERIODIC,-105.0,-9.0,14.0,5It
"
2022.11.22_16.46.33",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,10.0,-,8407.0,515.0,187.0,187.0,D,PERIODIC,-105.0,-12.0,12.0,5It
"
2022.11.22_16.46.34",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,10.0,-,2608.0,75.0,187.0,187.0,D,PERIODIC,-105.0,-12.0,12.0,5It
"
2022.11.22_16.46.35",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,14.0,-,14.0,62.0,187.0,187.0,D,PERIODIC,-105.0,-12.0,8.0,5It
"
2022.11.22_16.46.36",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,14.0,-,2617.0,85.0,187.0,187.0,D,PERIODIC,-105.0,-12.0,8.0,5It
"
2022.11.22_16.46.37",7.069171000000001,43.615621000000004,5G,5G,-117.0,-6.0,0.0,11.0,-,2285.0,25.0,187.0,187.0,D,PERIODIC,-105.0,-8.0,14.0,5It
"
2022.11.22_16.46.37",7.069145,43.615531,5G,5G,-117.0,-6.0,0.0,11.0,-,2285.0,25.0,185.0,185.0,D,,-105.0,-8.0,14.0,5It
"
2022.11.22_16.46.38",7.069145,43.615531,5G,5G,-120.0,-8.0,0.0,11.0,-,9.0,35.0,185.0,185.0,D,PERIODIC,-105.0,-8.0,14.0,5It
"
2022.11.22_16.46.39",7.069145,43.615531,5G,5G,-122.0,-12.0,-3.0,9.0,-,3.0,22.0,185.0,185.0,D,PERIODIC,-105.0,-9.0,5.0,5It
"
2022.11.22_16.46.40",7.069145,43.615531,5G,5G,-122.0,-12.0,-3.0,9.0,-,3124.0,31.0,185.0,185.0,D,PERIODIC,-105.0,-9.0,5.0,5It
"
2022.11.22_16.46.41",7.069145,43.615531,5G,5G,-122.0,-11.0,-2.0,9.0,-,3.0,5.0,185.0,185.0,D,PERIODIC,-105.0,-9.0,5.0,5It
"
2022.11.22_16.46.42",7.069145,43.615531,5G,5G,-122.0,-11.0,-2.0,11.0,-,2360.0,64.0,185.0,185.0,D,PERIODIC,-103.0,-13.0,11.0,5It
"
2022.11.22_16.46.43",7.069145,43.615531,5G,5G,-122.0,-8.0,-1.0,11.0,-,15.0,9.0,185.0,185.0,D,PERIODIC,-103.0,-13.0,11.0,5It
"
2022.11.22_16.46.44",7.069145,43.615531,5G,5G,-122.0,-8.0,-1.0,13.0,-,3.0,5.0,185.0,185.0,D,PERIODIC,-104.0,-7.0,11.0,5It
"
2022.11.22_16.46.44",7.0691630000000005,43.615441,5G,5G,-122.0,-8.0,-1.0,13.0,-,3.0,5.0,185.0,185.0,D,,-104.0,-7.0,11.0,5It
"
2022.11.22_16.46.45",7.0691630000000005,43.615441,5G,5G,-122.0,-8.0,-1.0,13.0,-,2965.0,63.0,185.0,185.0,D,PERIODIC,-104.0,-7.0,11.0,5It
"
2022.11.22_16.46.46",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,9.0,-,4299.0,53.0,185.0,185.0,D,PERIODIC,-103.0,-10.0,8.0,5It
"
2022.11.22_16.46.47",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,9.0,-,3277.0,50.0,185.0,185.0,D,PERIODIC,-103.0,-10.0,8.0,5It
"
2022.11.22_16.46.48",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,11.0,-,10.0,19.0,185.0,185.0,D,PERIODIC,-102.0,-12.0,11.0,5It
"
2022.11.22_16.46.49",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,11.0,-,3.0,5.0,185.0,185.0,D,PERIODIC,-102.0,-12.0,11.0,5It
"
2022.11.22_16.46.50",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,10.0,-,3047.0,53.0,185.0,185.0,D,PERIODIC,-104.0,-7.0,12.0,5It
"
2022.11.22_16.46.51",7.0691630000000005,43.615441,5G,5G,-122.0,-9.0,-1.0,10.0,-,3.0,5.0,185.0,185.0,D,PERIODIC,-104.0,-7.0,12.0,5It
"
2022.11.22_16.46.52",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,0.0,10.0,-,3180.0,46.0,185.0,185.0,D,PERIODIC,-102.0,-12.0,14.0,5It
"
2022.11.22_16.46.53",7.0691630000000005,43.615441,5G,5G,-123.0,-9.0,-3.0,10.0,-,4.0,6.0,185.0,185.0,D,PERIODIC,-102.0,-12.0,14.0,5It
"
2022.11.22_16.46.54",7.0691630000000005,43.615441,5G,5G,-119.0,-7.0,-1.0,10.0,-,172.0,26.0,185.0,185.0,D,PERIODIC,-108.0,-13.0,8.0,5It
"
2022.11.22_16.46.55",7.0691630000000005,43.615441,5G,5G,-122.0,-8.0,-2.0,10.0,-,2489.0,67.0,185.0,185.0,D,PERIODIC,-108.0,-13.0,8.0,5It
"
2022.11.22_16.46.56",7.0691630000000005,43.615441,5G,5G,-122.0,-8.0,-2.0,11.0,-,2.0,5.0,185.0,185.0,D,PERIODIC,-107.0,-12.0,12.0,5It
"
2022.11.22_16.46.57",7.0691630000000005,43.615441,5G,5G,-124.0,-10.0,-2.0,11.0,-,3.0,21.0,185.0,185.0,D,PERIODIC,-107.0,-12.0,12.0,5It
"
2022.11.22_16.46.57",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,11.0,-,3.0,21.0,184.0,184.0,D,,-107.0,-12.0,12.0,5It
"
2022.11.22_16.46.58",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,9.0,-,625.0,13.0,184.0,184.0,D,PERIODIC,-111.0,-13.0,9.0,5It
"
2022.11.22_16.46.59",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,9.0,-,4.0,6.0,184.0,184.0,D,PERIODIC,-111.0,-13.0,9.0,5It
"
2022.11.22_16.47.00",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,12.0,-,9.0,7.0,184.0,184.0,D,PERIODIC,-109.0,-10.0,7.0,5It
"
2022.11.22_16.47.01",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,12.0,-,6193.0,94.0,184.0,184.0,D,PERIODIC,-109.0,-10.0,7.0,5It
"
2022.11.22_16.47.02",7.069058,43.615369,5G,5G,-124.0,-10.0,-2.0,11.0,-,10.0,16.0,184.0,184.0,D,PERIODIC,-109.0,-12.0,16.0,5It
"
2022.11.22_16.47.03",7.069058,43.615369,5G,5G,-122.0,-9.0,-1.0,11.0,-,3380.0,81.0,184.0,184.0,D,PERIODIC,-109.0,-12.0,16.0,5It
