Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.10_11.40.39",7.068846000000001,43.61515,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,182.0,182.0,I,LOG START,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.39",7.068746000000001,43.615258000000004,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,194.0,194.0,I,,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.39",7.068746000000001,43.615258000000004,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.40",7.068746000000001,43.615258000000004,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.41",7.068833000000001,43.615181,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,195.0,195.0,I,,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.41",7.068833000000001,43.615181,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-13.0,10.0,I10aug
"
2022.08.10_11.40.42",7.068833000000001,43.615181,5G,5G,-120.0,-6.0,2.0,15.0,-,9.0,9.0,195.0,195.0,D,PERIODIC,-99.0,-12.0,1.0,I10aug
"
2022.08.10_11.40.43",7.068833000000001,43.615181,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,195.0,195.0,D,PERIODIC,-99.0,-12.0,1.0,I10aug
"
2022.08.10_11.40.44",7.068833000000001,43.615181,5G,5G,-120.0,-6.0,2.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-12.0,1.0,I10aug
"
2022.08.10_11.40.45",7.068833000000001,43.615181,5G,5G,-124.0,-8.0,0.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-12.0,1.0,I10aug
"
2022.08.10_11.40.46",7.068833000000001,43.615181,5G,5G,-124.0,-8.0,0.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-102.0,-11.0,7.0,I10aug
"
2022.08.10_11.40.48",7.068833000000001,43.615181,5G,5G,-124.0,-8.0,0.0,15.0,-,19.0,19.0,195.0,195.0,D,PERIODIC,-102.0,-11.0,7.0,I10aug
"
2022.08.10_11.40.49",7.068833000000001,43.615181,5G,5G,-124.0,-8.0,0.0,15.0,-,115.0,26.0,195.0,195.0,D,PERIODIC,-100.0,-9.0,1.0,I10aug
"
2022.08.10_11.40.49",7.068833000000001,43.615181,5G,5G,-124.0,-8.0,0.0,15.0,-,50.0,84.0,195.0,195.0,D,PERIODIC,-100.0,-9.0,1.0,I10aug
"
2022.08.10_11.40.50",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,14.0,-,85.0,92.0,195.0,195.0,D,PERIODIC,-99.0,-9.0,1.0,I10aug
"
2022.08.10_11.40.52",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,14.0,-,28.0,30.0,195.0,195.0,D,PERIODIC,-99.0,-9.0,1.0,I10aug
"
2022.08.10_11.40.53",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,45.0,13.0,195.0,195.0,D,PERIODIC,-100.0,-13.0,1.0,I10aug
"
2022.08.10_11.40.53",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,3.0,0.0,195.0,195.0,D,PERIODIC,-100.0,-13.0,1.0,I10aug
"
2022.08.10_11.40.54",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,D,PERIODIC,-99.0,-13.0,11.0,I10aug
"
2022.08.10_11.40.56",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-13.0,11.0,I10aug
"
2022.08.10_11.40.57",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,4.0,195.0,195.0,D,PERIODIC,-100.0,-10.0,1.0,I10aug
"
2022.08.10_11.40.58",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-100.0,-10.0,1.0,I10aug
"
2022.08.10_11.40.59",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,14.0,-,0.0,0.0,195.0,195.0,D,PERIODIC,-99.0,-11.0,11.0,I10aug
"
2022.08.10_11.41.00",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,14.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-11.0,11.0,I10aug
"
2022.08.10_11.41.01",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-10.0,11.0,I10aug
"
2022.08.10_11.41.02",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-10.0,11.0,I10aug
"
2022.08.10_11.41.03",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-8.0,11.0,I10aug
"
2022.08.10_11.41.04",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,536.0,85.0,195.0,195.0,D,PERIODIC,-99.0,-8.0,11.0,I10aug
"
2022.08.10_11.41.05",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,4.0,1.0,195.0,195.0,D,PERIODIC,-99.0,-8.0,11.0,I10aug
"
2022.08.10_11.41.06",7.068833000000001,43.615181,5G,5G,-122.0,-7.0,3.0,15.0,-,0.0,0.0,195.0,195.0,I,PERIODIC,-99.0,-8.0,11.0,I10aug
"
2022.08.10_11.41.07",7.068833000000001,43.615181,4G,LTE,-100.0,-13.0,0.0,9.0,-101,0.0,0.0,195.0,195.0,D,PERIODIC,,,,I10aug
"
2022.08.10_11.41.07",7.068833000000001,43.615181,4G,LTE,-100.0,-13.0,0.0,9.0,-101,0.0,0.0,195.0,195.0,D,,,,,I10aug
"
2022.08.10_11.41.08",7.068833000000001,43.615181,4G,LTE,-100.0,-13.0,0.0,9.0,-101,643.0,213.0,195.0,195.0,D,PERIODIC,,,,I10aug
