Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_10.11.03",7.042801,43.618659,4G,LTE,-97.0,-6.0,10.0,9,-101.0,31.0,42.0,188.0,188.0,D,LOG START,I25aug
"
2022.08.25_10.11.04",7.042801,43.618659,4G,LTE,-100.0,-8.0,11.0,9,-101.0,39.0,96.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.05",7.042801,43.618659,4G,LTE,-100.0,-8.0,11.0,9,-99.0,46.0,130.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.06",7.042801,43.618659,4G,LTE,-97.0,-7.0,9.0,11,-99.0,57.0,88.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.07",7.042801,43.618659,4G,LTE,-97.0,-7.0,9.0,11,-101.0,96.0,68.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.08",7.042801,43.618659,4G,LTE,-101.0,-8.0,10.0,9,-101.0,879.0,225.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.09",7.042801,43.618659,4G,LTE,-101.0,-8.0,10.0,9,-103.0,1543.0,425.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.10",7.042801,43.618659,4G,LTE,-103.0,-8.0,10.0,9,-103.0,1804.0,416.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.11",7.042801,43.618659,4G,LTE,-103.0,-8.0,10.0,9,-103.0,3324.0,191.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.12",7.042801,43.618659,4G,LTE,-103.0,-7.0,11.0,9,-103.0,54.0,324.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.13",7.042801,43.618659,4G,LTE,-103.0,-7.0,11.0,9,-103.0,107.0,323.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.14",7.042801,43.618659,4G,LTE,-103.0,-7.0,11.0,9,-103.0,0.0,0.0,188.0,188.0,I,PERIODIC,I25aug
"
2022.08.25_10.11.15",7.042801,43.618659,4G,LTE,-102.0,-7.0,13.0,8,-101.0,3.0,2.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.16",7.043203,43.618826,4G,LTE,-102.0,-7.0,13.0,8,-97.0,3.0,2.0,188.0,188.0,D,,I25aug
"
2022.08.25_10.11.16",7.043203,43.618826,4G,LTE,-96.0,-9.0,14.0,11,-97.0,0.0,0.0,188.0,188.0,I,PERIODIC,I25aug
"
2022.08.25_10.11.17",7.042766,43.618857,4G,LTE,-96.0,-9.0,14.0,11,-97.0,0.0,0.0,188.0,188.0,I,,I25aug
"
2022.08.25_10.11.17",7.042766,43.618857,4G,LTE,-96.0,-9.0,14.0,11,-97.0,0.0,0.0,188.0,188.0,I,PERIODIC,I25aug
"
2022.08.25_10.11.18",7.042638,43.618858,4G,LTE,-96.0,-9.0,14.0,11,-101.0,0.0,0.0,188.0,188.0,I,,I25aug
"
2022.08.25_10.11.18",7.042638,43.618858,4G,LTE,-101.0,-6.0,8.0,9,-101.0,1.0,1.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.19",7.042449,43.618868,4G,LTE,-101.0,-6.0,8.0,9,-101.0,1.0,1.0,188.0,188.0,D,,I25aug
"
2022.08.25_10.11.19",7.042449,43.618868,4G,LTE,-101.0,-6.0,8.0,9,-101.0,26.0,31.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.20",7.042449,43.618868,4G,LTE,-100.0,-6.0,9.0,7,-101.0,19.0,22.0,188.0,188.0,D,PERIODIC,I25aug
"
2022.08.25_10.11.21",7.042449,43.618868,4G,LTE,-100.0,-6.0,9.0,7,-101.0,0.0,0.0,188.0,188.0,I,PERIODIC,I25aug
"
2022.08.25_10.11.22",7.042449,43.618868,4G,LTE,-101.0,-6.0,8.0,7,-101.0,0.0,0.0,188.0,188.0,I,PERIODIC,I25aug
