Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.11_16.53.46",7.072767,43.617065999999994,63.0,5G,5G,-104.0,-3.0,18.0,12,-,0.0,0.0,167.0,167.0,I,LOG START,-98.0,-12.0,1.0,M11aug
"
2022.08.11_16.53.46",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,11,-,0.0,0.0,167.0,167.0,I,,-98.0,-12.0,1.0,M11aug
"
2022.08.11_16.53.46",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,11,-,0.0,0.0,167.0,167.0,I,PERIODIC,-97.0,-5.0,1.0,M11aug
"
2022.08.11_16.53.47",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,11,-,0.0,0.0,167.0,167.0,I,PERIODIC,-97.0,-5.0,1.0,M11aug
"
2022.08.11_16.53.48",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,9,-,8.0,12.0,167.0,167.0,D,PERIODIC,-96.0,-6.0,1.0,M11aug
"
2022.08.11_16.53.49",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,9,-,0.0,9.0,167.0,167.0,D,PERIODIC,-96.0,-6.0,1.0,M11aug
"
2022.08.11_16.53.50",7.072777,43.617043,63.0,5G,5G,-104.0,-3.0,18.0,10,-,6.0,4.0,167.0,167.0,D,PERIODIC,-98.0,-6.0,1.0,M11aug
"
2022.08.11_16.53.51",7.072794,43.616951,63.0,5G,5G,-104.0,-3.0,18.0,10,-,6.0,4.0,170.0,170.0,D,,-98.0,-6.0,1.0,M11aug
"
2022.08.11_16.53.51",7.072794,43.616951,63.0,5G,5G,-104.0,-3.0,18.0,10,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-6.0,1.0,M11aug
"
2022.08.11_16.53.52",7.072794,43.616951,63.0,5G,5G,-104.0,-3.0,18.0,10,-,0.0,0.0,170.0,170.0,I,PERIODIC,-97.0,-6.0,2.0,M11aug
"
2022.08.11_16.53.53",7.072794,43.616951,63.0,5G,5G,-104.0,-3.0,18.0,10,-,0.0,0.0,170.0,170.0,I,PERIODIC,-97.0,-6.0,2.0,M11aug
"
2022.08.11_16.53.54",7.072794,43.616951,63.0,5G,5G,-114.0,-3.0,10.0,10,-,0.0,0.0,170.0,170.0,I,PERIODIC,-95.0,-10.0,2.0,M11aug
"
2022.08.11_16.53.55",7.072794,43.616951,63.0,5G,5G,-112.0,-3.0,13.0,10,-,0.0,0.0,170.0,170.0,I,PERIODIC,-95.0,-10.0,2.0,M11aug
"
2022.08.11_16.53.56",7.072794,43.616951,63.0,5G,5G,-112.0,-3.0,13.0,9,-,0.0,0.0,170.0,170.0,I,PERIODIC,-96.0,-8.0,2.0,M11aug
"
2022.08.11_16.53.57",7.072794,43.616951,63.0,5G,5G,-112.0,-3.0,13.0,9,-,0.0,0.0,170.0,170.0,I,PERIODIC,-96.0,-8.0,2.0,M11aug
