Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.12_14.38.58",7.055053999999999,43.620694,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,216.0,216.0,I,LOG START,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.38.59",7.055053999999999,43.620694,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,216.0,216.0,I,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.38.59",7.072794999999999,43.616712,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,216.0,216.0,I,,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.00",7.072794999999999,43.616712,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,216.0,216.0,I,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.00",7.072655,43.616746,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,161.0,161.0,I,,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.01",7.072655,43.616746,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,161.0,161.0,I,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.02",7.072655,43.616746,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,161.0,161.0,I,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.02",7.072692999999999,43.616841,5G,5G,-109.0,-3.0,13.0,9.0,-,0.0,0.0,153.0,153.0,I,,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.03",7.072692999999999,43.616841,5G,5G,-109.0,-3.0,13.0,9.0,-,13.0,27.0,153.0,153.0,D,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.04",7.072692999999999,43.616841,5G,5G,-106.0,-3.0,19.0,9.0,-,69.0,22.0,153.0,153.0,D,PERIODIC,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.04",7.072835,43.61687,5G,5G,-108.0,-3.0,17.0,9.0,-,69.0,22.0,163.0,163.0,D,,-95.0,-13.0,1.0,M12aug
"
2022.08.12_14.39.05",7.072835,43.61687,5G,5G,-108.0,-3.0,17.0,7.0,-,37.0,74.0,163.0,163.0,D,PERIODIC,-97.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.06",7.072835,43.61687,5G,5G,-110.0,-3.0,15.0,7.0,-,92.0,94.0,163.0,163.0,D,PERIODIC,-97.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.07",7.072835,43.61687,5G,5G,-112.0,-3.0,16.0,7.0,-,21.0,32.0,163.0,163.0,D,PERIODIC,-97.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.08",7.072835,43.61687,5G,5G,-112.0,-3.0,16.0,9.0,-,48.0,10.0,163.0,163.0,D,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.09",7.072835,43.61687,5G,5G,-112.0,-3.0,16.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.09",7.072952000000001,43.616933,5G,5G,-112.0,-3.0,16.0,9.0,-,0.0,0.0,164.0,164.0,I,,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.10",7.072952000000001,43.616933,5G,5G,-112.0,-3.0,16.0,9.0,-,0.0,0.0,164.0,164.0,I,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.11",7.072952000000001,43.616933,5G,5G,-112.0,-3.0,16.0,9.0,-,0.0,0.0,164.0,164.0,I,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.12",7.072952000000001,43.616933,5G,5G,-112.0,-3.0,16.0,9.0,-,0.0,0.0,164.0,164.0,I,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.13",7.072952000000001,43.616933,5G,5G,-108.0,-3.0,18.0,9.0,-,0.0,1.0,164.0,164.0,D,PERIODIC,-99.0,-8.0,1.0,M12aug
"
2022.08.12_14.39.14",7.072952000000001,43.616933,5G,5G,-108.0,-3.0,18.0,9.0,-,205.0,125.0,164.0,164.0,D,PERIODIC,-96.0,-6.0,1.0,M12aug
"
2022.08.12_14.39.14",7.0730580000000005,43.616989000000004,5G,5G,-108.0,-3.0,18.0,9.0,-,205.0,125.0,169.0,169.0,D,,-96.0,-6.0,1.0,M12aug
"
2022.08.12_14.39.15",7.0730580000000005,43.616989000000004,5G,5G,-107.0,-3.0,17.0,9.0,-,2591.0,132.0,169.0,169.0,D,PERIODIC,-96.0,-6.0,1.0,M12aug
"
2022.08.12_14.39.16",7.0730580000000005,43.616989000000004,5G,5G,-107.0,-3.0,17.0,9.0,-,170.0,20.0,169.0,169.0,D,PERIODIC,-94.0,-5.0,1.0,M12aug
