Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.23_18.51.20",7.044785000000001,43.623841,4G,LTE,-104.0,-11.0,3.0,10,-103.0,0.0,0.0,204.0,204.0,I,LOG START,M23auglte
"
2022.08.23_18.51.21",7.044785000000001,43.623841,4G,LTE,-104.0,-11.0,3.0,10,-103.0,0.0,0.0,204.0,204.0,I,,M23auglte
"
2022.08.23_18.51.21",7.044785000000001,43.623841,4G,LTE,-104.0,-11.0,3.0,10,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.22",7.044785000000001,43.623841,4G,LTE,-103.0,-10.0,3.0,10,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.23",7.044785000000001,43.623841,4G,LTE,-103.0,-10.0,3.0,10,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.24",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,1.0,-,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.25",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,1.0,-,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.26",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,1.0,-,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.27",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,1.0,-,-103.0,2.0,5.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.28",7.044785000000001,43.623841,4G,LTE,-104.0,-14.0,0.0,10,-103.0,48.0,11.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.29",7.044785000000001,43.623841,4G,LTE,-104.0,-14.0,0.0,10,-103.0,0.0,0.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.30",7.044785000000001,43.623841,4G,LTE,-103.0,-14.0,-11.0,5,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.31",7.044785000000001,43.623841,4G,LTE,-103.0,-14.0,-11.0,5,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
"
2022.08.23_18.51.32",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,3.0,10,-103.0,53.0,21.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.33",7.044785000000001,43.623841,4G,LTE,-104.0,-12.0,3.0,10,-103.0,4.0,0.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.34",7.044785000000001,43.623841,4G,LTE,-104.0,-11.0,4.0,10,-103.0,0.0,1.0,204.0,204.0,D,PERIODIC,M23auglte
"
2022.08.23_18.51.35",7.044785000000001,43.623841,4G,LTE,-104.0,-11.0,4.0,10,-103.0,0.0,0.0,204.0,204.0,I,PERIODIC,M23auglte
