Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.23_20.09.05",7.1186169999999995,43.586234000000005,4G,LTE,-80.0,-12,3.0,12,-81,0.0,0.0,72.0,72.0,I,LOG START,,,,3M23aug
"
2022.08.23_20.09.05",7.1186169999999995,43.586234000000005,4G,LTE,-80.0,-12,3.0,12,-81,0.0,0.0,72.0,72.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.05",7.1186169999999995,43.586234000000005,4G,LTE,-80.0,-12,3.0,12,-81,0.0,0.0,65.0,65.0,I,,,,,3M23aug
"
2022.08.23_20.09.06",7.1186169999999995,43.586234000000005,4G,LTE,-80.0,-13,11.0,14,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.07",7.1186169999999995,43.586234000000005,4G,LTE,-80.0,-13,11.0,14,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.08",7.1186169999999995,43.586234000000005,4G,LTE,-79.0,-12,6.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.09",7.1186169999999995,43.586234000000005,4G,LTE,-79.0,-12,6.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.10",7.1186169999999995,43.586234000000005,4G,LTE,-81.0,-13,13.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.11",7.1186169999999995,43.586234000000005,4G,LTE,-81.0,-13,13.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.12",7.1186169999999995,43.586234000000005,4G,LTE,-81.0,-11,6.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.13",7.1186169999999995,43.586234000000005,4G,LTE,-81.0,-11,6.0,-,-81,0.0,0.0,65.0,65.0,I,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.14",7.1186169999999995,43.586234000000005,4G,LTE,-78.0,-12,4.0,14,-79,148.0,71.0,65.0,65.0,D,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.15",7.1186169999999995,43.586234000000005,4G,LTE,-78.0,-12,4.0,14,-79,60.0,11.0,65.0,65.0,D,PERIODIC,,,,3M23aug
"
2022.08.23_20.09.16",7.1186169999999995,43.586234000000005,5G,5G,-90.0,-3,21.0,14,-,0.0,0.0,65.0,65.0,I,PERIODIC,-77.0,-11.0,5.0,3M23aug
"
2022.08.23_20.09.16",7.1186169999999995,43.586234000000005,5G,5G,-90.0,-3,21.0,14,-,0.0,0.0,65.0,65.0,I,,-77.0,-11.0,5.0,3M23aug
"
2022.08.23_20.09.17",7.1186169999999995,43.586234000000005,5G,5G,-88.0,-3,21.0,14,-,89.0,39.0,65.0,65.0,D,PERIODIC,-77.0,-11.0,5.0,3M23aug
"
2022.08.23_20.09.18",7.1186169999999995,43.586234000000005,5G,5G,-89.0,-3,20.0,12,-,210.0,33.0,65.0,65.0,D,PERIODIC,-74.0,-11.0,5.0,3M23aug
"
2022.08.23_20.09.19",7.1186169999999995,43.586234000000005,5G,5G,-88.0,-3,22.0,12,-,93.0,23.0,65.0,65.0,D,PERIODIC,-74.0,-11.0,5.0,3M23aug
