Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.20_18.04.29",7.065119,43.616304,4G,LTE,-111.0,-13.0,6.0,-,-113.0,0.0,0.0,173.0,173.0,I,LOG START,4M20o
"
2022.10.20_18.04.29",7.065119,43.616304,4G,LTE,-111.0,-13.0,6.0,-,-113.0,0.0,0.0,173.0,173.0,I,PERIODIC,4M20o
"
2022.10.20_18.04.29",7.065316,43.616246000000004,4G,LTE,-111.0,-13.0,6.0,-,-113.0,0.0,0.0,173.0,173.0,I,,4M20o
"
2022.10.20_18.04.30",7.065316,43.616246000000004,4G,LTE,-111.0,-13.0,6.0,-,-113.0,0.0,0.0,173.0,173.0,I,PERIODIC,4M20o
"
2022.10.20_18.04.31",7.065316,43.616246000000004,4G,LTE,-112.0,-13.0,8.0,-,-113.0,0.0,0.0,173.0,173.0,I,PERIODIC,4M20o
"
2022.10.20_18.04.31",7.065467999999999,43.616234999999996,4G,LTE,-112.0,-13.0,8.0,-,-113.0,0.0,0.0,176.0,176.0,I,,4M20o
"
2022.10.20_18.04.32",7.065467999999999,43.616234999999996,4G,LTE,-112.0,-13.0,8.0,-,-113.0,51.0,33.0,176.0,176.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.33",7.065467999999999,43.616234999999996,4G,LTE,-113.0,-10.0,8.0,10,-55.0,64.0,41.0,176.0,176.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.34",7.065467999999999,43.616234999999996,4G,LTE,-113.0,-10.0,8.0,10,-55.0,44.0,6.0,176.0,176.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.34",7.065602,43.616239,4G,LTE,-113.0,-10.0,8.0,10,-55.0,44.0,6.0,172.0,172.0,D,,4M20o
"
2022.10.20_18.04.35",7.065602,43.616239,4G,LTE,-112.0,-13.0,8.0,12,-113.0,230.0,100.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.36",7.065602,43.616239,4G,LTE,-112.0,-13.0,8.0,12,-111.0,70.0,9.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.37",7.065602,43.616239,4G,LTE,-110.0,-12.0,8.0,10,-111.0,0.0,1.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.38",7.065602,43.616239,4G,LTE,-110.0,-12.0,8.0,10,-113.0,0.0,1.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.39",7.065602,43.616239,4G,LTE,-110.0,-13.0,-10.0,8,-111.0,0.0,1.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.40",7.065602,43.616239,4G,LTE,-110.0,-13.0,-10.0,8,-109.0,0.0,0.0,172.0,172.0,D,PERIODIC,4M20o
"
2022.10.20_18.04.41",7.065602,43.616239,4G,LTE,-110.0,-13.0,-11.0,9,-111.0,0.0,0.0,172.0,172.0,I,PERIODIC,4M20o
