Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.36.45",7.037528,43.623647,4G,LTE,-97.0,-13.0,4.0,9,-99.0,0.0,0.0,232.0,232.0,I,LOG START,4M22n
"
2022.11.22_14.36.46",7.037565,43.623616,4G,LTE,-97.0,-13.0,4.0,9,-99.0,0.0,0.0,232.0,232.0,D,,4M22n
"
2022.11.22_14.36.46",7.037565,43.623616,4G,LTE,-97.0,-13.0,4.0,9,-99.0,17.0,32.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.47",7.037565,43.623616,4G,LTE,-98.0,-13.0,0.0,9,-99.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.36.48",7.037565,43.623616,4G,LTE,-98.0,-13.0,0.0,9,-101.0,17.0,5.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.49",7.037565,43.623616,4G,LTE,-100.0,-14.0,-3.0,9,-101.0,55.0,14.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.50",7.037565,43.623616,4G,LTE,-100.0,-14.0,-3.0,9,-105.0,12.0,3.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.51",7.037565,43.623616,4G,LTE,-104.0,-14.0,4.0,8,-103.0,0.0,0.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.52",7.037565,43.623616,4G,LTE,-104.0,-14.0,4.0,8,-103.0,5.0,5.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.53",7.037565,43.623616,4G,LTE,-101.0,-13.0,4.0,9,-101.0,0.0,0.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.54",7.037565,43.623616,4G,LTE,-101.0,-13.0,4.0,9,-101.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.36.55",7.037565,43.623616,4G,LTE,-100.0,-15.0,1.0,7,-105.0,0.0,0.0,232.0,232.0,D,PERIODIC,4M22n
"
2022.11.22_14.36.56",7.037565,43.623616,4G,LTE,-100.0,-15.0,1.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.36.57",7.037565,43.623616,4G,LTE,-104.0,-16.0,-8.0,6,-103.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.36.58",7.037565,43.623616,4G,LTE,-104.0,-16.0,-8.0,6,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.36.59",7.037727,43.623618,4G,LTE,-104.0,-16.0,-8.0,6,-105.0,0.0,0.0,232.0,232.0,I,,4M22n
"
2022.11.22_14.36.59",7.037727,43.623618,4G,LTE,-105.0,-15.0,-2.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.37.00",7.037727,43.623618,4G,LTE,-105.0,-15.0,-2.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.37.01",7.037727,43.623618,4G,LTE,-104.0,-15.0,-4.0,-,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4M22n
"
2022.11.22_14.37.02",7.037772,43.623723,4G,LTE,-104.0,-15.0,-4.0,-,-107.0,0.0,0.0,231.0,231.0,I,,4M22n
"
2022.11.22_14.37.02",7.037772,43.623723,4G,LTE,-104.0,-15.0,-4.0,-,-107.0,0.0,0.0,231.0,231.0,I,PERIODIC,4M22n
"
2022.11.22_14.37.03",7.037772,43.623723,4G,LTE,-107.0,-16.0,-3.0,8,-107.0,12.0,26.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.04",7.037744,43.623813,4G,LTE,-107.0,-16.0,-3.0,8,-105.0,12.0,26.0,231.0,231.0,D,,4M22n
"
2022.11.22_14.37.04",7.037744,43.623813,4G,LTE,-107.0,-16.0,-3.0,8,-105.0,32.0,12.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.05",7.037744,43.623813,4G,LTE,-105.0,-16.0,1.0,9,-107.0,150.0,18.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.06",7.0377279999999995,43.623915999999994,4G,LTE,-105.0,-16.0,1.0,9,-107.0,150.0,18.0,231.0,231.0,D,,4M22n
"
2022.11.22_14.37.06",7.0377279999999995,43.623915999999994,4G,LTE,-105.0,-16.0,1.0,9,-107.0,606.0,106.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.07",7.0377279999999995,43.623915999999994,4G,LTE,-106.0,-15.0,-3.0,8,-107.0,694.0,75.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.08",7.037692999999999,43.624031,4G,LTE,-106.0,-15.0,-3.0,8,-109.0,694.0,75.0,231.0,231.0,D,,4M22n
"
2022.11.22_14.37.08",7.037692999999999,43.624031,4G,LTE,-106.0,-15.0,-3.0,8,-109.0,779.0,250.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.09",7.037692999999999,43.624031,4G,LTE,-109.0,-16.0,-4.0,7,-107.0,124.0,54.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.10",7.037635000000001,43.624159000000006,4G,LTE,-109.0,-16.0,-4.0,7,-107.0,124.0,54.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.10",7.037635000000001,43.624159000000006,4G,LTE,-109.0,-16.0,-4.0,7,-107.0,1134.0,110.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.11",7.037635000000001,43.624159000000006,4G,LTE,-108.0,-18.0,-7.0,6,-107.0,971.0,234.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.12",7.037575,43.624282,4G,LTE,-108.0,-18.0,-7.0,6,-107.0,971.0,234.0,231.0,231.0,D,,4M22n
"
2022.11.22_14.37.12",7.037575,43.624282,4G,LTE,-108.0,-18.0,-7.0,6,-107.0,952.0,104.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.13",7.037575,43.624282,4G,LTE,-108.0,-16.0,-7.0,6,-111.0,314.0,96.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.14",7.037599,43.624429,4G,LTE,-108.0,-16.0,-7.0,6,-111.0,314.0,96.0,231.0,231.0,D,,4M22n
"
2022.11.22_14.37.14",7.037599,43.624429,4G,LTE,-108.0,-16.0,-7.0,6,-111.0,514.0,70.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.15",7.037599,43.624429,4G,LTE,-111.0,-16.0,-6.0,5,-111.0,497.0,50.0,231.0,231.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.16",7.037723,43.624559999999995,4G,LTE,-111.0,-16.0,-6.0,5,-113.0,497.0,50.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.16",7.037723,43.624559999999995,4G,LTE,-109.0,-14.0,-8.0,6,-113.0,599.0,87.0,230.0,230.0,D,HANDOVER_DATA_4G4G,4M22n
"
2022.11.22_14.37.17",7.037723,43.624559999999995,4G,LTE,-109.0,-14.0,-8.0,6,-107.0,1947.0,232.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.18",7.037892,43.624693,4G,LTE,-109.0,-14.0,-8.0,6,-111.0,1947.0,232.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.18",7.037892,43.624693,4G,LTE,-109.0,-14.0,-8.0,6,-111.0,3342.0,117.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.19",7.037982,43.624762,4G,LTE,-109.0,-14.0,-8.0,6,-109.0,3342.0,117.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.19",7.037982,43.624762,4G,LTE,-111.0,-15.0,-4.0,6,-109.0,3693.0,125.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.20",7.038069999999999,43.624828,4G,LTE,-111.0,-15.0,-4.0,6,-109.0,3693.0,125.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.20",7.038069999999999,43.624828,4G,LTE,-111.0,-15.0,-4.0,6,-109.0,4415.0,149.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.21",7.038167999999999,43.624894,4G,LTE,-111.0,-15.0,-4.0,6,-107.0,4415.0,149.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.21",7.038167999999999,43.624894,4G,LTE,-108.0,-14.0,-3.0,8,-107.0,5724.0,233.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.22",7.038276,43.624974,4G,LTE,-108.0,-14.0,-3.0,8,-109.0,5724.0,233.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.22",7.038276,43.624974,4G,LTE,-108.0,-14.0,-3.0,8,-109.0,5491.0,113.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.23",7.038388,43.625038,4G,LTE,-108.0,-14.0,-3.0,8,-109.0,5491.0,113.0,230.0,230.0,D,,4M22n
"
2022.11.22_14.37.23",7.038388,43.625038,4G,LTE,-109.0,-14.0,-2.0,8,-109.0,6339.0,136.0,230.0,230.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.24",7.038499000000001,43.625105,4G,LTE,-109.0,-14.0,-2.0,8,-107.0,6339.0,136.0,229.0,229.0,D,,4M22n
"
2022.11.22_14.37.24",7.038499000000001,43.625105,4G,LTE,-109.0,-14.0,-2.0,8,-107.0,5445.0,106.0,229.0,229.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.25",7.038607000000001,43.625173,4G,LTE,-109.0,-14.0,-2.0,8,-103.0,5445.0,106.0,228.0,228.0,D,,4M22n
"
2022.11.22_14.37.25",7.038607000000001,43.625173,4G,LTE,-106.0,-13.0,0.0,10,-103.0,3431.0,69.0,228.0,228.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.26",7.038733000000001,43.625229,4G,LTE,-106.0,-13.0,0.0,10,-107.0,3431.0,69.0,229.0,229.0,D,,4M22n
"
2022.11.22_14.37.26",7.038733000000001,43.625229,4G,LTE,-106.0,-13.0,0.0,10,-107.0,4327.0,86.0,229.0,229.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.27",7.038863,43.625271000000005,4G,LTE,-106.0,-13.0,0.0,10,-103.0,4327.0,86.0,229.0,229.0,D,,4M22n
"
2022.11.22_14.37.27",7.038863,43.625271000000005,4G,LTE,-107.0,-14.0,0.0,8,-103.0,6606.0,139.0,229.0,229.0,D,PERIODIC,4M22n
"
2022.11.22_14.37.28",7.038989999999999,43.625306,4G,LTE,-107.0,-14.0,0.0,8,-103.0,6606.0,139.0,228.0,228.0,D,,4M22n
"
2022.11.22_14.37.28",7.038989999999999,43.625306,4G,LTE,-107.0,-14.0,0.0,8,-103.0,3545.0,73.0,228.0,228.0,D,PERIODIC,4M22n
