Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_17.38.27",--,--,4G,LTE,-116.0,-11.0,1.0,9.0,-94,0.0,0.0,--,-10000.0,I,LOG START,4M3
"
2022.08.25_17.38.28",--,--,4G,LTE,-116.0,-11.0,1.0,6.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.29",--,--,4G,LTE,-117.0,-14.0,3.0,12.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.30",--,--,4G,LTE,-117.0,-14.0,3.0,6.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.31",--,--,4G,LTE,-115.0,-12.0,4.0,10.0,-94,19.0,3.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.32",--,--,4G,LTE,-115.0,-12.0,4.0,10.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.33",--,--,4G,LTE,-116.0,-13.0,7.0,9.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.34",--,--,4G,LTE,-116.0,-13.0,7.0,12.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.35",--,--,4G,LTE,-113.0,-12.0,5.0,14.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.36",--,--,4G,LTE,-113.0,-12.0,5.0,11.0,-94,19.0,3.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.37",--,--,4G,LTE,-116.0,-13.0,5.0,9.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.38",--,--,4G,LTE,-116.0,-13.0,5.0,9.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.40",--,--,4G,LTE,-116.0,-12.0,8.0,8.0,-94,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.40",--,--,4G,LTE,-116.0,-12.0,8.0,12.0,-90,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.41",--,--,4G,LTE,-107.0,-9.0,12.0,14.0,-88,25.0,7.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.42",--,--,4G,LTE,-107.0,-9.0,12.0,11.0,-88,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.43",--,--,4G,LTE,-104.0,-12.0,9.0,14.0,-88,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.44",--,--,4G,LTE,-104.0,-12.0,9.0,10.0,-78,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.45",--,--,4G,LTE,-99.0,-8.0,8.0,9.0,-82,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.46",--,--,4G,LTE,-99.0,-8.0,8.0,8.0,-,19.0,3.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.47",--,--,4G,LTE,-103.0,-9.0,6.0,12.0,-86,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.49",--,--,4G,LTE,-103.0,-9.0,6.0,11.0,-88,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.50",--,--,4G,LTE,-104.0,-13.0,5.0,15.0,-89,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.50",--,--,4G,LTE,-104.0,-13.0,5.0,8.0,-87,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.52",--,--,4G,LTE,-106.0,-13.0,6.0,13.0,-89,23.0,6.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.53",--,--,4G,LTE,-106.0,-13.0,6.0,13.0,-89,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.53",--,--,4G,LTE,-105.0,-10.0,4.0,11.0,-88,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.55",--,--,4G,LTE,-105.0,-10.0,4.0,7.0,-85,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.56",--,--,4G,LTE,-103.0,-12.0,11.0,11.0,-85,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.57",--,--,4G,LTE,-103.0,-12.0,11.0,11.0,-87,19.0,2.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.38.58",--,--,4G,LTE,-104.0,-9.0,12.0,11.0,-85,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.38.59",--,--,4G,LTE,-104.0,-9.0,12.0,14.0,-85,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.39.00",--,--,4G,LTE,-103.0,-8.0,8.0,14.0,-91,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.39.01",--,--,4G,LTE,-103.0,-8.0,8.0,8.0,-94,0.0,1.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.39.02",--,--,4G,LTE,-110.0,-12.0,10.0,9.0,-94,18.0,1.0,--,-10000.0,D,PERIODIC,4M3
"
2022.08.25_17.39.03",--,--,4G,LTE,-110.0,-12.0,10.0,13.0,-,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
"
2022.08.25_17.39.04",--,--,4G,LTE,-109.0,-12.0,7.0,11.0,-92,0.0,0.0,--,-10000.0,I,PERIODIC,4M3
