Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.59.56",7.0780710000000004,43.606218,4G,LTE,-78.0,-11.0,8.0,13.0,-83.0,0.0,0.0,144.0,144.0,I,LOG START,4Mc22n
"
2022.11.22_14.59.57",7.0780710000000004,43.606218,4G,LTE,-78.0,-11.0,8.0,13.0,-83.0,0.0,0.0,144.0,144.0,I,PERIODIC,4Mc22n
"
2022.11.22_14.59.57",7.078146,43.606188,4G,LTE,-78.0,-11.0,8.0,13.0,-83.0,0.0,0.0,144.0,144.0,I,,4Mc22n
"
2022.11.22_14.59.58",7.078146,43.606188,4G,LTE,-81.0,-12.0,4.0,12.0,-81.0,0.0,0.0,144.0,144.0,I,PERIODIC,4Mc22n
"
2022.11.22_14.59.59",7.078146,43.606188,4G,LTE,-81.0,-12.0,4.0,12.0,-79.0,0.0,0.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.00",7.078146,43.606188,4G,LTE,-83.0,-12.0,4.0,9.0,-83.0,17.0,16.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.00",7.078311,43.606126,4G,LTE,-83.0,-12.0,4.0,9.0,-83.0,17.0,16.0,144.0,144.0,D,,4Mc22n
"
2022.11.22_15.00.01",7.078311,43.606126,4G,LTE,-83.0,-12.0,4.0,9.0,-87.0,28.0,27.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.02",7.078311,43.606126,4G,LTE,-82.0,-11.0,-1.0,12.0,-83.0,31.0,8.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.02",7.078457000000001,43.606071,4G,LTE,-82.0,-11.0,-1.0,12.0,-83.0,31.0,8.0,144.0,144.0,D,,4Mc22n
"
2022.11.22_15.00.03",7.078457000000001,43.606071,4G,LTE,-82.0,-11.0,-1.0,12.0,-87.0,27.0,11.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.04",7.078457000000001,43.606071,4G,LTE,-87.0,-12.0,1.0,10.0,-87.0,27.0,9.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.04",7.07863,43.606006,4G,LTE,-87.0,-12.0,1.0,10.0,-87.0,27.0,9.0,144.0,144.0,D,,4Mc22n
"
2022.11.22_15.00.05",7.07863,43.606006,4G,LTE,-87.0,-12.0,1.0,10.0,-87.0,60.0,5.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.06",7.07863,43.606006,4G,LTE,-85.0,-14.0,1.0,10.0,-85.0,0.0,1.0,144.0,144.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.06",7.078828,43.605936,4G,LTE,-85.0,-14.0,1.0,10.0,-85.0,0.0,1.0,145.0,145.0,D,,4Mc22n
"
2022.11.22_15.00.07",7.078828,43.605936,4G,LTE,-85.0,-14.0,1.0,10.0,-85.0,5.0,1.0,145.0,145.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.08",7.078828,43.605936,4G,LTE,-84.0,-14.0,2.0,6.0,-85.0,0.0,0.0,145.0,145.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.08",7.079039,43.60586,4G,LTE,-84.0,-14.0,2.0,6.0,-85.0,0.0,0.0,145.0,145.0,I,,4Mc22n
"
2022.11.22_15.00.09",7.079039,43.60586,4G,LTE,-84.0,-14.0,2.0,6.0,-79.0,0.0,0.0,145.0,145.0,I,PERIODIC,4Mc22n
"
2022.11.22_15.00.10",7.079039,43.60586,4G,LTE,-75.0,-12.0,5.0,8.0,-75.0,0.0,0.0,145.0,145.0,I,PERIODIC,4Mc22n
"
2022.11.22_15.00.10",7.079262,43.605778,4G,LTE,-75.0,-12.0,5.0,8.0,-75.0,0.0,0.0,145.0,145.0,D,,4Mc22n
"
2022.11.22_15.00.11",7.079262,43.605778,4G,LTE,-75.0,-12.0,5.0,8.0,-75.0,0.0,0.0,145.0,145.0,D,PERIODIC,4Mc22n
"
2022.11.22_15.00.11",7.079378999999999,43.605734000000005,4G,LTE,-75.0,-12.0,5.0,8.0,-75.0,0.0,0.0,145.0,145.0,I,,4Mc22n
