Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_10.19.21",7.054888,43.615555,4G,LTE,-84.0,-12.0,13.0,-,-85.0,0.0,0.0,213.0,213.0,I,LOG START,4Mhq
"
2022.11.23_10.19.21",7.054888,43.615555,4G,LTE,-84.0,-12.0,13.0,-,-85.0,0.0,0.0,213.0,213.0,I,PERIODIC,4Mhq
"
2022.11.23_10.19.21",7.054971000000001,43.615623,4G,LTE,-84.0,-12.0,13.0,-,-87.0,0.0,0.0,214.0,214.0,I,,4Mhq
"
2022.11.23_10.19.22",7.054971000000001,43.615623,4G,LTE,-84.0,-12.0,10.0,-,-87.0,0.0,0.0,214.0,214.0,I,PERIODIC,4Mhq
"
2022.11.23_10.19.22",7.0550429999999995,43.6157,4G,LTE,-84.0,-12.0,10.0,-,-87.0,0.0,0.0,213.0,213.0,I,,4Mhq
"
2022.11.23_10.19.23",7.0550429999999995,43.6157,4G,LTE,-84.0,-12.0,10.0,-,-87.0,0.0,0.0,213.0,213.0,I,PERIODIC,4Mhq
"
2022.11.23_10.19.23",7.055097999999999,43.615784999999995,4G,LTE,-84.0,-12.0,10.0,-,-87.0,0.0,0.0,214.0,214.0,I,,4Mhq
"
2022.11.23_10.19.24",7.055097999999999,43.615784999999995,4G,LTE,-98.0,-12.0,8.0,-,-87.0,0.0,0.0,214.0,214.0,I,IRAT_CELL_RESELECTION_5G4G,4Mhq
"
2022.11.23_10.19.24",7.055142999999999,43.615879,4G,LTE,-98.0,-12.0,8.0,-,-87.0,0.0,0.0,214.0,214.0,I,,4Mhq
"
2022.11.23_10.19.25",7.055142999999999,43.615879,4G,LTE,-98.0,-12.0,8.0,-,-99.0,0.0,0.0,214.0,214.0,I,PERIODIC,4Mhq
"
2022.11.23_10.19.25",7.055159,43.615976,4G,LTE,-98.0,-12.0,8.0,-,-99.0,0.0,0.0,214.0,214.0,I,,4Mhq
"
2022.11.23_10.19.26",7.055159,43.615976,4G,LTE,-103.0,-12.0,10.0,10,-99.0,20.0,29.0,214.0,214.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.26",7.05515,43.616074,4G,LTE,-103.0,-12.0,10.0,10,-99.0,20.0,29.0,214.0,214.0,D,,4Mhq
"
2022.11.23_10.19.27",7.05515,43.616074,4G,LTE,-103.0,-12.0,10.0,10,-99.0,164.0,39.0,214.0,214.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.27",7.05512,43.616174,4G,LTE,-103.0,-12.0,10.0,10,-99.0,164.0,39.0,215.0,215.0,D,,4Mhq
"
2022.11.23_10.19.28",7.05512,43.616174,4G,LTE,-99.0,-13.0,19.0,12,-99.0,14.0,12.0,215.0,215.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.28",7.055075,43.616275,4G,LTE,-99.0,-13.0,19.0,12,-99.0,14.0,12.0,216.0,216.0,D,,4Mhq
"
2022.11.23_10.19.29",7.055075,43.616275,4G,LTE,-99.0,-13.0,19.0,12,-95.0,46.0,20.0,216.0,216.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.29",7.055038000000001,43.616371,4G,LTE,-99.0,-13.0,19.0,12,-95.0,46.0,20.0,217.0,217.0,D,,4Mhq
"
2022.11.23_10.19.30",7.055038000000001,43.616371,4G,LTE,-95.0,-7.0,21.0,11,-99.0,54.0,8.0,217.0,217.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.30",7.055006,43.616467,4G,LTE,-95.0,-7.0,21.0,11,-99.0,54.0,8.0,218.0,218.0,D,,4Mhq
"
2022.11.23_10.19.31",7.055006,43.616467,4G,LTE,-95.0,-7.0,21.0,11,-99.0,55.0,14.0,218.0,218.0,D,PERIODIC,4Mhq
"
2022.11.23_10.19.32",7.055006,43.616467,4G,LTE,-98.0,-11.0,11.0,11,-99.0,0.0,0.0,218.0,218.0,D,PERIODIC,4Mhq
