Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,0,,0,216,0,-51,,,3G,,0,215,,,34,0,-51,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
,,,,,,,,,,,,,,,,,,,4Mi
