Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.48.19",7.053789,43.614371000000006,4G,LTE,-107.0,-15.0,2.0,11,-107.0,0.0,0.0,200.0,200.0,D,LOG START,4Mj22n
"
2022.11.22_14.48.20",7.053762,43.614416999999996,4G,LTE,-107.0,-15.0,2.0,11,-109.0,0.0,0.0,201.0,201.0,I,,4Mj22n
"
2022.11.22_14.48.20",7.053762,43.614416999999996,4G,LTE,-109.0,-14.0,5.0,8,-109.0,0.0,0.0,201.0,201.0,I,PERIODIC,4Mj22n
"
2022.11.22_14.48.21",7.053762,43.614416999999996,4G,LTE,-109.0,-14.0,5.0,8,-109.0,0.0,0.0,201.0,201.0,I,PERIODIC,4Mj22n
"
2022.11.22_14.48.22",7.053692,43.614511,4G,LTE,-109.0,-14.0,5.0,8,-107.0,0.0,0.0,202.0,202.0,I,,4Mj22n
"
2022.11.22_14.48.22",7.053692,43.614511,4G,LTE,-107.0,-14.0,5.0,10,-107.0,17.0,5.0,202.0,202.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.23",7.053692,43.614511,4G,LTE,-107.0,-14.0,5.0,10,-105.0,23.0,5.0,202.0,202.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.24",7.0535820000000005,43.614633000000005,4G,LTE,-107.0,-14.0,5.0,10,-105.0,23.0,5.0,203.0,203.0,D,,4Mj22n
"
2022.11.22_14.48.24",7.0535820000000005,43.614633000000005,4G,LTE,-106.0,-13.0,10.0,8,-105.0,31.0,7.0,203.0,203.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.25",7.0535820000000005,43.614633000000005,4G,LTE,-106.0,-13.0,10.0,8,-105.0,12.0,3.0,203.0,203.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.26",7.053472,43.614751,4G,LTE,-106.0,-13.0,10.0,8,-103.0,12.0,3.0,203.0,203.0,D,,4Mj22n
"
2022.11.22_14.48.26",7.053472,43.614751,4G,LTE,-102.0,-13.0,5.0,10,-103.0,10.0,3.0,203.0,203.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.27",7.053472,43.614751,4G,LTE,-102.0,-13.0,5.0,10,-103.0,12.0,4.0,203.0,203.0,D,PERIODIC,4Mj22n
"
2022.11.22_14.48.28",7.053383999999999,43.614886,4G,LTE,-102.0,-13.0,5.0,10,-103.0,12.0,4.0,205.0,205.0,D,,4Mj22n
