Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_10.40.44",7.116388000000001,43.617061,4G,LTE,-95.0,-11.0,6.0,10.0,-80,0.0,0.0,193.0,193.0,D,LOG START,4Mnice15
"
2022.09.15_10.40.44",7.116388000000001,43.617061,4G,LTE,-95.0,-11.0,6.0,10.0,-80,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.45",7.116388000000001,43.617061,4G,LTE,-98.0,-10.0,9.0,5.0,-82,101.0,27.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.46",7.116388000000001,43.617061,4G,LTE,-98.0,-10.0,9.0,5.0,-82,21.0,20.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.47",7.116388000000001,43.617061,4G,LTE,-98.0,-10.0,9.0,9.0,-80,29.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.48",7.116388000000001,43.617061,4G,LTE,-97.0,-13.0,7.0,9.0,-80,240.0,76.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.49",7.116388000000001,43.617061,4G,LTE,-97.0,-13.0,7.0,12.0,-76,5.0,14.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.50",7.116388000000001,43.617061,4G,LTE,-92.0,-11.0,7.0,11.0,-77,10.0,2.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.51",7.116388000000001,43.617061,4G,LTE,-92.0,-11.0,7.0,11.0,-75,57.0,20.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.52",7.116388000000001,43.617061,4G,LTE,-90.0,-11.0,13.0,9.0,-,47.0,13.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.53",7.116388000000001,43.617061,4G,LTE,-90.0,-11.0,13.0,14.0,-62,22.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.54",7.116388000000001,43.617061,4G,LTE,-80.0,-10.0,13.0,11.0,-56,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.55",7.116388000000001,43.617061,4G,LTE,-80.0,-10.0,13.0,12.0,-60,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.40.56",7.116388000000001,43.617061,4G,LTE,-75.0,-8.0,16.0,11.0,-63,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.40.57",7.116388000000001,43.617061,4G,LTE,-75.0,-8.0,16.0,9.0,-65,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.40.58",7.116388000000001,43.617061,4G,LTE,-82.0,-10.0,-1.0,14.0,-68,19.0,3.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnice15
"
2022.09.15_10.40.59",7.116388000000001,43.617061,4G,LTE,-82.0,-10.0,-1.0,13.0,-70,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.00",7.116388000000001,43.617061,4G,LTE,-85.0,-9.0,9.0,9.0,-70,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.01",7.116388000000001,43.617061,4G,LTE,-85.0,-9.0,9.0,11.0,-70,4.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.02",7.116388000000001,43.617061,4G,LTE,-87.0,-10.0,9.0,11.0,-70,40.0,50.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.03",7.116388000000001,43.617061,4G,LTE,-87.0,-10.0,9.0,14.0,-70,37.0,23.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.04",7.116388000000001,43.617061,4G,LTE,-89.0,-9.0,13.0,14.0,-70,19.0,9.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.05",7.116388000000001,43.617061,4G,LTE,-89.0,-9.0,13.0,14.0,-70,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.06",7.116388000000001,43.617061,4G,LTE,-87.0,-12.0,24.0,14.0,-70,288.0,143.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.07",7.116388000000001,43.617061,4G,LTE,-87.0,-12.0,24.0,15.0,-73,152.0,47.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.08",7.116388000000001,43.617061,4G,LTE,-90.0,-8.0,14.0,10.0,-71,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.09",7.116388000000001,43.617061,4G,LTE,-90.0,-8.0,14.0,13.0,-73,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.10",7.116388000000001,43.617061,4G,LTE,-91.0,-10.0,10.0,13.0,-73,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.11",7.116388000000001,43.617061,4G,LTE,-91.0,-10.0,10.0,10.0,-,4.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.12",7.116388000000001,43.617061,4G,LTE,-92.0,-9.0,8.0,10.0,-,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.13",7.116388000000001,43.617061,4G,LTE,-92.0,-9.0,8.0,10.0,-,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.14",7.116388000000001,43.617061,4G,LTE,-93.0,-6.0,20.0,10.0,-,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.15",7.116388000000001,43.617061,4G,LTE,-93.0,-6.0,20.0,9.0,-73,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.16",7.116388000000001,43.617061,4G,LTE,-91.0,-9.0,8.0,10.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.17",7.116388000000001,43.617061,4G,LTE,-91.0,-9.0,8.0,7.0,-79,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.18",7.116388000000001,43.617061,4G,LTE,-98.0,-10.0,4.0,10.0,-81,1.0,0.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.19",7.116388000000001,43.617061,4G,LTE,-98.0,-10.0,4.0,10.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnice15
"
2022.09.15_10.41.20",7.116388000000001,43.617061,4G,LTE,-97.0,-8.0,2.0,10.0,-81,115.0,73.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.21",7.116388000000001,43.617061,4G,LTE,-97.0,-8.0,2.0,10.0,-81,590.0,139.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.22",7.116388000000001,43.617061,4G,LTE,-97.0,-12.0,11.0,5.0,-83,1090.0,252.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.23",7.116388000000001,43.617061,4G,LTE,-97.0,-12.0,11.0,9.0,-90,19228.0,327.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.24",7.116388000000001,43.617061,4G,LTE,-107.0,-13.0,8.0,9.0,-90,42438.0,502.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.25",7.116388000000001,43.617061,4G,LTE,-107.0,-13.0,8.0,9.0,-90,37183.0,189.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.27",7.116388000000001,43.617061,4G,LTE,-108.0,-13.0,8.0,9.0,-90,41776.0,243.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.28",7.116388000000001,43.617061,4G,LTE,-108.0,-13.0,8.0,5.0,-,35518.0,180.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.29",7.116388000000001,43.617061,4G,LTE,-107.0,-13.0,5.0,5.0,-,19881.0,141.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.30",7.116388000000001,43.617061,4G,LTE,-107.0,-13.0,5.0,5.0,-,12329.0,88.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.31",7.116388000000001,43.617061,4G,LTE,-108.0,-15.0,1.0,5.0,-,16780.0,152.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.32",7.116388000000001,43.617061,4G,LTE,-108.0,-15.0,1.0,3.0,-94,16780.0,152.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.33",7.116388000000001,43.617061,4G,LTE,-108.0,-14.0,-1.0,3.0,-94,8843.0,119.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.34",7.116388000000001,43.617061,4G,LTE,-108.0,-14.0,-1.0,3.0,-94,7534.0,80.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.35",7.116388000000001,43.617061,4G,LTE,-110.0,-17.0,-4.0,3.0,-94,6758.0,76.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.36",7.116388000000001,43.617061,4G,LTE,-110.0,-17.0,-4.0,3.0,-94,9285.0,120.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.37",7.116388000000001,43.617061,4G,LTE,-110.0,-15.0,-2.0,3.0,-94,15760.0,152.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.38",7.116388000000001,43.617061,4G,LTE,-110.0,-15.0,-2.0,6.0,-91,9616.0,114.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.39",7.116388000000001,43.617061,4G,LTE,-108.0,-14.0,2.0,6.0,-91,10268.0,94.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.40",7.116388000000001,43.617061,4G,LTE,-108.0,-14.0,2.0,5.0,-94,8448.0,99.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.41",7.116388000000001,43.617061,4G,LTE,-114.0,-18.0,-3.0,7.0,-94,9164.0,100.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.42",7.116388000000001,43.617061,4G,LTE,-114.0,-18.0,-3.0,6.0,-94,16153.0,143.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.43",7.116388000000001,43.617061,4G,LTE,-114.0,-15.0,0.0,6.0,-94,15644.0,164.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.44",7.116388000000001,43.617061,4G,LTE,-114.0,-15.0,0.0,6.0,-94,14444.0,120.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.45",7.116388000000001,43.617061,4G,LTE,-113.0,-15.0,1.0,6.0,-,18101.0,132.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.46",7.116388000000001,43.617061,4G,LTE,-113.0,-15.0,1.0,7.0,-94,14127.0,146.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.47",7.116388000000001,43.617061,4G,LTE,-111.0,-15.0,-2.0,6.0,-94,6500.0,204.0,193.0,193.0,D,PERIODIC,4Mnice15
"
2022.09.15_10.41.48",7.116388000000001,43.617061,4G,LTE,-111.0,-15.0,-2.0,6.0,-94,12118.0,107.0,193.0,193.0,D,PERIODIC,4Mnice15
