Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.40.24",7.049663000000001,43.624593,4G,LTE,-92.0,-12.0,12.0,10.0,-91.0,17.0,26.0,187.0,187.0,D,LOG START,4Mo22n
"
2022.11.22_14.40.25",7.049677,43.624653,4G,LTE,-92.0,-12.0,12.0,10.0,-91.0,17.0,26.0,187.0,187.0,D,,4Mo22n
"
2022.11.22_14.40.25",7.049677,43.624653,4G,LTE,-91.0,-12.0,13.0,10.0,-91.0,0.0,0.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.26",7.049677,43.624653,4G,LTE,-91.0,-12.0,13.0,10.0,-93.0,1.0,0.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.27",7.049677,43.624653,4G,LTE,-91.0,-12.0,13.0,10.0,-91.0,0.0,0.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.28",7.049677,43.624653,4G,LTE,-92.0,-14.0,-8.0,13.0,-91.0,41.0,11.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.29",7.049675,43.624769,4G,LTE,-92.0,-14.0,-8.0,13.0,-89.0,41.0,11.0,187.0,187.0,D,,4Mo22n
"
2022.11.22_14.40.29",7.049675,43.624769,4G,LTE,-92.0,-14.0,-8.0,13.0,-89.0,0.0,4.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.30",7.049675,43.624769,4G,LTE,-91.0,-12.0,13.0,15.0,-91.0,32.0,4.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.31",7.049703,43.624883000000004,4G,LTE,-91.0,-12.0,13.0,15.0,-89.0,32.0,4.0,187.0,187.0,D,,4Mo22n
"
2022.11.22_14.40.31",7.049703,43.624883000000004,4G,LTE,-91.0,-12.0,13.0,15.0,-89.0,73.0,34.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.32",7.049703,43.624883000000004,4G,LTE,-92.0,-13.0,-2.0,15.0,-93.0,0.0,0.0,187.0,187.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.33",7.049755,43.625037,4G,LTE,-92.0,-13.0,-2.0,15.0,-93.0,0.0,0.0,186.0,186.0,D,,4Mo22n
"
2022.11.22_14.40.33",7.049755,43.625037,4G,LTE,-92.0,-13.0,-2.0,15.0,-93.0,9.0,7.0,186.0,186.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.34",7.0498,43.625122,4G,LTE,-92.0,-13.0,-2.0,15.0,-93.0,9.0,7.0,185.0,185.0,D,,4Mo22n
"
2022.11.22_14.40.34",7.0498,43.625122,4G,LTE,-93.0,-13.0,13.0,15.0,-93.0,24.0,6.0,185.0,185.0,D,PERIODIC,4Mo22n
"
2022.11.22_14.40.35",7.049844,43.625209000000005,4G,LTE,-93.0,-13.0,13.0,15.0,-93.0,24.0,6.0,185.0,185.0,D,,4Mo22n
