Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_15.08.13",7.105266,43.596745,4G,LTE,-88.0,-9.0,9.0,-,-89.0,0.0,5.0,104.0,104.0,D,LOG START,4Mop22n
"
2022.11.22_15.08.13",7.105266,43.596745,4G,LTE,-88.0,-9.0,9.0,-,-89.0,0.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.14",7.105314,43.596696,4G,LTE,-88.0,-9.0,9.0,-,-89.0,0.0,5.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.14",7.105314,43.596696,4G,LTE,-88.0,-8.0,12.0,9,-91.0,14.0,24.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.15",7.105314,43.596696,4G,LTE,-88.0,-8.0,12.0,9,-91.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.16",7.105314,43.596696,4G,LTE,-90.0,-10.0,12.0,9,-87.0,37.0,12.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.17",7.1054059999999994,43.596594,4G,LTE,-90.0,-10.0,12.0,9,-87.0,37.0,12.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.17",7.1054059999999994,43.596594,4G,LTE,-90.0,-10.0,12.0,9,-85.0,38.0,11.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.18",7.1054059999999994,43.596594,4G,LTE,-85.0,-10.0,14.0,12,-89.0,14.0,4.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.19",7.1054059999999994,43.596594,4G,LTE,-85.0,-10.0,14.0,12,-87.0,48.0,21.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.20",7.1054059999999994,43.596594,4G,LTE,-87.0,-11.0,15.0,9,-87.0,48.0,9.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.21",7.1054059999999994,43.596594,4G,LTE,-87.0,-11.0,15.0,9,-87.0,12.0,2.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.22",7.1054059999999994,43.596594,4G,LTE,-86.0,-9.0,17.0,10,-87.0,0.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.23",7.1054059999999994,43.596594,4G,LTE,-86.0,-9.0,17.0,10,-85.0,50.0,10.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.24",7.1054059999999994,43.596594,4G,LTE,-85.0,-12.0,16.0,11,-85.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.25",7.1054059999999994,43.596594,4G,LTE,-85.0,-12.0,16.0,11,-85.0,1.0,0.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.26",7.1054059999999994,43.596594,4G,LTE,-86.0,-9.0,16.0,11,-87.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.27",7.1054059999999994,43.596594,4G,LTE,-86.0,-9.0,16.0,11,-87.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.28",7.1054059999999994,43.596594,4G,LTE,-87.0,-12.0,16.0,11,-87.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.29",7.1054059999999994,43.596594,4G,LTE,-87.0,-12.0,16.0,11,-87.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.31",7.1054059999999994,43.596594,4G,LTE,-87.0,-8.0,10.0,11,-85.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.31",7.1054059999999994,43.596594,4G,LTE,-87.0,-8.0,10.0,11,-85.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.32",7.1054059999999994,43.596594,4G,LTE,-86.0,-11.0,13.0,11,-85.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.33",7.1054059999999994,43.596594,4G,LTE,-86.0,-11.0,13.0,11,-85.0,0.0,0.0,104.0,104.0,I,PERIODIC,4Mop22n
"
2022.11.22_15.08.34",7.1054059999999994,43.596594,4G,LTE,-84.0,-8.0,12.0,10,-85.0,59.0,38.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.36",7.1054059999999994,43.596594,4G,LTE,-84.0,-8.0,12.0,10,-85.0,559.0,71.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.36",7.105484,43.596513,4G,LTE,-84.0,-8.0,12.0,10,-85.0,559.0,71.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.37",7.105484,43.596513,4G,LTE,-84.0,-7.0,9.0,11,-85.0,6131.0,261.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.38",7.105484,43.596513,4G,LTE,-84.0,-7.0,9.0,11,-85.0,86550.0,457.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.39",7.105484,43.596513,4G,LTE,-85.0,-11.0,11.0,10,-85.0,75205.0,199.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.40",7.105484,43.596513,4G,LTE,-85.0,-11.0,11.0,10,-83.0,37900.0,65.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.40",7.105561,43.596439000000004,4G,LTE,-85.0,-11.0,11.0,10,-81.0,37900.0,65.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.41",7.105561,43.596439000000004,4G,LTE,-85.0,-11.0,11.0,10,-81.0,37208.0,79.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.42",7.105561,43.596439000000004,4G,LTE,-78.0,-10.0,10.0,15,-79.0,4.0,28.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.43",7.105561,43.596439000000004,4G,LTE,-78.0,-10.0,10.0,15,-79.0,60063.0,122.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.44",7.105561,43.596439000000004,4G,LTE,-77.0,-13.0,17.0,12,-79.0,3.0,12.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.45",7.105561,43.596439000000004,4G,LTE,-77.0,-13.0,17.0,12,-77.0,7.0,6.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.46",7.105561,43.596439000000004,4G,LTE,-78.0,-12.0,15.0,12,-79.0,31488.0,136.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.47",7.105561,43.596439000000004,4G,LTE,-78.0,-12.0,15.0,12,-79.0,8.0,14.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.48",7.105561,43.596439000000004,4G,LTE,-77.0,-12.0,15.0,11,-79.0,37208.0,71.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.49",7.105561,43.596439000000004,4G,LTE,-77.0,-12.0,15.0,11,-79.0,3.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.50",7.105561,43.596439000000004,4G,LTE,-79.0,-13.0,14.0,12,-79.0,4.0,6.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.51",7.105561,43.596439000000004,4G,LTE,-79.0,-13.0,14.0,12,-79.0,29059.0,81.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.52",7.105561,43.596439000000004,4G,LTE,-78.0,-12.0,14.0,12,-79.0,10.0,19.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.52",7.105642,43.596352,4G,LTE,-78.0,-12.0,14.0,12,-81.0,10.0,19.0,105.0,105.0,D,,4Mop22n
"
2022.11.22_15.08.53",7.105642,43.596352,4G,LTE,-78.0,-12.0,14.0,12,-81.0,14168.0,84.0,105.0,105.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.54",7.105642,43.596352,4G,LTE,-84.0,-7.0,12.0,9,-85.0,22486.0,64.0,105.0,105.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.55",7.105642,43.596352,4G,LTE,-84.0,-7.0,12.0,9,-79.0,4.0,5.0,105.0,105.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.55",7.105727000000001,43.596267,4G,LTE,-84.0,-7.0,12.0,9,-79.0,4.0,5.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.56",7.105727000000001,43.596267,4G,LTE,-77.0,-10.0,16.0,10,-79.0,485.0,28.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.57",7.105727000000001,43.596267,4G,LTE,-77.0,-10.0,16.0,10,-77.0,26104.0,66.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.57",7.105810000000001,43.596185999999996,4G,LTE,-77.0,-10.0,16.0,10,-77.0,26104.0,66.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.08.58",7.105810000000001,43.596185999999996,4G,LTE,-76.0,-12.0,17.0,12,-77.0,37208.0,65.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.59",7.105810000000001,43.596185999999996,4G,LTE,-76.0,-12.0,17.0,12,-83.0,4.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.08.59",7.105907000000001,43.596084999999995,4G,LTE,-76.0,-12.0,17.0,12,-83.0,4.0,5.0,104.0,104.0,D,,4Mop22n
"
2022.11.22_15.09.00",7.105907000000001,43.596084999999995,4G,LTE,-83.0,-7.0,5.0,14,-83.0,3.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.09.01",7.105907000000001,43.596084999999995,4G,LTE,-83.0,-7.0,5.0,14,-79.0,3.0,5.0,104.0,104.0,D,PERIODIC,4Mop22n
"
2022.11.22_15.09.01",7.106021000000001,43.595956,4G,LTE,-83.0,-7.0,5.0,14,-85.0,3.0,5.0,105.0,105.0,D,,4Mop22n
