Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_10.11.14",7.045057000000001,43.623533,4G,LTE,-108.0,-15.0,-14.0,5.0,-107.0,0.0,0.0,185.0,185.0,I,LOG START,4Mq
"
2022.11.23_10.11.14",7.045125,43.623509999999996,4G,LTE,-108.0,-15.0,-14.0,5.0,-107.0,0.0,0.0,191.0,191.0,I,,4Mq
"
2022.11.23_10.11.14",7.045125,43.623509999999996,4G,LTE,-108.0,-15.0,-14.0,5.0,-107.0,0.0,0.0,191.0,191.0,I,PERIODIC,4Mq
"
2022.11.23_10.11.15",7.045125,43.623509999999996,4G,LTE,-109.0,-15.0,-1.0,8.0,-109.0,0.0,0.0,191.0,191.0,I,PERIODIC,4Mq
"
2022.11.23_10.11.16",7.0452770000000005,43.623468,4G,LTE,-109.0,-15.0,-1.0,8.0,-109.0,0.0,0.0,200.0,200.0,D,,4Mq
"
2022.11.23_10.11.16",7.0452770000000005,43.623468,4G,LTE,-109.0,-15.0,-1.0,8.0,-109.0,0.0,24.0,200.0,200.0,D,PERIODIC,4Mq
"
2022.11.23_10.11.17",7.0452770000000005,43.623468,4G,LTE,-111.0,-16.0,-5.0,8.0,-111.0,0.0,16.0,200.0,200.0,D,PERIODIC,4Mq
"
2022.11.23_10.11.18",7.0452770000000005,43.623468,4G,LTE,-111.0,-16.0,-5.0,8.0,-111.0,0.0,2.0,200.0,200.0,D,PERIODIC,4Mq
"
2022.11.23_10.11.18",7.045414,43.623409,4G,LTE,-111.0,-16.0,-5.0,8.0,-111.0,0.0,2.0,201.0,201.0,D,,4Mq
"
2022.11.23_10.11.19",7.045414,43.623409,4G,LTE,-111.0,-16.0,-3.0,9.0,-111.0,18.0,25.0,201.0,201.0,D,PERIODIC,4Mq
"
2022.11.23_10.11.20",7.045414,43.623409,4G,LTE,-111.0,-16.0,-3.0,9.0,-111.0,11.0,20.0,201.0,201.0,D,PERIODIC,4Mq
"
2022.11.23_10.11.20",7.0455380000000005,43.62339,4G,LTE,-111.0,-16.0,-3.0,9.0,-111.0,11.0,20.0,202.0,202.0,D,,4Mq
