Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.56.04",7.0737559999999995,43.614771000000005,4G,LTE,-96.0,-12.0,8.0,10.0,-91.0,0.0,0.0,151.0,151.0,I,LOG START,4Mt22n
"
2022.11.22_14.56.04",7.073716,43.614682,4G,LTE,-96.0,-12.0,8.0,10.0,-91.0,0.0,0.0,151.0,151.0,I,,4Mt22n
"
2022.11.22_14.56.04",7.073716,43.614682,4G,LTE,-91.0,-11.0,10.0,11.0,-91.0,0.0,0.0,151.0,151.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.06",7.073716,43.614682,4G,LTE,-91.0,-11.0,10.0,11.0,-95.0,0.0,0.0,151.0,151.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.06",7.073668,43.614505,4G,LTE,-91.0,-11.0,10.0,11.0,-95.0,0.0,0.0,149.0,149.0,I,,4Mt22n
"
2022.11.22_14.56.06",7.073668,43.614505,4G,LTE,-94.0,-12.0,9.0,9.0,-95.0,0.0,0.0,149.0,149.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.07",7.073641,43.614411,4G,LTE,-94.0,-12.0,9.0,9.0,-95.0,0.0,0.0,149.0,149.0,I,,4Mt22n
"
2022.11.22_14.56.08",7.073641,43.614411,4G,LTE,-94.0,-12.0,9.0,9.0,-87.0,42.0,14.0,149.0,149.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.08",7.073624000000001,43.614313,4G,LTE,-94.0,-12.0,9.0,9.0,-87.0,42.0,14.0,149.0,149.0,D,,4Mt22n
"
2022.11.22_14.56.09",7.073624000000001,43.614313,4G,LTE,-86.0,-8.0,11.0,13.0,-89.0,5.0,7.0,149.0,149.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.09",7.07361,43.61422,4G,LTE,-86.0,-8.0,11.0,13.0,-89.0,5.0,7.0,149.0,149.0,D,,4Mt22n
"
2022.11.22_14.56.10",7.07361,43.61422,4G,LTE,-86.0,-8.0,11.0,13.0,-95.0,30.0,1.0,149.0,149.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.11",7.07361,43.61422,4G,LTE,-94.0,-7.0,8.0,11.0,-97.0,27.0,11.0,149.0,149.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.11",7.073581,43.61405,4G,LTE,-94.0,-7.0,8.0,11.0,-97.0,27.0,11.0,148.0,148.0,D,,4Mt22n
"
2022.11.22_14.56.12",7.073581,43.61405,4G,LTE,-94.0,-7.0,8.0,11.0,-93.0,64.0,23.0,148.0,148.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.13",7.073581,43.61405,4G,LTE,-92.0,-11.0,12.0,14.0,-91.0,5.0,3.0,148.0,148.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.13",7.073528,43.613907,4G,LTE,-92.0,-11.0,12.0,14.0,-91.0,5.0,3.0,148.0,148.0,D,,4Mt22n
"
2022.11.22_14.56.14",7.073528,43.613907,4G,LTE,-92.0,-11.0,12.0,14.0,-91.0,0.0,0.0,148.0,148.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.15",7.073528,43.613907,4G,LTE,-89.0,-6.0,16.0,13.0,-93.0,0.0,0.0,148.0,148.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.15",7.073417999999999,43.613788,4G,LTE,-89.0,-6.0,16.0,13.0,-93.0,0.0,0.0,147.0,147.0,I,,4Mt22n
"
2022.11.22_14.56.16",7.073417999999999,43.613788,4G,LTE,-89.0,-6.0,16.0,13.0,-93.0,0.0,0.0,147.0,147.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.17",7.073417999999999,43.613788,4G,LTE,-92.0,-7.0,9.0,10.0,-93.0,0.0,0.0,147.0,147.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.17",7.0732610000000005,43.613704999999996,4G,LTE,-92.0,-7.0,9.0,10.0,-93.0,0.0,0.0,146.0,146.0,I,,4Mt22n
"
2022.11.22_14.56.18",7.0732610000000005,43.613704999999996,4G,LTE,-92.0,-7.0,9.0,10.0,-93.0,0.0,0.0,146.0,146.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.19",7.0732610000000005,43.613704999999996,4G,LTE,-91.0,-7.0,11.0,10.0,-93.0,0.0,0.0,146.0,146.0,D,PERIODIC,4Mt22n
"
2022.11.22_14.56.19",7.073117999999999,43.613603999999995,4G,LTE,-91.0,-7.0,11.0,10.0,-93.0,0.0,0.0,144.0,144.0,D,,4Mt22n
"
2022.11.22_14.56.20",7.073117999999999,43.613603999999995,4G,LTE,-91.0,-7.0,11.0,10.0,-99.0,0.0,0.0,144.0,144.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.21",7.073117999999999,43.613603999999995,4G,LTE,-98.0,-11.0,7.0,10.0,-101.0,0.0,0.0,144.0,144.0,I,PERIODIC,4Mt22n
"
2022.11.22_14.56.21",7.073019,43.613458,4G,LTE,-98.0,-11.0,7.0,10.0,-101.0,0.0,0.0,143.0,143.0,I,,4Mt22n
"
2022.11.22_14.56.22",7.073019,43.613458,4G,LTE,-98.0,-11.0,7.0,10.0,-103.0,0.0,0.0,143.0,143.0,I,PERIODIC,4Mt22n
