Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_15.04.02",7.089042,43.602737,4G,LTE,-92.0,-13.0,10.0,10,-91.0,0.0,0.0,136.0,136.0,I,LOG START,4Mut22n
"
2022.11.22_15.04.03",7.089042,43.602737,4G,LTE,-91.0,-12.0,11.0,12,-91.0,1.0,0.0,136.0,136.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.03",7.089129,43.602717999999996,4G,LTE,-91.0,-12.0,11.0,12,-91.0,1.0,0.0,137.0,137.0,D,,4Mut22n
"
2022.11.22_15.04.04",7.089129,43.602717999999996,4G,LTE,-91.0,-12.0,11.0,12,-91.0,0.0,0.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.05",7.089129,43.602717999999996,4G,LTE,-92.0,-13.0,9.0,6,-91.0,0.0,0.0,137.0,137.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.05",7.089313000000001,43.602684,4G,LTE,-92.0,-13.0,9.0,6,-91.0,0.0,0.0,136.0,136.0,I,,4Mut22n
"
2022.11.22_15.04.06",7.089313000000001,43.602684,4G,LTE,-92.0,-13.0,9.0,6,-97.0,36.0,12.0,136.0,136.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.07",7.089523,43.602643,4G,LTE,-92.0,-13.0,10.0,6,-97.0,5.0,2.0,137.0,137.0,D,,4Mut22n
"
2022.11.22_15.04.07",7.089523,43.602643,4G,LTE,-95.0,-13.0,10.0,12,-97.0,5.0,2.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.08",7.089523,43.602643,4G,LTE,-95.0,-13.0,10.0,12,-93.0,31.0,6.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.09",7.089736,43.602614,4G,LTE,-94.0,-13.0,5.0,6,-93.0,14.0,4.0,137.0,137.0,D,,4Mut22n
"
2022.11.22_15.04.09",7.089736,43.602614,4G,LTE,-94.0,-13.0,5.0,6,-93.0,14.0,4.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.10",7.089857,43.602591,4G,LTE,-94.0,-13.0,5.0,6,-93.0,43.0,13.0,137.0,137.0,D,,4Mut22n
"
2022.11.22_15.04.10",7.089857,43.602591,4G,LTE,-94.0,-13.0,5.0,6,-93.0,43.0,13.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.11",7.089857,43.602591,4G,LTE,-93.0,-13.0,9.0,6,-93.0,7.0,2.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.12",7.0900929999999995,43.602552,4G,LTE,-93.0,-13.0,9.0,6,-91.0,0.0,0.0,136.0,136.0,I,,4Mut22n
"
2022.11.22_15.04.12",7.0900929999999995,43.602552,4G,LTE,-93.0,-13.0,9.0,6,-91.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.13",7.0900929999999995,43.602552,4G,LTE,-93.0,-13.0,9.0,6,-91.0,0.0,0.0,136.0,136.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.14",7.090325,43.602509000000005,4G,LTE,-93.0,-13.0,7.0,6,-91.0,0.0,0.0,136.0,136.0,I,,4Mut22n
"
2022.11.22_15.04.14",7.090325,43.602509000000005,4G,LTE,-90.0,-13.0,7.0,9,-91.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.15",7.090325,43.602509000000005,4G,LTE,-90.0,-13.0,7.0,9,-91.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.16",7.0905309999999995,43.602470000000004,4G,LTE,-90.0,-13.0,1.0,9,-95.0,0.0,0.0,136.0,136.0,I,,4Mut22n
"
2022.11.22_15.04.16",7.0905309999999995,43.602470000000004,4G,LTE,-94.0,-13.0,1.0,8,-95.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.17",7.0905309999999995,43.602470000000004,4G,LTE,-94.0,-13.0,1.0,8,-93.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.18",7.09072,43.60243,4G,LTE,-94.0,-13.0,1.0,8,-93.0,0.0,0.0,136.0,136.0,I,,4Mut22n
"
2022.11.22_15.04.18",7.09072,43.60243,4G,LTE,-92.0,-11.0,9.0,-,-93.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.19",7.09072,43.60243,4G,LTE,-92.0,-11.0,9.0,-,-93.0,0.0,0.0,136.0,136.0,I,PERIODIC,4Mut22n
"
2022.11.22_15.04.20",7.09087,43.602394,4G,LTE,-92.0,-11.0,8.0,-,-93.0,2.0,1.0,137.0,137.0,D,,4Mut22n
"
2022.11.22_15.04.20",7.09087,43.602394,4G,LTE,-92.0,-12.0,8.0,10,-93.0,2.0,1.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.21",7.09087,43.602394,4G,LTE,-92.0,-12.0,8.0,10,-93.0,0.0,0.0,137.0,137.0,D,PERIODIC,4Mut22n
"
2022.11.22_15.04.22",7.09087,43.602394,4G,LTE,-94.0,-14.0,8.0,9,-95.0,11.0,15.0,137.0,137.0,D,PERIODIC,4Mut22n
