Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_15.39.39",7.0577,43.617264,4G,LTE,-100.0,-17.0,-7.0,7.0,-86,0.0,0.0,214.0,214.0,I,LOG START,4My10
"
2022.09.10_15.39.40",7.0577,43.617264,4G,LTE,-102.0,-15.0,-8.0,7.0,-86,0.0,0.0,214.0,214.0,I,CELL_RESELECTION_4G4G,4My10
"
2022.09.10_15.39.41",7.057739,43.617374,4G,LTE,-102.0,-15.0,-8.0,7.0,-86,32.0,44.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.42",7.057739,43.617374,4G,LTE,-102.0,-14.0,0.0,9.0,-,12.0,5.0,214.0,214.0,D,HANDOVER_DATA_4G4G,4My10
"
2022.09.10_15.39.43",7.057739,43.617374,4G,LTE,-102.0,-14.0,0.0,12.0,-84,18.0,2.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.44",7.057739,43.617374,4G,LTE,-102.0,-13.0,2.0,12.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.45",7.057739,43.617374,4G,LTE,-102.0,-13.0,2.0,5.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.46",7.057739,43.617374,4G,LTE,-103.0,-11.0,5.0,10.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.47",7.057739,43.617374,4G,LTE,-103.0,-11.0,5.0,9.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.48",7.057739,43.617374,4G,LTE,-101.0,-10.0,8.0,11.0,-86,18.0,2.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.49",7.057739,43.617374,4G,LTE,-101.0,-10.0,8.0,9.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.50",7.057739,43.617374,4G,LTE,-105.0,-12.0,5.0,8.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.51",7.057739,43.617374,4G,LTE,-105.0,-12.0,5.0,11.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.52",7.057739,43.617374,4G,LTE,-105.0,-13.0,3.0,11.0,-88,0.0,1.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.53",7.057739,43.617374,4G,LTE,-105.0,-13.0,3.0,8.0,-85,18.0,1.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.54",7.057739,43.617374,4G,LTE,-102.0,-13.0,7.0,8.0,-85,0.0,0.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.55",7.057739,43.617374,4G,LTE,-102.0,-13.0,7.0,9.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.56",7.057739,43.617374,4G,LTE,-103.0,-14.0,1.0,7.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4My10
"
2022.09.10_15.39.57",7.057739,43.617374,4G,LTE,-103.0,-14.0,1.0,7.0,-87,0.0,1.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.58",7.057739,43.617374,4G,LTE,-105.0,-11.0,4.0,8.0,-87,18.0,1.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.39.59",7.057739,43.617374,4G,LTE,-105.0,-11.0,4.0,9.0,-88,51.0,6.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.40.00",7.057739,43.617374,4G,LTE,-101.0,-13.0,4.0,7.0,-88,64.0,13.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.40.01",7.057739,43.617374,4G,LTE,-101.0,-13.0,4.0,8.0,-86,1.0,1.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.40.02",7.057739,43.617374,4G,LTE,-102.0,-9.0,5.0,11.0,-,57.0,50.0,214.0,214.0,D,PERIODIC,4My10
"
2022.09.10_15.40.03",7.057739,43.617374,4G,LTE,-102.0,-9.0,5.0,8.0,-81,48.0,14.0,214.0,214.0,D,PERIODIC,4My10
