Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.27_17.08.40",7.065689,43.619974,4G,4G,-102.0,-14.0,-1.0,8,-103,0.0,0.0,167.0,167.0,D,LOG START,,,,4My27o
"
2022.10.27_17.08.40",7.065508,43.620095,4G,4G,-102.0,-14.0,-1.0,8,-103,0.0,0.0,163.0,163.0,D,,,,,4My27o
"
2022.10.27_17.08.41",7.065508,43.620095,4G,4G,-102.0,-17.0,-3.0,7,-103,41.0,18.0,163.0,163.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.41",7.065347999999999,43.620199,4G,4G,-102.0,-17.0,-3.0,7,-105,41.0,18.0,150.0,150.0,D,,,,,4My27o
"
2022.10.27_17.08.42",7.065347999999999,43.620199,4G,4G,-102.0,-17.0,-3.0,7,-105,0.0,0.0,150.0,150.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.42",7.065192999999999,43.620315000000005,4G,4G,-102.0,-17.0,-3.0,7,-97,0.0,0.0,150.0,150.0,I,,,,,4My27o
"
2022.10.27_17.08.43",7.065192999999999,43.620315000000005,4G,4G,-105.0,-15.0,-2.0,7,-97,0.0,0.0,150.0,150.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.43",7.065017999999999,43.620442,4G,4G,-105.0,-15.0,-2.0,7,-105,0.0,0.0,153.0,153.0,D,,,,,4My27o
"
2022.10.27_17.08.44",7.065017999999999,43.620442,4G,4G,-105.0,-15.0,-2.0,7,-105,58.0,37.0,153.0,153.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.44",7.06486,43.620554999999996,4G,4G,-105.0,-15.0,-2.0,7,-99,58.0,37.0,152.0,152.0,D,,,,,4My27o
"
2022.10.27_17.08.45",7.06486,43.620554999999996,4G,4G,-99.0,-14.0,3.0,6,-99,29.0,3.0,152.0,152.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.45",7.064714,43.620653999999995,4G,4G,-99.0,-14.0,3.0,6,-95,29.0,3.0,152.0,152.0,D,,,,,4My27o
"
2022.10.27_17.08.46",7.064714,43.620653999999995,4G,4G,-99.0,-14.0,3.0,6,-95,150.0,46.0,152.0,152.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.46",7.0645690000000005,43.620725,4G,4G,-99.0,-14.0,3.0,6,-95,150.0,46.0,152.0,152.0,D,,,,,4My27o
"
2022.10.27_17.08.47",7.0645690000000005,43.620725,4G,4G,-94.0,-13.0,4.0,6,-95,44.0,19.0,152.0,152.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.47",7.064424000000001,43.620775,4G,4G,-94.0,-13.0,4.0,6,-99,44.0,19.0,152.0,152.0,D,,,,,4My27o
"
2022.10.27_17.08.48",7.064424000000001,43.620775,4G,4G,-94.0,-13.0,4.0,6,-99,140.0,69.0,152.0,152.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.48",7.064292999999999,43.620807,4G,4G,-94.0,-13.0,4.0,6,-99,140.0,69.0,153.0,153.0,D,,,,,4My27o
"
2022.10.27_17.08.49",7.064292999999999,43.620807,4G,4G,-102.0,-14.0,4.0,10,-103,4.0,0.0,153.0,153.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.49",7.064172999999999,43.620832,4G,4G,-102.0,-14.0,4.0,10,-103,4.0,0.0,154.0,154.0,D,,,,,4My27o
"
2022.10.27_17.08.50",7.064172999999999,43.620832,4G,4G,-102.0,-14.0,4.0,10,-103,0.0,0.0,154.0,154.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.51",7.064172999999999,43.620832,4G,4G,-98.0,-15.0,-1.0,8,-99,0.0,0.0,154.0,154.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.51",7.063965,43.620897,4G,4G,-98.0,-15.0,-1.0,8,-99,0.0,0.0,155.0,155.0,I,,,,,4My27o
"
2022.10.27_17.08.52",7.063965,43.620897,4G,4G,-98.0,-15.0,-1.0,8,-99,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.53",7.063965,43.620897,4G,4G,-99.0,-16.0,-4.0,8,-95,1.0,1.0,155.0,155.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.53",7.063835000000001,43.620979,4G,4G,-99.0,-16.0,-4.0,8,-95,1.0,1.0,155.0,155.0,D,,,,,4My27o
"
2022.10.27_17.08.54",7.063835000000001,43.620979,4G,4G,-99.0,-16.0,-4.0,8,-97,0.0,0.0,155.0,155.0,D,PERIODIC,,,,4My27o
"
2022.10.27_17.08.55",7.063835000000001,43.620979,4G,4G,-97.0,-16.0,-1.0,5,-97,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.55",7.063688000000001,43.620998,4G,4G,-97.0,-16.0,-1.0,5,-97,0.0,0.0,155.0,155.0,I,,,,,4My27o
"
2022.10.27_17.08.56",7.063688000000001,43.620998,4G,4G,-97.0,-16.0,-1.0,5,-97,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.57",7.063688000000001,43.620998,4G,4G,-98.0,-15.0,-3.0,6,-97,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.57",7.063565,43.620927,4G,4G,-98.0,-15.0,-3.0,6,-97,0.0,0.0,155.0,155.0,I,,,,,4My27o
"
2022.10.27_17.08.58",7.063565,43.620927,4G,4G,-98.0,-15.0,-3.0,6,-97,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.59",7.063565,43.620927,4G,4G,-95.0,-16.0,0.0,-,-95,0.0,0.0,155.0,155.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.08.59",7.063477000000001,43.62084,4G,4G,-95.0,-16.0,0.0,-,-95,0.0,0.0,154.0,154.0,I,,,,,4My27o
"
2022.10.27_17.09.00",7.063477000000001,43.62084,4G,4G,-95.0,-16.0,0.0,-,-101,0.0,0.0,154.0,154.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.09.01",7.063477000000001,43.62084,4G,4G,-95.0,-16.0,0.0,-,-101,0.0,0.0,154.0,154.0,I,PERIODIC,,,,4My27o
"
2022.10.27_17.09.01",7.063314999999999,43.620791,4G,4G,-95.0,-16.0,0.0,-,-101,0.0,0.0,153.0,153.0,I,,,,,4My27o
"
2022.10.27_17.09.02",7.063314999999999,43.620791,4G,4G,-100.0,-15.0,1.0,-,-101,420.0,89.0,153.0,153.0,D,PERIODIC,,,,4My27o
