Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.20_18.58.44",7.064225,43.616514,4G,LTE,-105.0,-7.0,9.0,11.0,-105,53.0,22.0,170.0,170.0,D,LOG START,,,,5M20s
"
2022.09.20_18.58.44",7.064039999999999,43.616549,4G,LTE,-105.0,-7.0,9.0,11.0,-105,53.0,22.0,168.0,168.0,D,,,,,5M20s
"
2022.09.20_18.58.45",7.064039999999999,43.616549,4G,LTE,-105.0,-7.0,9.0,11.0,-105,0.0,0.0,168.0,168.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.58.45",7.063861999999999,43.616578000000004,4G,LTE,-105.0,-7.0,9.0,11.0,-105,0.0,0.0,169.0,169.0,I,,,,,5M20s
"
2022.09.20_18.58.46",7.063861999999999,43.616578000000004,5G,5G,-123.0,-10.0,1.0,12.0,-,18.0,28.0,169.0,169.0,D,PERIODIC,-105.0,-8.0,13.0,5M20s
"
2022.09.20_18.58.46",7.063861999999999,43.616578000000004,5G,5G,-123.0,-10.0,1.0,12.0,-,18.0,28.0,169.0,169.0,D,,-105.0,-8.0,13.0,5M20s
"
2022.09.20_18.58.46",7.063686,43.616609000000004,5G,5G,-123.0,-10.0,1.0,12.0,-,18.0,28.0,169.0,169.0,D,,-105.0,-8.0,13.0,5M20s
"
2022.09.20_18.58.47",7.063686,43.616609000000004,5G,5G,-128.0,-13.0,-3.0,12.0,-,134.0,48.0,169.0,169.0,D,PERIODIC,-105.0,-8.0,13.0,5M20s
"
2022.09.20_18.58.47",7.063528,43.616634999999995,5G,5G,-128.0,-13.0,-3.0,12.0,-,134.0,48.0,170.0,170.0,D,,-105.0,-8.0,13.0,5M20s
"
2022.09.20_18.58.48",7.063528,43.616634999999995,4G,LTE,-105.0,-9.0,11.0,10.0,-103,146.0,6.0,170.0,170.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.48",7.063528,43.616634999999995,4G,LTE,-105.0,-9.0,11.0,10.0,-103,146.0,6.0,170.0,170.0,D,,,,,5M20s
"
2022.09.20_18.58.48",7.063388000000001,43.616658,4G,LTE,-105.0,-9.0,11.0,10.0,-103,146.0,6.0,171.0,171.0,D,,,,,5M20s
"
2022.09.20_18.58.49",7.063388000000001,43.616658,4G,LTE,-105.0,-9.0,11.0,10.0,-107,0.0,1.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.49",7.063256,43.616676,4G,LTE,-105.0,-9.0,11.0,10.0,-107,0.0,1.0,172.0,172.0,D,,,,,5M20s
"
2022.09.20_18.58.50",7.063256,43.616676,4G,LTE,-106.0,-9.0,10.0,9.0,-109,0.0,0.0,172.0,172.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.51",7.063256,43.616676,4G,LTE,-106.0,-9.0,10.0,9.0,-109,53.0,20.0,172.0,172.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.51",7.063041,43.616704,4G,LTE,-106.0,-9.0,10.0,9.0,-109,53.0,20.0,172.0,172.0,D,,,,,5M20s
"
2022.09.20_18.58.52",7.063041,43.616704,4G,LTE,-107.0,-8.0,9.0,8.0,-109,8.0,2.0,172.0,172.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.53",7.063041,43.616704,4G,LTE,-107.0,-8.0,9.0,8.0,-107,0.0,0.0,172.0,172.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.58.53",7.062855,43.616733,4G,LTE,-107.0,-8.0,9.0,8.0,-107,0.0,0.0,170.0,170.0,I,,,,,5M20s
"
2022.09.20_18.58.54",7.062855,43.616733,4G,LTE,-106.0,-8.0,10.0,11.0,-107,0.0,0.0,170.0,170.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.58.55",7.062855,43.616733,4G,LTE,-106.0,-8.0,10.0,11.0,-109,2.0,5.0,170.0,170.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.56",7.062855,43.616733,4G,LTE,-105.0,-7.0,12.0,10.0,-105,0.0,0.0,170.0,170.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.56",7.062724,43.61675,4G,LTE,-105.0,-7.0,12.0,10.0,-105,0.0,0.0,171.0,171.0,I,,,,,5M20s
"
2022.09.20_18.58.57",7.062724,43.61675,4G,LTE,-105.0,-7.0,12.0,10.0,-105,42.0,2.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.58",7.062724,43.61675,4G,LTE,-107.0,-10.0,9.0,9.0,-107,3.0,11.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.58.59",7.062724,43.61675,4G,LTE,-107.0,-10.0,9.0,9.0,-107,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.00",7.062724,43.61675,4G,LTE,-105.0,-9.0,7.0,9.0,-105,54.0,20.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.01",7.062724,43.61675,4G,LTE,-105.0,-9.0,7.0,9.0,-105,4.0,4.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.02",7.062724,43.61675,4G,LTE,-105.0,-9.0,7.0,9.0,-107,189.0,99.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.03",7.062724,43.61675,4G,LTE,-107.0,-8.0,9.0,14.0,-107,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.04",7.062724,43.61675,4G,LTE,-107.0,-8.0,9.0,14.0,-107,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.05",7.062724,43.61675,4G,LTE,-106.0,-9.0,-10.0,2.0,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.59.06",7.062724,43.61675,4G,LTE,-106.0,-9.0,-10.0,2.0,-107,119.0,80.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.07",7.062724,43.61675,4G,LTE,-106.0,-11.0,11.0,10.0,-107,250.0,134.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.08",7.062724,43.61675,4G,LTE,-106.0,-11.0,11.0,10.0,-107,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.09",7.062724,43.61675,4G,LTE,-107.0,-11.0,7.0,10.0,-107,439.0,136.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.10",7.062724,43.61675,4G,LTE,-107.0,-11.0,7.0,10.0,-107,111.0,45.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.11",7.062724,43.61675,4G,LTE,-109.0,-7.0,9.0,10.0,-53,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.12",7.062724,43.61675,4G,LTE,-109.0,-7.0,9.0,10.0,-53,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.59.13",7.062724,43.61675,4G,LTE,-105.0,-9.0,9.0,9.0,-105,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.59.14",7.062724,43.61675,4G,LTE,-105.0,-9.0,9.0,9.0,-105,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.15",7.062724,43.61675,4G,LTE,-107.0,-7.0,9.0,12.0,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.59.15",7.062575999999999,43.616789000000004,4G,LTE,-107.0,-7.0,9.0,12.0,-107,0.0,0.0,170.0,170.0,I,,,,,5M20s
"
2022.09.20_18.59.16",7.062575999999999,43.616789000000004,4G,LTE,-107.0,-7.0,9.0,12.0,-107,0.0,0.0,170.0,170.0,I,PERIODIC,,,,5M20s
"
2022.09.20_18.59.17",7.062575999999999,43.616789000000004,4G,LTE,-107.0,-13.0,10.0,9.0,-107,0.0,0.0,170.0,170.0,D,PERIODIC,,,,5M20s
"
2022.09.20_18.59.18",7.062575999999999,43.616789000000004,4G,LTE,-107.0,-13.0,10.0,9.0,-111,0.0,0.0,170.0,170.0,I,PERIODIC,,,,5M20s
