Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.13.09",7.072887,43.616836,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,155.0,155.0,I,LOG START,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.09",7.072887,43.616836,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,155.0,155.0,I,PERIODIC,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.09",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,156.0,156.0,I,,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.10",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,156.0,156.0,I,PERIODIC,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.11",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,156.0,156.0,I,PERIODIC,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.12",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,156.0,156.0,I,PERIODIC,-99.0,-7.0,15.0,5M23n
"
2022.11.23_14.13.13",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,103.0,35.0,156.0,156.0,D,PERIODIC,-98.0,-10.0,15.0,5M23n
"
2022.11.23_14.13.14",7.072902,43.616841,5G,5G,-104.0,-3.0,16.0,12,-,74.0,8.0,156.0,156.0,D,PERIODIC,-98.0,-10.0,15.0,5M23n
"
2022.11.23_14.13.15",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,12,-,78.0,61.0,156.0,156.0,D,PERIODIC,-98.0,-10.0,15.0,5M23n
"
2022.11.23_14.13.16",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,12,-,43.0,32.0,156.0,156.0,D,PERIODIC,-98.0,-10.0,15.0,5M23n
"
2022.11.23_14.13.17",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,11,-,25.0,29.0,156.0,156.0,D,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.18",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,11,-,55.0,24.0,156.0,156.0,D,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.19",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,11,-,0.0,0.0,156.0,156.0,D,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.20",7.072902,43.616841,5G,5G,-102.0,-3.0,17.0,11,-,0.0,0.0,156.0,156.0,I,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.21",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,11,-,0.0,0.0,156.0,156.0,I,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.22",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,11,-,0.0,0.0,156.0,156.0,I,PERIODIC,-95.0,-8.0,15.0,5M23n
"
2022.11.23_14.13.23",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.24",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.25",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.26",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.27",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.28",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,156.0,156.0,I,PERIODIC,-97.0,-11.0,18.0,5M23n
"
2022.11.23_14.13.29",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,-,-,19.0,40.0,156.0,156.0,D,PERIODIC,-96.0,-12.0,18.0,5M23n
"
2022.11.23_14.13.30",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,-,-,19.0,15.0,156.0,156.0,D,PERIODIC,-96.0,-12.0,18.0,5M23n
"
2022.11.23_14.13.31",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,14,-,0.0,0.0,156.0,156.0,I,PERIODIC,-98.0,-8.0,17.0,5M23n
"
2022.11.23_14.13.32",7.072902,43.616841,5G,5G,-103.0,-3.0,14.0,14,-,0.0,0.0,156.0,156.0,I,PERIODIC,-98.0,-8.0,17.0,5M23n
