Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.25_17.38.19",7.0891910000000005,43.602794,5G,5G,-107.0,-3.0,10.0,13,-,0.0,0.0,138.0,138.0,I,LOG START,-114.0,-10.0,3.0,5M3
"
2022.08.25_17.38.19",7.089175,43.602835,5G,5G,-107.0,-3.0,10.0,13,-,0.0,0.0,138.0,138.0,I,,-114.0,-10.0,3.0,5M3
"
2022.08.25_17.38.20",7.089175,43.602835,5G,5G,-107.0,-3.0,10.0,11,-,0.0,0.0,138.0,138.0,I,PERIODIC,-113.0,-9.0,3.0,5M3
"
2022.08.25_17.38.21",7.089175,43.602835,5G,5G,-104.0,-3.0,13.0,11,-,2.0,3.0,138.0,138.0,D,PERIODIC,-113.0,-9.0,3.0,5M3
"
2022.08.25_17.38.22",7.089175,43.602835,5G,5G,-106.0,-3.0,12.0,7,-,1.0,0.0,138.0,138.0,D,PERIODIC,-119.0,-11.0,1.0,5M3
"
2022.08.25_17.38.23",7.089175,43.602835,5G,5G,-105.0,-3.0,11.0,7,-,0.0,0.0,138.0,138.0,D,PERIODIC,-119.0,-11.0,1.0,5M3
"
2022.08.25_17.38.24",7.089175,43.602835,5G,5G,-105.0,-3.0,11.0,10,-,0.0,0.0,138.0,138.0,I,PERIODIC,-117.0,-13.0,2.0,5M3
"
2022.08.25_17.38.25",7.089175,43.602835,5G,5G,-105.0,-3.0,11.0,10,-,639.0,69.0,138.0,138.0,D,PERIODIC,-117.0,-13.0,2.0,5M3
"
2022.08.25_17.38.26",7.089175,43.602835,5G,5G,-105.0,-3.0,11.0,11,-,27.0,11.0,138.0,138.0,D,PERIODIC,-116.0,-9.0,3.0,5M3
"
2022.08.25_17.38.27",7.089175,43.602835,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,138.0,138.0,D,PERIODIC,-116.0,-9.0,3.0,5M3
"
2022.08.25_17.38.28",7.089175,43.602835,5G,5G,-101.0,-3.0,15.0,11,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-11.0,3.0,5M3
"
2022.08.25_17.38.29",7.089175,43.602835,5G,5G,-101.0,-3.0,15.0,11,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-11.0,3.0,5M3
"
2022.08.25_17.38.30",7.089175,43.602835,5G,5G,-102.0,-3.0,13.0,9,-,0.0,0.0,138.0,138.0,I,PERIODIC,-112.0,-12.0,3.0,5M3
"
2022.08.25_17.38.31",7.089175,43.602835,5G,5G,-103.0,-3.0,14.0,9,-,0.0,0.0,138.0,138.0,I,PERIODIC,-112.0,-12.0,3.0,5M3
"
2022.08.25_17.38.32",7.089175,43.602835,5G,5G,-103.0,-3.0,14.0,14,-,1.0,3.0,138.0,138.0,D,PERIODIC,-113.0,-12.0,5.0,5M3
"
2022.08.25_17.38.33",7.089175,43.602835,5G,5G,-103.0,-3.0,18.0,14,-,96.0,39.0,138.0,138.0,D,PERIODIC,-113.0,-12.0,5.0,5M3
"
2022.08.25_17.38.34",7.089175,43.602835,5G,5G,-103.0,-3.0,18.0,10,-,66.0,7.0,138.0,138.0,D,PERIODIC,-113.0,-11.0,3.0,5M3
"
2022.08.25_17.38.35",7.089175,43.602835,5G,5G,-106.0,-3.0,16.0,10,-,0.0,1.0,138.0,138.0,D,PERIODIC,-113.0,-11.0,3.0,5M3
"
2022.08.25_17.38.36",7.089175,43.602835,5G,5G,-106.0,-3.0,16.0,12,-,129.0,50.0,138.0,138.0,D,PERIODIC,-111.0,-10.0,3.0,5M3
"
2022.08.25_17.38.37",7.089175,43.602835,5G,5G,-106.0,-3.0,16.0,12,-,0.0,0.0,138.0,138.0,D,PERIODIC,-111.0,-10.0,3.0,5M3
"
2022.08.25_17.38.38",7.089175,43.602835,5G,5G,-106.0,-3.0,16.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.39",7.089175,43.602835,5G,5G,-106.0,-3.0,16.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.40",7.089175,43.602835,5G,5G,-98.0,-3.0,14.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.41",7.089175,43.602835,5G,5G,-86.0,-3.0,20.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.42",7.089175,43.602835,5G,5G,-86.0,-3.0,22.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.43",7.089175,43.602835,5G,5G,-103.0,-3.0,17.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.44",7.089175,43.602835,5G,5G,-102.0,-3.0,19.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.45",7.089175,43.602835,5G,5G,-107.0,-3.0,15.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.46",7.089175,43.602835,5G,5G,-107.0,-3.0,15.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.47",7.089175,43.602835,5G,5G,-107.0,-3.0,15.0,7,-,0.0,0.0,138.0,138.0,I,PERIODIC,-116.0,-12.0,5.0,5M3
"
2022.08.25_17.38.48",7.089175,43.602835,5G,5G,-107.0,-3.0,15.0,-,-,0.0,0.0,138.0,138.0,I,PERIODIC,-109.0,-14.0,7.0,5M3
"
2022.08.25_17.38.49",7.089175,43.602835,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.49",7.089175,43.602835,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,,,,,5M3
"
2022.08.25_17.38.50",7.089175,43.602835,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.51",7.089175,43.602835,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.51",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,,,,,5M3
"
2022.08.25_17.38.52",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.53",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.54",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,1.0,3.0,138.0,138.0,D,PERIODIC,,,,5M3
"
2022.08.25_17.38.56",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,4.0,138.0,138.0,D,PERIODIC,,,,5M3
"
2022.08.25_17.38.56",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.57",7.089042999999999,43.602861,4G,LTE,-109.0,-14.0,7.0,-,-107,0.0,1.0,138.0,138.0,D,PERIODIC,,,,5M3
"
2022.08.25_17.38.58",7.089042999999999,43.602861,4G,LTE,-106.0,-12.0,6.0,11,-107,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.59",7.089042999999999,43.602861,4G,LTE,-106.0,-12.0,6.0,11,-111,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.38.59",7.088903999999999,43.602874,4G,LTE,-106.0,-12.0,6.0,11,-111,0.0,0.0,138.0,138.0,I,,,,,5M3
"
2022.08.25_17.39.00",7.088903999999999,43.602874,4G,LTE,-106.0,-12.0,6.0,11,-111,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
"
2022.08.25_17.39.01",7.088903999999999,43.602874,4G,LTE,-106.0,-12.0,6.0,11,-113,0.0,0.0,138.0,138.0,I,PERIODIC,,,,5M3
