Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.07_03.57.04",5.52653,43.492393,4G,LTE,-94.0,-8.0,18.0,-,-95,0.0,0.0,237.0,237.0,D,LOG START,,,,5M7sep
"
2022.09.07_03.57.04",5.526643,43.492160999999996,5G,5G,-93.0,-3.0,6.0,-,-,0.0,0.0,237.0,237.0,D,,,,,5M7sep
"
2022.09.07_03.57.05",5.526643,43.492160999999996,5G,5G,-93.0,-3.0,6.0,15,-,0.0,0.0,237.0,237.0,I,PERIODIC,-84.0,-8.0,15.0,5M7sep
"
2022.09.07_03.57.05",5.526643,43.492160999999996,5G,5G,-93.0,-3.0,6.0,15,-,0.0,0.0,237.0,237.0,I,,-84.0,-8.0,15.0,5M7sep
"
2022.09.07_03.57.06",5.526757,43.491929,5G,5G,-93.0,-3.0,6.0,15,-,0.0,0.0,237.0,237.0,I,,-84.0,-8.0,15.0,5M7sep
"
2022.09.07_03.57.06",5.526757,43.491929,5G,5G,-93.0,-3.0,6.0,15,-,0.0,0.0,237.0,237.0,I,PERIODIC,-84.0,-8.0,15.0,5M7sep
"
2022.09.07_03.57.06",5.526889,43.4917,5G,5G,-93.0,-3.0,6.0,15,-,0.0,0.0,238.0,238.0,I,,-84.0,-8.0,15.0,5M7sep
"
2022.09.07_03.57.07",5.526889,43.4917,5G,5G,-93.0,-3.0,6.0,6,-,0.0,0.0,238.0,238.0,I,IRAT_CELL_RESELECTION_4G5G,-85.0,-6.0,16.0,5M7sep
"
2022.09.07_03.57.07",5.527019999999999,43.491471000000004,5G,5G,-93.0,-3.0,6.0,6,-,0.0,0.0,238.0,238.0,I,,-85.0,-6.0,16.0,5M7sep
"
2022.09.07_03.57.08",5.527019999999999,43.491471000000004,5G,5G,-83.0,-3.0,17.0,6,-,32.0,22.0,238.0,238.0,D,PERIODIC,-85.0,-6.0,16.0,5M7sep
