Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_15.29.40",7.084867,43.602944,5G,5G,-80.0,-3.0,16.0,14,-,0.0,0.0,150.0,150.0,D,LOG START,-80.0,-7.0,19.0,5M8s2
"
2022.09.09_15.29.40",7.084948,43.602807,5G,5G,-77.0,-3.0,9.0,14,-,0.0,0.0,143.0,143.0,D,,-80.0,-7.0,19.0,5M8s2
"
2022.09.09_15.29.40",7.084948,43.602807,5G,5G,-77.0,-3.0,9.0,14,-,0.0,0.0,143.0,143.0,D,PERIODIC,-80.0,-7.0,19.0,5M8s2
"
2022.09.09_15.29.41",7.084948,43.602807,5G,5G,-77.0,-3.0,9.0,9,-,0.0,0.0,143.0,143.0,I,PERIODIC,-79.0,-7.0,3.0,5M8s2
"
2022.09.09_15.29.42",7.084948,43.602807,5G,5G,-77.0,-3.0,9.0,9,-,0.0,0.0,143.0,143.0,I,PERIODIC,-79.0,-7.0,3.0,5M8s2
"
2022.09.09_15.29.43",7.084948,43.602807,5G,5G,-77.0,-3.0,9.0,11,-,0.0,0.0,143.0,143.0,I,PERIODIC,-82.0,-11.0,2.0,5M8s2
"
2022.09.09_15.29.43",7.085042,43.60273,5G,5G,-77.0,-3.0,9.0,11,-,0.0,0.0,151.0,151.0,I,,-82.0,-11.0,2.0,5M8s2
"
2022.09.09_15.29.44",7.085042,43.60273,5G,5G,-77.0,-3.0,9.0,11,-,4.0,11.0,151.0,151.0,D,PERIODIC,-82.0,-11.0,2.0,5M8s2
"
2022.09.09_15.29.45",7.085042,43.60273,5G,5G,-77.0,-3.0,9.0,12,-,17.0,25.0,151.0,151.0,D,PERIODIC,-83.0,-11.0,5.0,5M8s2
"
2022.09.09_15.29.46",7.085042,43.60273,5G,5G,-77.0,-3.0,9.0,12,-,64.0,53.0,151.0,151.0,D,PERIODIC,-83.0,-11.0,5.0,5M8s2
"
2022.09.09_15.29.47",7.085042,43.60273,5G,5G,-77.0,-3.0,9.0,14,-,1.0,1.0,151.0,151.0,D,PERIODIC,-83.0,-8.0,11.0,5M8s2
"
2022.09.09_15.29.48",7.085042,43.60273,5G,5G,-77.0,-3.0,18.0,14,-,0.0,0.0,151.0,151.0,D,PERIODIC,-83.0,-8.0,11.0,5M8s2
"
2022.09.09_15.29.49",7.085042,43.60273,5G,5G,-77.0,-3.0,18.0,14,-,0.0,0.0,151.0,151.0,I,PERIODIC,-82.0,-9.0,14.0,5M8s2
"
2022.09.09_15.29.50",7.085042,43.60273,5G,5G,-77.0,-3.0,18.0,14,-,4.0,21.0,151.0,151.0,D,PERIODIC,-82.0,-9.0,14.0,5M8s2
"
2022.09.09_15.29.51",7.085042,43.60273,5G,5G,-77.0,-3.0,18.0,12,-,194.0,43.0,151.0,151.0,D,PERIODIC,-82.0,-12.0,6.0,5M8s2
"
2022.09.09_15.29.52",7.085042,43.60273,5G,5G,-77.0,-3.0,18.0,12,-,0.0,0.0,151.0,151.0,D,PERIODIC,-82.0,-12.0,6.0,5M8s2
"
2022.09.09_15.29.53",7.085042,43.60273,5G,5G,-73.0,-3.0,16.0,6,-,0.0,0.0,151.0,151.0,I,PERIODIC,-83.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.29.54",7.085042,43.60273,5G,5G,-73.0,-3.0,16.0,6,-,0.0,0.0,151.0,151.0,I,PERIODIC,-83.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.29.55",7.085042,43.60273,5G,5G,-73.0,-3.0,16.0,10,-,0.0,0.0,151.0,151.0,I,PERIODIC,-84.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.29.56",7.085042,43.60273,5G,5G,-73.0,-3.0,16.0,10,-,10.0,3.0,151.0,151.0,D,PERIODIC,-84.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.29.57",7.085042,43.60273,5G,5G,-72.0,-3.0,16.0,12,-,0.0,0.0,151.0,151.0,D,PERIODIC,-81.0,-14.0,3.0,5M8s2
"
2022.09.09_15.29.58",7.085042,43.60273,5G,5G,-72.0,-3.0,16.0,12,-,0.0,0.0,151.0,151.0,I,PERIODIC,-81.0,-14.0,3.0,5M8s2
"
2022.09.09_15.29.58",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,151.0,151.0,I,,-81.0,-14.0,3.0,5M8s2
"
2022.09.09_15.29.59",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,10,-,0.0,0.0,151.0,151.0,I,PERIODIC,-79.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.00",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,10,-,0.0,0.0,151.0,151.0,I,PERIODIC,-79.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.01",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,11,-,0.0,0.0,151.0,151.0,I,PERIODIC,-80.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.02",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,11,-,0.0,0.0,151.0,151.0,I,PERIODIC,-80.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.03",7.085056,43.602633000000004,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,151.0,151.0,I,PERIODIC,-85.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.03",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,150.0,150.0,I,,-85.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.04",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,150.0,150.0,D,PERIODIC,-85.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.05",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,150.0,150.0,I,PERIODIC,-85.0,-10.0,18.0,5M8s2
"
2022.09.09_15.30.06",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,12,-,0.0,0.0,150.0,150.0,I,PERIODIC,-85.0,-10.0,18.0,5M8s2
"
2022.09.09_15.30.07",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,11,-,0.0,0.0,150.0,150.0,I,PERIODIC,-85.0,-12.0,-3.0,5M8s2
"
2022.09.09_15.30.08",7.0850740000000005,43.602543,5G,5G,-77.0,-3.0,15.0,11,-,0.0,0.0,150.0,150.0,I,PERIODIC,-85.0,-12.0,-3.0,5M8s2
"
2022.09.09_15.30.08",7.085141999999999,43.602439000000004,5G,5G,-77.0,-3.0,15.0,11,-,0.0,0.0,149.0,149.0,I,,-85.0,-12.0,-3.0,5M8s2
"
2022.09.09_15.30.09",7.085141999999999,43.602439000000004,5G,5G,-78.0,-3.0,17.0,12,-,0.0,0.0,149.0,149.0,I,PERIODIC,-87.0,-10.0,7.0,5M8s2
"
2022.09.09_15.30.10",7.085141999999999,43.602439000000004,5G,5G,-78.0,-3.0,17.0,12,-,0.0,0.0,149.0,149.0,I,PERIODIC,-87.0,-10.0,7.0,5M8s2
"
2022.09.09_15.30.11",7.085141999999999,43.602439000000004,5G,5G,-78.0,-3.0,17.0,11,-,0.0,0.0,149.0,149.0,I,PERIODIC,-92.0,-11.0,7.0,5M8s2
"
2022.09.09_15.30.12",7.085141999999999,43.602439000000004,5G,5G,-82.0,-3.0,13.0,11,-,0.0,0.0,149.0,149.0,I,PERIODIC,-92.0,-11.0,7.0,5M8s2
"
2022.09.09_15.30.12",7.0852949999999995,43.602436,5G,5G,-82.0,-3.0,13.0,11,-,0.0,0.0,147.0,147.0,I,,-92.0,-11.0,7.0,5M8s2
"
2022.09.09_15.30.13",7.0852949999999995,43.602436,5G,5G,-81.0,-3.0,16.0,11,-,0.0,0.0,147.0,147.0,I,PERIODIC,-81.0,-10.0,19.0,5M8s2
"
2022.09.09_15.30.14",7.0852949999999995,43.602436,5G,5G,-81.0,-3.0,16.0,11,-,0.0,0.0,147.0,147.0,I,PERIODIC,-81.0,-10.0,19.0,5M8s2
"
2022.09.09_15.30.15",7.085457000000001,43.602488,5G,5G,-81.0,-3.0,16.0,11,-,0.0,0.0,147.0,147.0,I,,-81.0,-10.0,19.0,5M8s2
"
2022.09.09_15.30.15",7.085457000000001,43.602488,5G,5G,-81.0,-3.0,16.0,-,-,0.0,0.0,147.0,147.0,I,PERIODIC,-81.0,-14.0,10.0,5M8s2
"
2022.09.09_15.30.16",7.085457000000001,43.602488,4G,LTE,-81.0,-14.0,10.0,-,-85,0.0,0.0,147.0,147.0,I,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.16",7.085457000000001,43.602488,4G,LTE,-81.0,-14.0,10.0,-,-85,0.0,0.0,147.0,147.0,I,,,,,5M8s2
"
2022.09.09_15.30.17",7.085605,43.602515000000004,4G,LTE,-81.0,-14.0,10.0,-,-85,0.0,0.0,146.0,146.0,D,,,,,5M8s2
"
2022.09.09_15.30.17",7.085605,43.602515000000004,4G,LTE,-81.0,-12.0,2.0,12,-85,0.0,0.0,146.0,146.0,D,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.18",7.085605,43.602515000000004,4G,LTE,-81.0,-12.0,2.0,12,-85,0.0,0.0,146.0,146.0,I,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.19",7.085756,43.602534000000006,5G,5G,-78.0,-3.0,15.0,12,-,0.0,0.0,146.0,146.0,I,,,,,5M8s2
"
2022.09.09_15.30.19",7.085756,43.602534000000006,5G,5G,-78.0,-3.0,15.0,14,-,0.0,0.0,146.0,146.0,I,PERIODIC,-89.0,-10.0,17.0,5M8s2
"
2022.09.09_15.30.19",7.085756,43.602534000000006,5G,5G,-78.0,-3.0,15.0,14,-,0.0,0.0,146.0,146.0,I,,-89.0,-10.0,17.0,5M8s2
"
2022.09.09_15.30.20",7.085756,43.602534000000006,5G,5G,-83.0,-3.0,15.0,14,-,0.0,0.0,146.0,146.0,I,PERIODIC,-89.0,-10.0,17.0,5M8s2
"
2022.09.09_15.30.21",7.085922,43.602546999999994,5G,5G,-83.0,-3.0,15.0,14,-,3.0,2.0,145.0,145.0,D,,-89.0,-10.0,17.0,5M8s2
"
2022.09.09_15.30.21",7.085922,43.602546999999994,5G,5G,-83.0,-3.0,15.0,9,-,3.0,2.0,145.0,145.0,D,PERIODIC,-92.0,-11.0,-1.0,5M8s2
"
2022.09.09_15.30.22",7.085922,43.602546999999994,5G,5G,-83.0,-3.0,15.0,9,-,0.0,0.0,145.0,145.0,D,PERIODIC,-92.0,-11.0,-1.0,5M8s2
"
2022.09.09_15.30.23",7.086069999999999,43.602556,5G,5G,-81.0,-3.0,19.0,9,-,0.0,0.0,144.0,144.0,I,,-92.0,-11.0,-1.0,5M8s2
"
2022.09.09_15.30.23",7.086069999999999,43.602556,5G,5G,-81.0,-3.0,19.0,12,-,0.0,0.0,144.0,144.0,I,PERIODIC,-95.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.24",7.086069999999999,43.602556,5G,5G,-81.0,-3.0,19.0,12,-,15.0,30.0,144.0,144.0,D,PERIODIC,-95.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.25",7.086243,43.602575,5G,5G,-81.0,-3.0,19.0,12,-,15.0,30.0,144.0,144.0,D,,-95.0,-13.0,-1.0,5M8s2
"
2022.09.09_15.30.25",7.086243,43.602575,5G,5G,-81.0,-3.0,19.0,14,-,0.0,0.0,144.0,144.0,I,PERIODIC,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.26",7.086243,43.602575,5G,5G,-81.0,-3.0,19.0,14,-,0.0,0.0,144.0,144.0,I,PERIODIC,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.27",7.086432,43.602587,5G,5G,-81.0,-3.0,19.0,14,-,0.0,0.0,143.0,143.0,I,,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.28",7.086432,43.602587,5G,5G,-96.0,-3.0,13.0,14,-,0.0,0.0,143.0,143.0,I,PERIODIC,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.28",7.086432,43.602587,5G,5G,-96.0,-3.0,13.0,14,-,0.0,0.0,143.0,143.0,I,PERIODIC,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.29",7.0866050000000005,43.602585,5G,5G,-96.0,-3.0,13.0,14,-,0.0,0.0,142.0,142.0,I,,-94.0,-13.0,5.0,5M8s2
"
2022.09.09_15.30.30",7.0866050000000005,43.602585,5G,5G,-96.0,-3.0,13.0,10,-,0.0,0.0,142.0,142.0,I,PERIODIC,-104.0,-13.0,1.0,5M8s2
"
2022.09.09_15.30.30",7.0866050000000005,43.602585,5G,5G,-96.0,-3.0,13.0,10,-,0.0,0.0,142.0,142.0,I,PERIODIC,-104.0,-13.0,1.0,5M8s2
"
2022.09.09_15.30.31",7.086782,43.602591,5G,5G,-96.0,-3.0,13.0,10,-,0.0,0.0,141.0,141.0,I,,-104.0,-13.0,1.0,5M8s2
"
2022.09.09_15.30.32",7.086782,43.602591,5G,5G,-96.0,-3.0,13.0,7,-,0.0,0.0,141.0,141.0,I,PERIODIC,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.33",7.086782,43.602591,5G,5G,-96.0,-3.0,13.0,7,-,0.0,0.0,141.0,141.0,I,PERIODIC,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.33",7.086942999999999,43.602596000000005,5G,5G,-96.0,-3.0,13.0,7,-,0.0,0.0,141.0,141.0,I,,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.34",7.086942999999999,43.602596000000005,5G,5G,-96.0,-3.0,13.0,7,-,0.0,0.0,141.0,141.0,I,PERIODIC,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.35",7.086942999999999,43.602596000000005,5G,5G,-92.0,-3.0,16.0,7,-,0.0,0.0,141.0,141.0,I,PERIODIC,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.35",7.087089999999999,43.602609,5G,5G,-92.0,-3.0,16.0,7,-,0.0,0.0,141.0,141.0,I,,-104.0,-13.0,2.0,5M8s2
"
2022.09.09_15.30.36",7.087089999999999,43.602609,5G,5G,-92.0,-3.0,16.0,-,-,0.0,0.0,141.0,141.0,I,PERIODIC,-99.0,-13.0,8.0,5M8s2
"
2022.09.09_15.30.37",7.087089999999999,43.602609,5G,5G,-92.0,-3.0,16.0,-,-,0.0,0.0,141.0,141.0,I,PERIODIC,-99.0,-13.0,8.0,5M8s2
"
2022.09.09_15.30.37",7.087236999999999,43.602632,4G,LTE,-99.0,-13.0,0.0,-,-107,0.0,0.0,141.0,141.0,D,,-99.0,-13.0,8.0,5M8s2
"
2022.09.09_15.30.38",7.087236999999999,43.602632,4G,LTE,-106.0,-12.0,0.0,8,-107,0.0,0.0,141.0,141.0,D,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.38",7.087236999999999,43.602632,4G,LTE,-106.0,-12.0,0.0,8,-107,0.0,0.0,141.0,141.0,D,,,,,5M8s2
"
2022.09.09_15.30.39",7.087236999999999,43.602632,4G,LTE,-106.0,-12.0,0.0,8,-107,0.0,1.0,141.0,141.0,D,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.39",7.087391,43.602675,4G,LTE,-106.0,-12.0,0.0,8,-107,0.0,1.0,141.0,141.0,D,,,,,5M8s2
"
2022.09.09_15.30.40",7.087391,43.602675,4G,LTE,-105.0,-10.0,4.0,10,-107,249.0,75.0,141.0,141.0,D,PERIODIC,,,,5M8s2
"
2022.09.09_15.30.41",7.087391,43.602675,5G,5G,-99.0,-3.0,18.0,10,-,570.0,76.0,141.0,141.0,D,PERIODIC,-105.0,-10.0,4.0,5M8s2
"
2022.09.09_15.30.41",7.087391,43.602675,5G,5G,-99.0,-3.0,18.0,10,-,570.0,76.0,141.0,141.0,D,,-105.0,-10.0,4.0,5M8s2
"
2022.09.09_15.30.41",7.0875449999999995,43.602716,5G,5G,-99.0,-3.0,18.0,10,-,570.0,76.0,141.0,141.0,D,,-105.0,-10.0,4.0,5M8s2
"
2022.09.09_15.30.42",7.0875449999999995,43.602716,5G,5G,-99.0,-3.0,18.0,7,-,2959.0,344.0,141.0,141.0,D,PERIODIC,-108.0,-12.0,6.0,5M8s2
"
2022.09.09_15.30.43",7.0875449999999995,43.602716,5G,5G,-99.0,-3.0,18.0,7,-,9948.0,417.0,141.0,141.0,D,PERIODIC,-108.0,-12.0,6.0,5M8s2
"
2022.09.09_15.30.44",7.0875449999999995,43.602716,5G,5G,-100.0,-3.0,15.0,7,-,25695.0,509.0,141.0,141.0,D,PERIODIC,-108.0,-12.0,6.0,5M8s2
"
2022.09.09_15.30.45",7.0875449999999995,43.602716,5G,5G,-100.0,-3.0,18.0,6,-,0.0,9.0,141.0,141.0,D,PERIODIC,-111.0,-12.0,3.0,5M8s2
"
2022.09.09_15.30.46",7.0875449999999995,43.602716,5G,5G,-100.0,-3.0,18.0,6,-,9.0,12.0,141.0,141.0,D,PERIODIC,-111.0,-12.0,3.0,5M8s2
"
2022.09.09_15.30.47",7.0875449999999995,43.602716,5G,5G,-100.0,-3.0,18.0,7,-,22.0,20.0,141.0,141.0,D,PERIODIC,-110.0,-10.0,3.0,5M8s2
"
2022.09.09_15.30.48",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,7,-,106.0,110.0,141.0,141.0,D,PERIODIC,-110.0,-10.0,3.0,5M8s2
"
2022.09.09_15.30.49",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,10,-,13.0,33.0,141.0,141.0,D,PERIODIC,-109.0,-9.0,9.0,5M8s2
"
2022.09.09_15.30.50",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,10,-,3223.0,131.0,141.0,141.0,D,PERIODIC,-109.0,-9.0,9.0,5M8s2
"
2022.09.09_15.30.51",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,10,-,48.0,18.0,141.0,141.0,D,PERIODIC,-109.0,-9.0,9.0,5M8s2
"
2022.09.09_15.30.52",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,10,-,22.0,90.0,141.0,141.0,D,PERIODIC,-109.0,-9.0,9.0,5M8s2
"
2022.09.09_15.30.53",7.0875449999999995,43.602716,5G,5G,-102.0,-3.0,15.0,10,-,8.0,11.0,141.0,141.0,D,PERIODIC,-110.0,-9.0,12.0,5M8s2
