Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.19.25",7.075961,43.606916999999996,5G,5G,-111.0,-4.0,3.0,9.0,-,0.0,0.0,143.0,143.0,I,LOG START,-77.0,-13.0,5.0,5Md23
"
2022.11.23_14.19.26",7.075961,43.606916999999996,5G,5G,-111.0,-4.0,3.0,9.0,-,0.0,0.0,143.0,143.0,I,PERIODIC,-77.0,-13.0,5.0,5Md23
"
2022.11.23_14.19.26",7.076052000000001,43.606907,5G,5G,-111.0,-4.0,3.0,9.0,-,0.0,0.0,143.0,143.0,I,,-77.0,-13.0,5.0,5Md23
"
2022.11.23_14.19.27",7.076052000000001,43.606907,5G,5G,-111.0,-4.0,3.0,15.0,-,0.0,0.0,143.0,143.0,I,PERIODIC,-81.0,-13.0,-11.0,5Md23
"
2022.11.23_14.19.28",7.076052000000001,43.606907,5G,5G,-111.0,-4.0,3.0,15.0,-,0.0,0.0,143.0,143.0,I,PERIODIC,-81.0,-13.0,-11.0,5Md23
"
2022.11.23_14.19.28",7.076244,43.606885999999996,5G,5G,-103.0,-3.0,6.0,15.0,-,0.0,0.0,142.0,142.0,I,,-81.0,-13.0,-11.0,5Md23
"
2022.11.23_14.19.29",7.076244,43.606885999999996,5G,5G,-103.0,-3.0,6.0,15.0,-,83.0,9.0,142.0,142.0,D,PERIODIC,-81.0,-13.0,-11.0,5Md23
"
2022.11.23_14.19.30",7.076244,43.606885999999996,5G,5G,-103.0,-4.0,9.0,6.0,-,88.0,45.0,142.0,142.0,D,PERIODIC,-82.0,-13.0,-2.0,5Md23
"
2022.11.23_14.19.30",7.076446000000001,43.606859,5G,5G,-103.0,-4.0,9.0,6.0,-,88.0,45.0,142.0,142.0,D,,-82.0,-13.0,-2.0,5Md23
"
2022.11.23_14.19.31",7.076446000000001,43.606859,5G,5G,-103.0,-4.0,9.0,6.0,-,0.0,3.0,142.0,142.0,D,PERIODIC,-82.0,-13.0,-2.0,5Md23
"
2022.11.23_14.19.32",7.076446000000001,43.606859,5G,5G,-103.0,-4.0,9.0,6.0,-,24.0,3.0,142.0,142.0,D,IRAT_HANDOVER_DATA_4G5G,-75.0,-11.0,1.0,5Md23
"
2022.11.23_14.19.32",7.076641,43.606814,5G,5G,-103.0,-4.0,9.0,6.0,-,24.0,3.0,142.0,142.0,D,,-75.0,-11.0,1.0,5Md23
"
2022.11.23_14.19.33",7.076641,43.606814,5G,5G,-103.0,-4.0,9.0,6.0,-,13.0,17.0,142.0,142.0,D,PERIODIC,-75.0,-11.0,1.0,5Md23
"
2022.11.23_14.19.34",7.076641,43.606814,5G,5G,-99.0,-5.0,7.0,15.0,-,0.0,0.0,142.0,142.0,D,PERIODIC,-74.0,-13.0,6.0,5Md23
"
2022.11.23_14.19.34",7.07683,43.606733,5G,5G,-99.0,-5.0,7.0,15.0,-,0.0,0.0,142.0,142.0,I,,-74.0,-13.0,6.0,5Md23
