Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.40.15",7.1173470000000005,43.577355,5G,5G,-99.0,-3.0,0.0,9.0,-,0.0,0.0,59.0,59.0,I,LOG START,-102.0,-15.0,2.0,5Mert
"
2022.11.23_14.40.15",7.117332000000001,43.577283,5G,5G,-96.0,-3.0,0.0,9.0,-,0.0,0.0,59.0,59.0,I,,-102.0,-15.0,2.0,5Mert
"
2022.11.23_14.40.15",7.117332000000001,43.577283,5G,5G,-96.0,-3.0,0.0,12.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-99.0,-14.0,-1.0,5Mert
"
2022.11.23_14.40.16",7.117332000000001,43.577283,5G,5G,-96.0,-3.0,0.0,12.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-99.0,-14.0,-1.0,5Mert
"
2022.11.23_14.40.17",7.117288,43.577115,5G,5G,-96.0,-3.0,0.0,12.0,-,0.0,0.0,59.0,59.0,D,,-99.0,-14.0,-1.0,5Mert
"
2022.11.23_14.40.17",7.117288,43.577115,5G,5G,-96.0,-3.0,0.0,14.0,-,1.0,1.0,59.0,59.0,D,PERIODIC,-96.0,-13.0,1.0,5Mert
"
2022.11.23_14.40.18",7.117266000000001,43.577015,5G,5G,-96.0,-3.0,0.0,14.0,-,1.0,1.0,60.0,60.0,D,,-96.0,-13.0,1.0,5Mert
"
2022.11.23_14.40.18",7.117266000000001,43.577015,5G,5G,-96.0,-3.0,0.0,14.0,-,81.0,9.0,60.0,60.0,D,PERIODIC,-96.0,-13.0,1.0,5Mert
"
2022.11.23_14.40.19",7.117239,43.576909,5G,5G,-98.0,-3.0,1.0,14.0,-,81.0,9.0,60.0,60.0,D,,-96.0,-13.0,1.0,5Mert
"
2022.11.23_14.40.19",7.117239,43.576909,5G,5G,-98.0,-3.0,1.0,15.0,-,0.0,3.0,60.0,60.0,D,PERIODIC,-97.0,-14.0,7.0,5Mert
"
2022.11.23_14.40.20",7.1172130000000005,43.5768,5G,5G,-98.0,-3.0,1.0,15.0,-,0.0,3.0,60.0,60.0,D,,-97.0,-14.0,7.0,5Mert
"
2022.11.23_14.40.20",7.1172130000000005,43.5768,5G,5G,-98.0,-3.0,1.0,15.0,-,75.0,6.0,60.0,60.0,D,PERIODIC,-97.0,-14.0,7.0,5Mert
"
2022.11.23_14.40.21",7.117183,43.576693,5G,5G,-98.0,-3.0,1.0,15.0,-,75.0,6.0,60.0,60.0,D,,-97.0,-14.0,7.0,5Mert
"
2022.11.23_14.40.21",7.117183,43.576693,5G,5G,-98.0,-3.0,1.0,9.0,-,11.0,3.0,60.0,60.0,D,PERIODIC,-101.0,-17.0,-5.0,5Mert
"
2022.11.23_14.40.22",7.117159,43.576582,5G,5G,-98.0,-3.0,1.0,9.0,-,11.0,3.0,60.0,60.0,D,,-101.0,-17.0,-5.0,5Mert
"
2022.11.23_14.40.22",7.117159,43.576582,5G,5G,-95.0,-3.0,4.0,9.0,-,5.0,2.0,60.0,60.0,D,PERIODIC,-101.0,-17.0,-5.0,5Mert
"
2022.11.23_14.40.23",7.11712,43.576467,5G,5G,-95.0,-3.0,4.0,9.0,-,5.0,2.0,60.0,60.0,D,,-101.0,-17.0,-5.0,5Mert
"
2022.11.23_14.40.23",7.11712,43.576467,5G,5G,-95.0,-3.0,4.0,10.0,-,0.0,0.0,60.0,60.0,D,PERIODIC,-104.0,-19.0,-9.0,5Mert
"
2022.11.23_14.40.24",7.117069,43.576353000000005,5G,5G,-95.0,-3.0,4.0,10.0,-,0.0,0.0,60.0,60.0,I,,-104.0,-19.0,-9.0,5Mert
"
2022.11.23_14.40.24",7.117069,43.576353000000005,5G,5G,-95.0,-3.0,4.0,6.0,-,0.0,0.0,60.0,60.0,I,CELL_RESELECTION_5G5G,-101.0,-16.0,-11.0,5Mert
"
2022.11.23_14.40.25",7.117000999999999,43.576240999999996,5G,5G,-96.0,-3.0,6.0,6.0,-,0.0,0.0,61.0,61.0,I,,-101.0,-16.0,-11.0,5Mert
"
2022.11.23_14.40.25",7.117000999999999,43.576240999999996,5G,5G,-96.0,-3.0,6.0,6.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-101.0,-16.0,-6.0,5Mert
"
2022.11.23_14.40.26",7.116931,43.57613,4G,LTE,-101.0,-16.0,-6.0,6.0,-99,0.0,0.0,60.0,60.0,I,,-101.0,-16.0,-6.0,5Mert
"
2022.11.23_14.40.26",7.116931,43.57613,4G,LTE,-101.0,-16.0,-6.0,6.0,-99,0.0,0.0,60.0,60.0,I,PERIODIC,,,,5Mert
"
2022.11.23_14.40.26",7.116931,43.57613,4G,LTE,-101.0,-16.0,-6.0,6.0,-99,0.0,0.0,60.0,60.0,I,,,,,5Mert
"
2022.11.23_14.40.27",7.116855,43.576021999999995,4G,LTE,-101.0,-16.0,-6.0,6.0,-99,0.0,0.0,61.0,61.0,I,,,,,5Mert
"
2022.11.23_14.40.27",7.116855,43.576021999999995,5G,5G,-96.0,-3.0,6.0,9.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.27",7.116855,43.576021999999995,5G,5G,-96.0,-3.0,6.0,9.0,-,0.0,0.0,61.0,61.0,I,,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.28",7.116783,43.575913,5G,5G,-96.0,-3.0,6.0,9.0,-,0.0,0.0,62.0,62.0,I,,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.28",7.116783,43.575913,5G,5G,-96.0,-3.0,6.0,9.0,-,0.0,0.0,62.0,62.0,I,PERIODIC,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.29",7.116714999999999,43.575809,5G,5G,-96.0,-3.0,6.0,9.0,-,0.0,0.0,63.0,63.0,I,,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.29",7.116714999999999,43.575809,4G,LTE,-99.0,-16.0,1.0,9.0,-105,0.0,0.0,63.0,63.0,I,PERIODIC,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.30",7.116658999999999,43.575712,4G,LTE,-99.0,-16.0,1.0,9.0,-105,0.0,0.0,65.0,65.0,I,,-99.0,-16.0,1.0,5Mert
"
2022.11.23_14.40.30",7.116658999999999,43.575712,4G,LTE,-102.0,-17.0,-6.0,7.0,-105,64.0,22.0,65.0,65.0,D,PERIODIC,,,,5Mert
"
2022.11.23_14.40.30",7.116658999999999,43.575712,4G,LTE,-102.0,-17.0,-6.0,7.0,-105,64.0,22.0,65.0,65.0,D,,,,,5Mert
"
2022.11.23_14.40.31",7.116594999999999,43.575626,4G,LTE,-102.0,-17.0,-6.0,7.0,-105,64.0,22.0,66.0,66.0,D,,,,,5Mert
"
2022.11.23_14.40.31",7.116594999999999,43.575626,4G,LTE,-102.0,-17.0,-6.0,7.0,-105,0.0,0.0,66.0,66.0,I,PERIODIC,,,,5Mert
"
2022.11.23_14.40.32",7.116536,43.575540999999994,5G,5G,-100.0,-3.0,3.0,7.0,-,0.0,0.0,66.0,66.0,I,,,,,5Mert
"
2022.11.23_14.40.32",7.116536,43.575540999999994,5G,5G,-100.0,-3.0,3.0,6.0,-,0.0,0.0,66.0,66.0,I,HANDOVER_DATA_5G5G,-99.0,-11.0,-5.0,5Mert
"
2022.11.23_14.40.33",7.116467,43.575464000000004,5G,5G,-103.0,-8.0,-1.0,6.0,-,0.0,0.0,66.0,66.0,I,,-99.0,-11.0,-5.0,5Mert
"
2022.11.23_14.40.33",7.116467,43.575464000000004,5G,5G,-103.0,-8.0,-1.0,6.0,-,7.0,12.0,66.0,66.0,D,PERIODIC,-98.0,-11.0,-5.0,5Mert
"
2022.11.23_14.40.33",7.116467,43.575464000000004,5G,5G,-103.0,-8.0,-1.0,6.0,-,7.0,12.0,66.0,66.0,D,,-98.0,-11.0,-5.0,5Mert
"
2022.11.23_14.40.34",7.116369000000001,43.575406,5G,5G,-103.0,-8.0,-1.0,6.0,-,7.0,12.0,66.0,66.0,D,,-98.0,-11.0,-5.0,5Mert
"
2022.11.23_14.40.34",7.116369000000001,43.575406,5G,5G,-103.0,-8.0,-1.0,6.0,-,0.0,0.0,66.0,66.0,I,HANDOVER_DATA_5G5G,-100.0,-15.0,-2.0,5Mert
"
2022.11.23_14.40.35",7.116369000000001,43.575406,5G,5G,-96.0,-3.0,7.0,6.0,-,0.0,0.0,66.0,66.0,D,HANDOVER_DATA_5G5G,-102.0,-15.0,-3.0,5Mert
"
2022.11.23_14.40.36",7.116164,43.575316,5G,5G,-97.0,-3.0,9.0,6.0,-,0.0,0.0,66.0,66.0,D,,-102.0,-15.0,-3.0,5Mert
"
2022.11.23_14.40.36",7.116164,43.575316,5G,5G,-97.0,-3.0,9.0,6.0,-,328.0,56.0,66.0,66.0,D,PERIODIC,-102.0,-15.0,-3.0,5Mert
"
2022.11.23_14.40.37",7.116164,43.575316,5G,5G,-97.0,-3.0,9.0,4.0,-,1965.0,216.0,66.0,66.0,D,PERIODIC,-103.0,-12.0,0.0,5Mert
"
2022.11.23_14.40.38",7.115968,43.575221,5G,5G,-97.0,-3.0,9.0,4.0,-,1965.0,216.0,66.0,66.0,D,,-103.0,-12.0,0.0,5Mert
