Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_16.31.27",7.099374000000001,43.600297,5G,5G,-123.0,-10.0,0.0,9,-,0.0,0.0,107.0,107.0,I,LOG START,-93.0,-9.0,8.0,5Mf22n
"
2022.11.22_16.31.27",7.099374000000001,43.600297,5G,5G,-123.0,-10.0,0.0,9,-,0.0,0.0,107.0,107.0,I,PERIODIC,-93.0,-9.0,8.0,5Mf22n
"
2022.11.22_16.31.27",7.099317999999999,43.600361,5G,5G,-123.0,-10.0,0.0,9,-,0.0,0.0,107.0,107.0,I,,-93.0,-9.0,8.0,5Mf22n
"
2022.11.22_16.31.28",7.099317999999999,43.600361,5G,5G,-125.0,-12.0,-2.0,14,-,0.0,0.0,107.0,107.0,I,PERIODIC,-90.0,-10.0,1.0,5Mf22n
"
2022.11.22_16.31.29",7.099317999999999,43.600361,5G,5G,-125.0,-12.0,-2.0,14,-,0.0,0.0,107.0,107.0,I,PERIODIC,-90.0,-10.0,3.0,5Mf22n
"
2022.11.22_16.31.29",7.099188000000001,43.600487,5G,5G,-125.0,-12.0,-2.0,14,-,0.0,0.0,107.0,107.0,I,,-90.0,-10.0,3.0,5Mf22n
"
2022.11.22_16.31.30",7.099188000000001,43.600487,5G,5G,-125.0,-12.0,-2.0,9,-,43.0,15.0,107.0,107.0,D,PERIODIC,-89.0,-10.0,10.0,5Mf22n
"
2022.11.22_16.31.31",7.099188000000001,43.600487,5G,5G,-125.0,-12.0,-2.0,9,-,0.0,0.0,107.0,107.0,D,PERIODIC,-89.0,-10.0,10.0,5Mf22n
"
2022.11.22_16.31.31",7.099025,43.600599,4G,LTE,-89.0,-10.0,10.0,9,-91,0.0,0.0,107.0,107.0,I,,-89.0,-10.0,10.0,5Mf22n
"
2022.11.22_16.31.32",7.099025,43.600599,4G,LTE,-90.0,-11.0,6.0,8,-91,32.0,7.0,107.0,107.0,D,PERIODIC,,,,5Mf22n
"
2022.11.22_16.31.32",7.099025,43.600599,4G,LTE,-90.0,-11.0,6.0,8,-91,32.0,7.0,107.0,107.0,D,,,,,5Mf22n
"
2022.11.22_16.31.33",7.099025,43.600599,4G,LTE,-90.0,-11.0,6.0,8,-91,12.0,3.0,107.0,107.0,D,PERIODIC,,,,5Mf22n
"
2022.11.22_16.31.33",7.098847,43.600709,4G,LTE,-90.0,-11.0,6.0,8,-91,12.0,3.0,108.0,108.0,D,,,,,5Mf22n
"
2022.11.22_16.31.34",7.0987350000000005,43.600763,4G,LTE,-89.0,-9.0,7.0,10,-91,1.0,1.0,108.0,108.0,D,,,,,5Mf22n
"
2022.11.22_16.31.34",7.0987350000000005,43.600763,4G,LTE,-89.0,-9.0,7.0,10,-91,1.0,1.0,108.0,108.0,D,PERIODIC,,,,5Mf22n
"
2022.11.22_16.31.35",7.0987350000000005,43.600763,4G,LTE,-89.0,-9.0,7.0,10,-89,55.0,23.0,108.0,108.0,D,PERIODIC,,,,5Mf22n
"
2022.11.22_16.31.35",7.098619,43.600815999999995,4G,LTE,-89.0,-9.0,7.0,10,-89,55.0,23.0,108.0,108.0,D,,,,,5Mf22n
