Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_17.38.22",7.099125,43.574563,5G,5G,-102.0,-3.0,13.0,7,-,0.0,0.0,70.0,70.0,I,LOG START,-103.0,-13.0,-4.0,5Mh9s
"
2022.09.09_17.38.22",7.099125,43.574563,5G,5G,-99.0,-3.0,13.0,10,-,1.0,1.0,70.0,70.0,D,PERIODIC,-100.0,-9.0,5.0,5Mh9s
"
2022.09.09_17.38.22",7.099168,43.574502,5G,5G,-99.0,-3.0,13.0,10,-,1.0,1.0,103.0,103.0,D,,-100.0,-9.0,5.0,5Mh9s
"
2022.09.09_17.38.23",7.099168,43.574502,5G,5G,-99.0,-3.0,13.0,10,-,0.0,0.0,103.0,103.0,D,PERIODIC,-100.0,-9.0,5.0,5Mh9s
"
2022.09.09_17.38.24",7.099168,43.574502,5G,5G,-99.0,-3.0,13.0,11,-,0.0,0.0,103.0,103.0,D,PERIODIC,-104.0,-11.0,7.0,5Mh9s
"
2022.09.09_17.38.25",7.099168,43.574502,5G,5G,-98.0,-3.0,11.0,11,-,0.0,0.0,103.0,103.0,I,PERIODIC,-104.0,-11.0,7.0,5Mh9s
"
2022.09.09_17.38.26",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,11,-,1.0,1.0,103.0,103.0,D,PERIODIC,-104.0,-12.0,4.0,5Mh9s
"
2022.09.09_17.38.27",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,11,-,1.0,1.0,103.0,103.0,D,PERIODIC,-104.0,-12.0,4.0,5Mh9s
"
2022.09.09_17.38.28",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,6,-,0.0,0.0,103.0,103.0,D,PERIODIC,-102.0,-14.0,1.0,5Mh9s
"
2022.09.09_17.38.29",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,6,-,0.0,0.0,103.0,103.0,D,PERIODIC,-102.0,-14.0,1.0,5Mh9s
"
2022.09.09_17.38.30",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,12,-,0.0,0.0,103.0,103.0,D,PERIODIC,-101.0,-11.0,12.0,5Mh9s
"
2022.09.09_17.38.31",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,12,-,0.0,0.0,103.0,103.0,D,PERIODIC,-101.0,-11.0,12.0,5Mh9s
"
2022.09.09_17.38.32",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,6,-,0.0,0.0,103.0,103.0,I,PERIODIC,-102.0,-10.0,4.0,5Mh9s
"
2022.09.09_17.38.33",7.099168,43.574502,5G,5G,-98.0,-3.0,16.0,6,-,0.0,0.0,103.0,103.0,I,PERIODIC,-102.0,-10.0,4.0,5Mh9s
"
2022.09.09_17.38.34",7.099168,43.574502,5G,5G,-101.0,-3.0,16.0,14,-,0.0,0.0,103.0,103.0,D,PERIODIC,-98.0,-9.0,8.0,5Mh9s
"
2022.09.09_17.38.35",7.099168,43.574502,5G,5G,-104.0,-3.0,10.0,14,-,0.0,0.0,103.0,103.0,I,PERIODIC,-98.0,-9.0,8.0,5Mh9s
"
2022.09.09_17.38.36",7.099168,43.574502,5G,5G,-104.0,-3.0,10.0,8,-,5.0,5.0,103.0,103.0,D,PERIODIC,-104.0,-9.0,3.0,5Mh9s
"
2022.09.09_17.38.37",7.099168,43.574502,5G,5G,-104.0,-3.0,10.0,8,-,59.0,21.0,103.0,103.0,D,PERIODIC,-104.0,-9.0,3.0,5Mh9s
"
2022.09.09_17.38.38",7.099168,43.574502,5G,5G,-101.0,-3.0,18.0,7,-,0.0,0.0,103.0,103.0,D,PERIODIC,-100.0,-10.0,4.0,5Mh9s
