Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.23.23",7.087784,43.602666,5G,5G,-92.0,-3.0,15.0,7,-,0.0,0.0,133.0,133.0,I,LOG START,-85.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.24",7.087784,43.602666,5G,5G,-92.0,-3.0,15.0,7,-,0.0,0.0,133.0,133.0,I,PERIODIC,-85.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.24",7.087928999999999,43.602688,5G,5G,-92.0,-3.0,15.0,7,-,0.0,0.0,133.0,133.0,I,,-85.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.25",7.087928999999999,43.602688,5G,5G,-92.0,-3.0,15.0,7,-,0.0,0.0,133.0,133.0,I,PERIODIC,-85.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.26",7.087928999999999,43.602688,5G,5G,-92.0,-3.0,15.0,7,-,0.0,0.0,133.0,133.0,D,PERIODIC,-85.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.27",7.087928999999999,43.602688,5G,5G,-91.0,-3.0,16.0,10,-,37.0,5.0,133.0,133.0,D,PERIODIC,-90.0,-11.0,9.0,5Mju
"
2022.11.23_14.23.28",7.087928999999999,43.602688,5G,5G,-93.0,-3.0,18.0,10,-,118.0,13.0,133.0,133.0,D,PERIODIC,-90.0,-11.0,9.0,5Mju
"
2022.11.23_14.23.28",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,10,-,118.0,13.0,132.0,132.0,D,,-90.0,-11.0,9.0,5Mju
"
2022.11.23_14.23.29",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,48.0,30.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.30",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,80.0,9.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.31",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,11.0,3.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.32",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,4.0,7.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.33",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,0.0,0.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.34",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,6,-,0.0,0.0,132.0,132.0,I,PERIODIC,-93.0,-14.0,9.0,5Mju
"
2022.11.23_14.23.35",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,9,-,0.0,0.0,132.0,132.0,D,PERIODIC,-92.0,-12.0,9.0,5Mju
"
2022.11.23_14.23.36",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,9,-,0.0,0.0,132.0,132.0,I,PERIODIC,-92.0,-12.0,9.0,5Mju
"
2022.11.23_14.23.37",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.38",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.39",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.40",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.41",7.088054,43.602707,5G,5G,-93.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.42",7.088054,43.602707,5G,5G,-102.0,-3.0,18.0,11,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-14.0,11.0,5Mju
"
2022.11.23_14.23.43",7.088054,43.602707,5G,5G,-102.0,-3.0,18.0,-,-,0.0,10.0,132.0,132.0,D,PERIODIC,-89.0,-12.0,6.0,5Mju
"
2022.11.23_14.23.44",7.088054,43.602707,4G,LTE,-89.0,-12.0,6.0,-,-95,8.0,11.0,132.0,132.0,D,PERIODIC,,,,5Mju
"
2022.11.23_14.23.44",7.088054,43.602707,4G,LTE,-89.0,-12.0,6.0,-,-95,8.0,11.0,132.0,132.0,D,,,,,5Mju
"
2022.11.23_14.23.45",7.088054,43.602707,4G,LTE,-94.0,-13.0,6.0,8,-95,0.0,0.0,132.0,132.0,D,PERIODIC,,,,5Mju
"
2022.11.23_14.23.46",7.088054,43.602707,4G,LTE,-94.0,-13.0,6.0,8,-95,0.0,0.0,132.0,132.0,I,PERIODIC,,,,5Mju
"
2022.11.23_14.23.47",7.088054,43.602707,5G,5G,-101.0,-3.0,18.0,12,-,0.0,0.0,132.0,132.0,I,PERIODIC,-94.0,-13.0,6.0,5Mju
"
2022.11.23_14.23.47",7.088054,43.602707,5G,5G,-101.0,-3.0,18.0,12,-,0.0,0.0,132.0,132.0,I,,-94.0,-13.0,6.0,5Mju
"
2022.11.23_14.23.48",7.088054,43.602707,5G,5G,-104.0,-3.0,15.0,12,-,0.0,0.0,132.0,132.0,D,PERIODIC,-94.0,-13.0,6.0,5Mju
"
2022.11.23_14.23.49",7.088054,43.602707,5G,5G,-104.0,-3.0,15.0,12,-,0.0,0.0,132.0,132.0,I,PERIODIC,-93.0,-14.0,5.0,5Mju
"
2022.11.23_14.23.50",7.088054,43.602707,5G,5G,-103.0,-3.0,18.0,12,-,0.0,0.0,132.0,132.0,I,PERIODIC,-93.0,-14.0,5.0,5Mju
"
2022.11.23_14.23.51",7.088054,43.602707,5G,5G,-103.0,-3.0,18.0,13,-,0.0,0.0,132.0,132.0,I,PERIODIC,-96.0,-14.0,6.0,5Mju
"
2022.11.23_14.23.52",7.088054,43.602707,5G,5G,-106.0,-3.0,15.0,13,-,0.0,0.0,132.0,132.0,I,PERIODIC,-96.0,-14.0,6.0,5Mju
"
2022.11.23_14.23.53",7.088054,43.602707,5G,5G,-106.0,-3.0,15.0,7,-,0.0,0.0,132.0,132.0,I,PERIODIC,-98.0,-14.0,3.0,5Mju
"
2022.11.23_14.23.54",7.088054,43.602707,5G,5G,-106.0,-3.0,15.0,7,-,0.0,0.0,132.0,132.0,I,PERIODIC,-98.0,-14.0,3.0,5Mju
"
2022.11.23_14.23.55",7.088054,43.602707,5G,5G,-103.0,-3.0,16.0,7,-,0.0,0.0,132.0,132.0,I,PERIODIC,-99.0,-15.0,5.0,5Mju
"
2022.11.23_14.23.56",7.088054,43.602707,5G,5G,-102.0,-3.0,19.0,7,-,0.0,0.0,132.0,132.0,I,PERIODIC,-99.0,-15.0,5.0,5Mju
"
2022.11.23_14.23.57",7.088054,43.602707,5G,5G,-102.0,-3.0,19.0,-,-,0.0,0.0,132.0,132.0,I,PERIODIC,-93.0,-13.0,8.0,5Mju
"
2022.11.23_14.23.58",7.088054,43.602707,4G,LTE,-93.0,-13.0,8.0,-,-93,0.0,0.0,132.0,132.0,I,PERIODIC,,,,5Mju
"
2022.11.23_14.23.58",7.088054,43.602707,4G,LTE,-93.0,-13.0,8.0,-,-93,0.0,0.0,132.0,132.0,I,,,,,5Mju
"
2022.11.23_14.23.59",7.088054,43.602707,4G,LTE,-93.0,-13.0,6.0,-,-97,0.0,0.0,132.0,132.0,I,PERIODIC,,,,5Mju
"
2022.11.23_14.24.00",7.088054,43.602707,4G,LTE,-93.0,-13.0,6.0,-,-93,57.0,25.0,132.0,132.0,D,PERIODIC,,,,5Mju
"
2022.11.23_14.24.01",7.088054,43.602707,5G,5G,-104.0,-3.0,16.0,12,-,1.0,0.0,132.0,132.0,D,PERIODIC,-93.0,-14.0,5.0,5Mju
"
2022.11.23_14.24.01",7.088054,43.602707,5G,5G,-104.0,-3.0,16.0,12,-,1.0,0.0,132.0,132.0,D,,-93.0,-14.0,5.0,5Mju
"
2022.11.23_14.24.02",7.088054,43.602707,5G,5G,-104.0,-3.0,16.0,12,-,0.0,0.0,132.0,132.0,I,PERIODIC,-93.0,-14.0,5.0,5Mju
"
2022.11.23_14.24.03",7.088054,43.602707,5G,5G,-104.0,-3.0,16.0,11,-,0.0,0.0,132.0,132.0,D,PERIODIC,-95.0,-14.0,6.0,5Mju
