Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_15.44.53",7.0721300000000005,43.610805,4G,LTE,-107.0,-17.0,-6.0,5,-107,17.0,48.0,130.0,130.0,D,LOG START,,,,5Mn10
"
2022.09.10_15.44.53",7.0721300000000005,43.610805,4G,LTE,-106.0,-16.0,-2.0,7,-107,17.0,48.0,130.0,130.0,D,PERIODIC,,,,5Mn10
"
2022.09.10_15.44.54",7.0722380000000005,43.610768,4G,LTE,-106.0,-16.0,-2.0,7,-109,17.0,48.0,131.0,131.0,D,,,,,5Mn10
"
2022.09.10_15.44.54",7.0722380000000005,43.610768,4G,LTE,-106.0,-16.0,-2.0,7,-109,0.0,0.0,131.0,131.0,D,PERIODIC,,,,5Mn10
"
2022.09.10_15.44.55",7.0722380000000005,43.610768,4G,LTE,-107.0,-19.0,-6.0,5,-109,0.0,5.0,131.0,131.0,D,PERIODIC,,,,5Mn10
"
2022.09.10_15.44.56",7.072463000000001,43.610694,4G,LTE,-107.0,-19.0,-6.0,5,-109,0.0,5.0,132.0,132.0,D,,,,,5Mn10
"
2022.09.10_15.44.56",7.072463000000001,43.610694,4G,LTE,-100.0,-14.0,-7.0,6,-109,8.0,4.0,132.0,132.0,D,IRAT_HANDOVER_DATA_5G4G,,,,5Mn10
"
2022.09.10_15.44.57",7.0725880000000005,43.610655,4G,LTE,-100.0,-14.0,-7.0,6,-103,8.0,4.0,132.0,132.0,D,,,,,5Mn10
"
2022.09.10_15.44.57",7.0725880000000005,43.610655,4G,LTE,-102.0,-14.0,-3.0,6,-103,0.0,0.0,132.0,132.0,I,PERIODIC,,,,5Mn10
"
2022.09.10_15.44.58",7.072713,43.610613,5G,5G,-124.0,-10.0,-1.0,6,-,0.0,0.0,132.0,132.0,I,,,,,5Mn10
"
2022.09.10_15.44.58",7.072713,43.610613,5G,5G,-124.0,-10.0,-1.0,6,-,0.0,0.0,132.0,132.0,D,PERIODIC,-102.0,-14.0,-3.0,5Mn10
"
2022.09.10_15.44.58",7.072713,43.610613,5G,5G,-124.0,-10.0,-1.0,6,-,0.0,0.0,132.0,132.0,D,,-102.0,-14.0,-3.0,5Mn10
"
2022.09.10_15.44.59",7.072833,43.610566,5G,5G,-123.0,-10.0,-1.0,6,-,0.0,0.0,133.0,133.0,D,,-102.0,-14.0,-3.0,5Mn10
"
2022.09.10_15.44.59",7.072833,43.610566,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,133.0,133.0,I,PERIODIC,-100.0,-12.0,-1.0,5Mn10
"
2022.09.10_15.45.00",7.072947,43.610518,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,133.0,133.0,I,,-100.0,-12.0,-1.0,5Mn10
"
2022.09.10_15.45.00",7.072947,43.610518,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,133.0,133.0,I,PERIODIC,-100.0,-12.0,-1.0,5Mn10
"
2022.09.10_15.45.01",7.073064,43.610454,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,132.0,132.0,I,,-100.0,-12.0,-1.0,5Mn10
"
2022.09.10_15.45.01",7.073064,43.610454,5G,5G,-123.0,-10.0,-1.0,7,-,0.0,0.0,132.0,132.0,D,PERIODIC,-100.0,-12.0,-2.0,5Mn10
"
2022.09.10_15.45.02",7.073160000000001,43.610392,5G,5G,-123.0,-10.0,-1.0,7,-,0.0,0.0,132.0,132.0,D,,-100.0,-12.0,-2.0,5Mn10
