Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.15_13.05.36",7.2485539999999995,43.691862,4G,LTE,-104.0,-22.0,-9.0,1,-103,2.0,1.0,52.0,52.0,D,LOG START,,,,5Mns15
"
2022.09.15_13.05.37",7.2485539999999995,43.691862,4G,LTE,-102.0,-20.0,-12.0,-,-103,24.0,29.0,52.0,52.0,D,IRAT_HANDOVER_DATA_5G4G,,,,5Mns15
"
2022.09.15_13.05.37",7.248553,43.69187,4G,LTE,-102.0,-20.0,-12.0,-,-103,24.0,29.0,51.0,51.0,D,,,,,5Mns15
"
2022.09.15_13.05.38",7.248553,43.69187,4G,LTE,-102.0,-20.0,-12.0,5,-103,0.0,0.0,51.0,51.0,D,PERIODIC,,,,5Mns15
"
2022.09.15_13.05.39",7.248553,43.69187,4G,LTE,-102.0,-20.0,-12.0,5,-105,0.0,0.0,51.0,51.0,I,PERIODIC,,,,5Mns15
"
2022.09.15_13.05.40",7.248553,43.69187,4G,LTE,-103.0,-20.0,-13.0,4,-105,0.0,0.0,51.0,51.0,I,PERIODIC,,,,5Mns15
"
2022.09.15_13.05.41",7.248553,43.69187,4G,LTE,-103.0,-20.0,-13.0,4,-103,0.0,0.0,51.0,51.0,I,PERIODIC,,,,5Mns15
"
2022.09.15_13.05.42",7.248553,43.69187,4G,LTE,-101.0,-19.0,-12.0,6,-103,0.0,0.0,51.0,51.0,I,PERIODIC,,,,5Mns15
"
2022.09.15_13.05.43",7.248553,43.69187,5G,5G,-110.0,-3.0,6.0,6,-,17.0,14.0,51.0,51.0,D,PERIODIC,-101.0,-19.0,-12.0,5Mns15
"
2022.09.15_13.05.43",7.248553,43.69187,5G,5G,-110.0,-3.0,6.0,6,-,17.0,14.0,51.0,51.0,D,,-101.0,-19.0,-12.0,5Mns15
"
2022.09.15_13.05.44",7.248553,43.69187,5G,5G,-110.0,-3.0,6.0,5,-,1.0,17.0,51.0,51.0,D,PERIODIC,-101.0,-20.0,-12.0,5Mns15
"
2022.09.15_13.05.45",7.248553,43.69187,5G,5G,-110.0,-3.0,6.0,5,-,109.0,3.0,51.0,51.0,D,PERIODIC,-101.0,-20.0,-12.0,5Mns15
"
2022.09.15_13.05.46",7.248553,43.69187,5G,5G,-110.0,-3.0,6.0,5,-,1.0,1.0,51.0,51.0,D,PERIODIC,-101.0,-20.0,-12.0,5Mns15
"
2022.09.15_13.05.47",7.248553,43.69187,5G,5G,-107.0,-3.0,7.0,4,-,332.0,53.0,51.0,51.0,D,PERIODIC,-103.0,-21.0,-8.0,5Mns15
