Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_16.27.08",7.113714,43.592956,5G,5G,-120.0,-8.0,0.0,10.0,-,0.0,0.0,76.0,76.0,I,LOG START,-112.0,-13.0,-5.0,5Mr22n
"
2022.11.22_16.27.08",7.113714,43.592956,5G,5G,-120.0,-8.0,0.0,7.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-13.0,-5.0,5Mr22n
"
2022.11.22_16.27.08",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,0.0,7.0,-,0.0,0.0,76.0,76.0,I,,-111.0,-13.0,-5.0,5Mr22n
"
2022.11.22_16.27.09",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,0.0,7.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-13.0,-5.0,5Mr22n
"
2022.11.22_16.27.10",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,0.0,8.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-9.0,4.0,5Mr22n
"
2022.11.22_16.27.11",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,-1.0,8.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-9.0,4.0,5Mr22n
"
2022.11.22_16.27.12",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,-1.0,11.0,-,4.0,4.0,76.0,76.0,D,PERIODIC,-110.0,-13.0,6.0,5Mr22n
"
2022.11.22_16.27.13",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,-1.0,11.0,-,36.0,11.0,76.0,76.0,D,PERIODIC,-110.0,-13.0,6.0,5Mr22n
"
2022.11.22_16.27.14",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,-1.0,11.0,-,41.0,15.0,76.0,76.0,D,PERIODIC,-110.0,-13.0,6.0,5Mr22n
"
2022.11.22_16.27.15",7.113614999999999,43.592996,5G,5G,-120.0,-8.0,-1.0,11.0,-,0.0,0.0,76.0,76.0,D,PERIODIC,-112.0,-11.0,12.0,5Mr22n
"
2022.11.22_16.27.16",7.113614999999999,43.592996,5G,5G,-122.0,-10.0,-2.0,11.0,-,38.0,21.0,76.0,76.0,D,PERIODIC,-112.0,-11.0,12.0,5Mr22n
"
2022.11.22_16.27.17",7.113614999999999,43.592996,5G,5G,-122.0,-9.0,-2.0,7.0,-,18.0,4.0,76.0,76.0,D,PERIODIC,-111.0,-11.0,3.0,5Mr22n
"
2022.11.22_16.27.18",7.113614999999999,43.592996,5G,5G,-121.0,-8.0,-1.0,7.0,-,4.0,2.0,76.0,76.0,D,PERIODIC,-111.0,-11.0,3.0,5Mr22n
"
2022.11.22_16.27.19",7.113614999999999,43.592996,5G,5G,-118.0,-7.0,0.0,8.0,-,0.0,0.0,76.0,76.0,D,PERIODIC,-112.0,-11.0,2.0,5Mr22n
"
2022.11.22_16.27.20",7.113614999999999,43.592996,5G,5G,-118.0,-7.0,0.0,8.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-112.0,-11.0,2.0,5Mr22n
"
2022.11.22_16.27.21",7.113614999999999,43.592996,5G,5G,-118.0,-7.0,0.0,7.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-9.0,3.0,5Mr22n
"
2022.11.22_16.27.22",7.113614999999999,43.592996,5G,5G,-118.0,-7.0,0.0,7.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-9.0,3.0,5Mr22n
"
2022.11.22_16.27.23",7.113614999999999,43.592996,5G,5G,-124.0,-11.0,-3.0,9.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-8.0,3.0,5Mr22n
"
2022.11.22_16.27.24",7.113614999999999,43.592996,5G,5G,-124.0,-11.0,-3.0,9.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-8.0,3.0,5Mr22n
"
2022.11.22_16.27.25",7.113614999999999,43.592996,5G,5G,-124.0,-11.0,-3.0,8.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-112.0,-9.0,4.0,5Mr22n
"
2022.11.22_16.27.26",7.113614999999999,43.592996,5G,5G,-124.0,-11.0,-3.0,8.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-112.0,-9.0,4.0,5Mr22n
"
2022.11.22_16.27.27",7.113614999999999,43.592996,5G,5G,-124.0,-11.0,-3.0,9.0,-,0.0,0.0,76.0,76.0,I,PERIODIC,-111.0,-7.0,9.0,5Mr22n
