Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_16.14.17",7.118678999999999,43.579451,5G,5G,-89.0,-3.0,19.0,8.0,-,0.0,0.0,57.0,57.0,I,LOG START,-101.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.18",7.118678999999999,43.579451,5G,5G,-89.0,-3.0,19.0,8.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-101.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.18",7.118678,43.579431,5G,5G,-89.0,-3.0,19.0,8.0,-,0.0,0.0,57.0,57.0,I,,-101.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.19",7.118678,43.579431,5G,5G,-89.0,-3.0,19.0,8.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-101.0,-13.0,1.0,5Mu9s
"
2022.09.09_16.14.20",7.118678,43.579431,5G,5G,-89.0,-3.0,19.0,8.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-101.0,-13.0,1.0,5Mu9s
"
2022.09.09_16.14.21",7.118678,43.579431,5G,5G,-89.0,-3.0,19.0,8.0,-,72.0,4.0,57.0,57.0,D,PERIODIC,-101.0,-13.0,1.0,5Mu9s
"
2022.09.09_16.14.22",7.118678,43.579431,5G,5G,-89.0,-3.0,19.0,12.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-103.0,-14.0,-1.0,5Mu9s
"
2022.09.09_16.14.22",7.118639999999999,43.579328000000004,5G,5G,-92.0,-3.0,16.0,12.0,-,0.0,0.0,57.0,57.0,I,,-103.0,-14.0,-1.0,5Mu9s
"
2022.09.09_16.14.23",7.118639999999999,43.579328000000004,5G,5G,-92.0,-3.0,16.0,12.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-103.0,-14.0,-1.0,5Mu9s
"
2022.09.09_16.14.24",7.118639999999999,43.579328000000004,5G,5G,-90.0,-3.0,17.0,11.0,-,0.0,0.0,57.0,57.0,D,PERIODIC,-104.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.25",7.118639999999999,43.579328000000004,5G,5G,-90.0,-3.0,17.0,11.0,-,0.0,0.0,57.0,57.0,D,PERIODIC,-104.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.26",7.118639999999999,43.579328000000004,5G,5G,-87.0,-3.0,21.0,13.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-97.0,-13.0,-3.0,5Mu9s
"
2022.09.09_16.14.26",7.118567999999999,43.579236,5G,5G,-87.0,-3.0,21.0,13.0,-,0.0,0.0,57.0,57.0,I,,-97.0,-13.0,-3.0,5Mu9s
"
2022.09.09_16.14.27",7.118567999999999,43.579236,5G,5G,-90.0,-3.0,19.0,13.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-97.0,-13.0,-3.0,5Mu9s
"
2022.09.09_16.14.28",7.118567999999999,43.579236,5G,5G,-93.0,-3.0,15.0,9.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-100.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.29",7.118567999999999,43.579236,5G,5G,-93.0,-3.0,15.0,9.0,-,0.0,0.0,57.0,57.0,I,PERIODIC,-100.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.29",7.118461999999999,43.579159999999995,5G,5G,-93.0,-3.0,15.0,9.0,-,0.0,0.0,58.0,58.0,I,,-100.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.30",7.118461999999999,43.579159999999995,5G,5G,-93.0,-3.0,15.0,9.0,-,0.0,3.0,58.0,58.0,D,PERIODIC,-100.0,-15.0,-3.0,5Mu9s
"
2022.09.09_16.14.31",7.118461999999999,43.579159999999995,5G,5G,-103.0,-3.0,8.0,9.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-105.0,-16.0,-5.0,5Mu9s
"
2022.09.09_16.14.32",7.118461999999999,43.579159999999995,5G,5G,-100.0,-3.0,8.0,9.0,-,9.0,34.0,58.0,58.0,D,PERIODIC,-105.0,-16.0,-5.0,5Mu9s
"
2022.09.09_16.14.32",7.118339999999999,43.579086,5G,5G,-102.0,-3.0,8.0,9.0,-,9.0,34.0,59.0,59.0,D,,-105.0,-16.0,-5.0,5Mu9s
"
2022.09.09_16.14.33",7.118339999999999,43.579086,5G,5G,-102.0,-3.0,8.0,8.0,-,8.0,2.0,59.0,59.0,D,PERIODIC,-110.0,-17.0,-10.0,5Mu9s
"
2022.09.09_16.14.34",7.118339999999999,43.579086,5G,5G,-102.0,-3.0,8.0,8.0,-,39.0,46.0,59.0,59.0,D,PERIODIC,-110.0,-17.0,-10.0,5Mu9s
"
2022.09.09_16.14.34",7.118238000000001,43.579027,5G,5G,-102.0,-3.0,8.0,8.0,-,39.0,46.0,58.0,58.0,D,,-110.0,-17.0,-10.0,5Mu9s
"
2022.09.09_16.14.35",7.118238000000001,43.579027,5G,5G,-102.0,-3.0,8.0,7.0,-,23.0,8.0,58.0,58.0,D,PERIODIC,-109.0,-14.0,-2.0,5Mu9s
"
2022.09.09_16.14.36",7.118238000000001,43.579027,5G,5G,-102.0,-3.0,8.0,7.0,-,178.0,52.0,58.0,58.0,D,PERIODIC,-109.0,-14.0,-2.0,5Mu9s
"
2022.09.09_16.14.36",7.118119999999999,43.578955,5G,5G,-102.0,-3.0,8.0,7.0,-,178.0,52.0,58.0,58.0,D,,-109.0,-14.0,-2.0,5Mu9s
"
2022.09.09_16.14.37",7.118119999999999,43.578955,5G,5G,-102.0,-3.0,8.0,9.0,-,20.0,7.0,58.0,58.0,D,PERIODIC,-111.0,-16.0,-3.0,5Mu9s
"
2022.09.09_16.14.38",7.118119999999999,43.578955,5G,5G,-103.0,-3.0,3.0,9.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-111.0,-16.0,-3.0,5Mu9s
"
2022.09.09_16.14.38",7.117967,43.578852000000005,5G,5G,-103.0,-3.0,3.0,9.0,-,0.0,0.0,58.0,58.0,D,,-111.0,-16.0,-3.0,5Mu9s
"
2022.09.09_16.14.39",7.117967,43.578852000000005,5G,5G,-103.0,-3.0,3.0,6.0,-,5.0,28.0,58.0,58.0,D,HANDOVER_DATA_5G5G,-99.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.40",7.117967,43.578852000000005,5G,5G,-100.0,-3.0,8.0,6.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-99.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.40",7.117811,43.578741,5G,5G,-100.0,-3.0,8.0,6.0,-,0.0,0.0,58.0,58.0,I,,-99.0,-13.0,2.0,5Mu9s
"
2022.09.09_16.14.41",7.117811,43.578741,5G,5G,-101.0,-3.0,2.0,6.0,-,0.0,1.0,58.0,58.0,D,HANDOVER_DATA_5G5G,-101.0,-14.0,-4.0,5Mu9s
"
2022.09.09_16.14.42",7.117811,43.578741,5G,5G,-101.0,-3.0,2.0,6.0,-,9.0,2.0,58.0,58.0,D,PERIODIC,-101.0,-14.0,-4.0,5Mu9s
"
2022.09.09_16.14.42",7.117636,43.578624,5G,5G,-100.0,-3.0,2.0,6.0,-,9.0,2.0,58.0,58.0,D,,-101.0,-14.0,-4.0,5Mu9s
"
2022.09.09_16.14.43",7.117636,43.578624,5G,5G,-100.0,-3.0,2.0,6.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-101.0,-14.0,-4.0,5Mu9s
"
2022.09.09_16.14.44",7.117636,43.578624,5G,5G,-98.0,-3.0,1.0,8.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-96.0,-14.0,10.0,5Mu9s
"
2022.09.09_16.14.44",7.117546000000001,43.578463,5G,5G,-96.0,-3.0,3.0,8.0,-,0.0,0.0,59.0,59.0,D,,-96.0,-14.0,10.0,5Mu9s
"
2022.09.09_16.14.45",7.117546000000001,43.578463,5G,5G,-96.0,-3.0,3.0,8.0,-,100.0,56.0,59.0,59.0,D,PERIODIC,-96.0,-14.0,10.0,5Mu9s
"
2022.09.09_16.14.45",7.117525,43.578365000000005,5G,5G,-96.0,-3.0,3.0,8.0,-,100.0,56.0,59.0,59.0,D,,-96.0,-14.0,10.0,5Mu9s
"
2022.09.09_16.14.46",7.117525,43.578365000000005,5G,5G,-96.0,-3.0,3.0,12.0,-,657.0,183.0,59.0,59.0,D,PERIODIC,-103.0,-17.0,5.0,5Mu9s
"
2022.09.09_16.14.46",7.117513000000001,43.578269,5G,5G,-100.0,-3.0,5.0,12.0,-,657.0,183.0,59.0,59.0,D,,-103.0,-17.0,5.0,5Mu9s
"
2022.09.09_16.14.47",7.117513000000001,43.578269,5G,5G,-100.0,-3.0,5.0,12.0,-,1161.0,266.0,59.0,59.0,D,PERIODIC,-103.0,-17.0,4.0,5Mu9s
"
2022.09.09_16.14.47",7.117489999999999,43.578168,5G,5G,-99.0,-3.0,4.0,12.0,-,1161.0,266.0,59.0,59.0,D,,-103.0,-17.0,4.0,5Mu9s
"
2022.09.09_16.14.48",7.117489999999999,43.578168,5G,5G,-99.0,-3.0,4.0,12.0,-,23490.0,505.0,59.0,59.0,D,PERIODIC,-107.0,-16.0,1.0,5Mu9s
"
2022.09.09_16.14.48",7.117475,43.578057,5G,5G,-99.0,-3.0,4.0,12.0,-,23490.0,505.0,59.0,59.0,D,,-107.0,-16.0,1.0,5Mu9s
"
2022.09.09_16.14.49",7.117475,43.578057,5G,5G,-99.0,-3.0,4.0,12.0,-,8702.0,365.0,59.0,59.0,D,PERIODIC,-107.0,-16.0,1.0,5Mu9s
"
2022.09.09_16.14.49",7.117464999999999,43.577942,5G,5G,-99.0,-3.0,4.0,12.0,-,8702.0,365.0,59.0,59.0,D,,-107.0,-16.0,1.0,5Mu9s
"
2022.09.09_16.14.50",7.117464999999999,43.577942,5G,5G,-98.0,-3.0,5.0,5.0,-,105.0,117.0,59.0,59.0,D,PERIODIC,-111.0,-17.0,-8.0,5Mu9s
"
2022.09.09_16.14.50",7.117457000000001,43.577834,5G,5G,-98.0,-3.0,5.0,5.0,-,105.0,117.0,60.0,60.0,D,,-111.0,-17.0,-8.0,5Mu9s
"
2022.09.09_16.14.51",7.117457000000001,43.577834,5G,5G,-104.0,-3.0,2.0,5.0,-,20.0,11.0,60.0,60.0,D,PERIODIC,-111.0,-17.0,-8.0,5Mu9s
"
2022.09.09_16.14.51",7.117446000000001,43.577736,5G,5G,-104.0,-3.0,2.0,5.0,-,20.0,11.0,60.0,60.0,D,,-111.0,-17.0,-8.0,5Mu9s
"
2022.09.09_16.14.52",7.117446000000001,43.577736,5G,5G,-104.0,-3.0,2.0,5.0,-,24.0,108.0,60.0,60.0,D,PERIODIC,-110.0,-17.0,3.0,5Mu9s
"
2022.09.09_16.14.52",7.117433,43.577643,5G,5G,-104.0,-3.0,2.0,5.0,-,24.0,108.0,60.0,60.0,D,,-110.0,-17.0,3.0,5Mu9s
"
2022.09.09_16.14.53",7.117433,43.577643,5G,5G,-104.0,-3.0,2.0,5.0,-,3015.0,46.0,60.0,60.0,D,PERIODIC,-110.0,-17.0,3.0,5Mu9s
"
2022.09.09_16.14.53",7.117423,43.577546000000005,5G,5G,-104.0,-3.0,2.0,5.0,-,3015.0,46.0,61.0,61.0,D,,-110.0,-17.0,3.0,5Mu9s
