Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.36.12",7.11912,43.586324,5G,5G,-89.0,-3.0,7.0,14.0,-,0.0,0.0,64.0,64.0,I,LOG START,-87.0,-11.0,2.0,5Mui
"
2022.11.23_14.36.12",7.1190809999999995,43.586220000000004,5G,5G,-91.0,-3.0,6.0,14.0,-,0.0,0.0,64.0,64.0,I,,-87.0,-11.0,2.0,5Mui
"
2022.11.23_14.36.12",7.1190809999999995,43.586220000000004,5G,5G,-91.0,-3.0,6.0,14.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-87.0,-11.0,2.0,5Mui
"
2022.11.23_14.36.13",7.1190809999999995,43.586220000000004,5G,5G,-95.0,-14.0,0.0,14.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-84.0,-14.0,4.0,5Mui
"
2022.11.23_14.36.14",7.119041999999999,43.586108,5G,5G,-95.0,-14.0,0.0,14.0,-,0.0,0.0,64.0,64.0,I,,-84.0,-14.0,4.0,5Mui
"
2022.11.23_14.36.14",7.119041999999999,43.586108,5G,5G,-95.0,-14.0,0.0,14.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-84.0,-14.0,4.0,5Mui
"
2022.11.23_14.36.15",7.119041999999999,43.586108,5G,5G,-95.0,-14.0,0.0,14.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-84.0,-14.0,4.0,5Mui
"
2022.11.23_14.36.16",7.118995,43.585982,5G,5G,-90.0,-3.0,7.0,14.0,-,0.0,0.0,64.0,64.0,I,,-84.0,-14.0,4.0,5Mui
"
2022.11.23_14.36.16",7.118995,43.585982,5G,5G,-90.0,-3.0,7.0,11.0,-,22.0,29.0,64.0,64.0,D,PERIODIC,-86.0,-17.0,-1.0,5Mui
"
2022.11.23_14.36.17",7.118995,43.585982,5G,5G,-90.0,-3.0,7.0,11.0,-,117.0,30.0,64.0,64.0,D,PERIODIC,-86.0,-17.0,-1.0,5Mui
"
2022.11.23_14.36.18",7.118946,43.585854,5G,5G,-90.0,-3.0,7.0,11.0,-,117.0,30.0,64.0,64.0,D,,-86.0,-17.0,-1.0,5Mui
"
2022.11.23_14.36.18",7.118946,43.585854,5G,5G,-90.0,-3.0,7.0,11.0,-,73.0,3.0,64.0,64.0,D,PERIODIC,-86.0,-10.0,5.0,5Mui
"
2022.11.23_14.36.19",7.118946,43.585854,5G,5G,-90.0,-3.0,7.0,11.0,-,10.0,3.0,64.0,64.0,D,PERIODIC,-86.0,-10.0,5.0,5Mui
"
2022.11.23_14.36.20",7.118900999999999,43.585731,5G,5G,-90.0,-3.0,7.0,11.0,-,10.0,3.0,64.0,64.0,D,,-86.0,-10.0,5.0,5Mui
"
2022.11.23_14.36.20",7.118900999999999,43.585731,5G,5G,-90.0,-3.0,7.0,8.0,-,92.0,25.0,64.0,64.0,D,PERIODIC,-86.0,-14.0,3.0,5Mui
"
2022.11.23_14.36.21",7.118900999999999,43.585731,5G,5G,-86.0,-3.0,1.0,8.0,-,6.0,1.0,64.0,64.0,D,PERIODIC,-86.0,-14.0,3.0,5Mui
"
2022.11.23_14.36.22",7.118861,43.585634999999996,4G,LTE,-86.0,-14.0,3.0,8.0,-87,6.0,1.0,64.0,64.0,D,,-86.0,-14.0,3.0,5Mui
"
2022.11.23_14.36.22",7.118861,43.585634999999996,4G,LTE,-87.0,-15.0,-7.0,14.0,-87,0.0,0.0,64.0,64.0,I,PERIODIC,,,,5Mui
"
2022.11.23_14.36.22",7.118861,43.585634999999996,4G,LTE,-87.0,-15.0,-7.0,14.0,-87,0.0,0.0,64.0,64.0,I,,,,,5Mui
"
2022.11.23_14.36.23",7.118861,43.585634999999996,4G,LTE,-87.0,-15.0,-7.0,14.0,-87,0.0,0.0,64.0,64.0,I,PERIODIC,,,,5Mui
"
2022.11.23_14.36.24",7.118861,43.585634999999996,5G,5G,-86.0,-3.0,10.0,12.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-89.0,-16.0,-5.0,5Mui
"
2022.11.23_14.36.24",7.118861,43.585634999999996,5G,5G,-86.0,-3.0,10.0,12.0,-,0.0,0.0,64.0,64.0,I,,-89.0,-16.0,-5.0,5Mui
"
2022.11.23_14.36.25",7.118825,43.585539000000004,5G,5G,-86.0,-3.0,10.0,12.0,-,0.0,0.0,64.0,64.0,D,,-89.0,-16.0,-5.0,5Mui
"
2022.11.23_14.36.25",7.118825,43.585539000000004,5G,5G,-86.0,-3.0,10.0,12.0,-,4.0,5.0,64.0,64.0,D,PERIODIC,-89.0,-16.0,-5.0,5Mui
"
2022.11.23_14.36.26",7.118825,43.585539000000004,5G,5G,-86.0,-3.0,10.0,12.0,-,0.0,0.0,64.0,64.0,D,PERIODIC,-83.0,-19.0,-9.0,5Mui
"
2022.11.23_14.36.27",7.118825,43.585539000000004,5G,5G,-86.0,-3.0,10.0,6.0,-,0.0,0.0,64.0,64.0,I,CELL_RESELECTION_5G5G,-85.0,-15.0,8.0,5Mui
"
2022.11.23_14.36.28",7.118825,43.585539000000004,5G,5G,-83.0,-3.0,11.0,6.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-85.0,-15.0,8.0,5Mui
"
2022.11.23_14.36.29",7.118755,43.585425,5G,5G,-81.0,-3.0,12.0,6.0,-,0.0,0.0,64.0,64.0,I,,-85.0,-15.0,8.0,5Mui
"
2022.11.23_14.36.29",7.118755,43.585425,5G,5G,-81.0,-3.0,12.0,9.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-81.0,-14.0,11.0,5Mui
"
2022.11.23_14.36.30",7.118755,43.585425,5G,5G,-87.0,-3.0,6.0,9.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-81.0,-14.0,11.0,5Mui
"
2022.11.23_14.36.31",7.118646000000001,43.585371,5G,5G,-83.0,-3.0,8.0,9.0,-,0.0,0.0,64.0,64.0,I,,-81.0,-14.0,11.0,5Mui
"
2022.11.23_14.36.31",7.118646000000001,43.585371,5G,5G,-83.0,-3.0,8.0,10.0,-,0.0,0.0,64.0,64.0,I,PERIODIC,-84.0,-15.0,2.0,5Mui
"
2022.11.23_14.36.32",7.118646000000001,43.585371,4G,LTE,-84.0,-15.0,2.0,10.0,-83,32.0,33.0,64.0,64.0,D,PERIODIC,,,,5Mui
"
2022.11.23_14.36.32",7.118646000000001,43.585371,4G,LTE,-84.0,-15.0,2.0,10.0,-83,32.0,33.0,64.0,64.0,D,,,,,5Mui
"
2022.11.23_14.36.33",7.118491000000001,43.585346,4G,LTE,-84.0,-15.0,2.0,10.0,-83,32.0,33.0,64.0,64.0,D,,,,,5Mui
"
2022.11.23_14.36.33",7.118491000000001,43.585346,4G,LTE,-83.0,-15.0,-3.0,11.0,-83,204.0,75.0,64.0,64.0,D,PERIODIC,,,,5Mui
"
2022.11.23_14.36.34",7.118491000000001,43.585346,5G,5G,-89.0,-3.0,7.0,11.0,-,46.0,14.0,64.0,64.0,D,PERIODIC,-83.0,-15.0,-3.0,5Mui
"
2022.11.23_14.36.34",7.118491000000001,43.585346,5G,5G,-89.0,-3.0,7.0,11.0,-,46.0,14.0,64.0,64.0,D,,-83.0,-15.0,-3.0,5Mui
"
2022.11.23_14.36.35",7.11832,43.585322999999995,5G,5G,-89.0,-3.0,7.0,11.0,-,46.0,14.0,64.0,64.0,D,,-83.0,-15.0,-3.0,5Mui
"
2022.11.23_14.36.35",7.11832,43.585322999999995,5G,5G,-89.0,-3.0,7.0,12.0,-,333.0,57.0,64.0,64.0,D,PERIODIC,-88.0,-16.0,-3.0,5Mui
"
2022.11.23_14.36.36",7.11832,43.585322999999995,5G,5G,-92.0,-5.0,0.0,12.0,-,609.0,212.0,64.0,64.0,D,PERIODIC,-88.0,-16.0,-3.0,5Mui
"
2022.11.23_14.36.37",7.118156,43.585275,5G,5G,-89.0,-3.0,3.0,12.0,-,609.0,212.0,65.0,65.0,D,,-88.0,-16.0,-3.0,5Mui
"
2022.11.23_14.36.37",7.118156,43.585275,5G,5G,-89.0,-3.0,3.0,6.0,-,7404.0,376.0,65.0,65.0,D,HANDOVER_DATA_5G5G,-79.0,-10.0,-10.0,5Mui
"
2022.11.23_14.36.38",7.118156,43.585275,5G,5G,-95.0,-3.0,1.0,6.0,-,13238.0,178.0,65.0,65.0,D,PERIODIC,-79.0,-10.0,-10.0,5Mui
"
2022.11.23_14.36.39",7.118049000000001,43.585163,5G,5G,-95.0,-3.0,1.0,6.0,-,13238.0,178.0,65.0,65.0,D,,-79.0,-10.0,-10.0,5Mui
"
2022.11.23_14.36.39",7.118049000000001,43.585163,5G,5G,-95.0,-3.0,1.0,14.0,-,41610.0,244.0,65.0,65.0,D,PERIODIC,-83.0,-11.0,8.0,5Mui
"
2022.11.23_14.36.40",7.118049000000001,43.585163,5G,5G,-90.0,-7.0,7.0,14.0,-,35487.0,205.0,65.0,65.0,D,PERIODIC,-83.0,-11.0,8.0,5Mui
"
2022.11.23_14.36.41",7.117999999999999,43.585019,5G,5G,-90.0,-7.0,7.0,14.0,-,35487.0,205.0,64.0,64.0,D,,-83.0,-11.0,8.0,5Mui
"
2022.11.23_14.36.41",7.117999999999999,43.585019,5G,5G,-90.0,-7.0,7.0,12.0,-,4.0,5.0,64.0,64.0,D,PERIODIC,-82.0,-12.0,6.0,5Mui
"
2022.11.23_14.36.42",7.117999999999999,43.585019,5G,5G,-90.0,-7.0,7.0,12.0,-,6.0,29.0,64.0,64.0,D,PERIODIC,-82.0,-12.0,6.0,5Mui
"
2022.11.23_14.36.43",7.118003999999999,43.58486,5G,5G,-84.0,-3.0,15.0,12.0,-,6.0,29.0,63.0,63.0,D,,-82.0,-12.0,6.0,5Mui
"
2022.11.23_14.36.43",7.118003999999999,43.58486,5G,5G,-84.0,-3.0,15.0,10.0,-,33817.0,180.0,63.0,63.0,D,PERIODIC,-87.0,-14.0,-4.0,5Mui
"
2022.11.23_14.36.44",7.118003999999999,43.58486,5G,5G,-84.0,-3.0,15.0,10.0,-,4938.0,32.0,63.0,63.0,D,PERIODIC,-87.0,-14.0,-4.0,5Mui
"
2022.11.23_14.36.45",7.118034,43.584703999999995,5G,5G,-80.0,-7.0,14.0,10.0,-,4938.0,32.0,63.0,63.0,D,,-87.0,-14.0,-4.0,5Mui
"
2022.11.23_14.36.45",7.118034,43.584703999999995,5G,5G,-80.0,-7.0,14.0,12.0,-,34483.0,177.0,63.0,63.0,D,PERIODIC,-87.0,-14.0,-14.0,5Mui
"
2022.11.23_14.36.46",7.118034,43.584703999999995,5G,5G,-90.0,-3.0,0.0,12.0,-,1586.0,35.0,63.0,63.0,D,PERIODIC,-87.0,-14.0,-14.0,5Mui
"
2022.11.23_14.36.47",7.11808,43.584556,5G,5G,-90.0,-3.0,0.0,12.0,-,1586.0,35.0,62.0,62.0,D,,-87.0,-14.0,-14.0,5Mui
"
2022.11.23_14.36.47",7.11808,43.584556,5G,5G,-90.0,-3.0,0.0,15.0,-,26681.0,142.0,62.0,62.0,D,PERIODIC,-86.0,-15.0,6.0,5Mui
"
2022.11.23_14.36.48",7.11808,43.584556,5G,5G,-86.0,-3.0,12.0,15.0,-,9470.0,65.0,62.0,62.0,D,PERIODIC,-86.0,-15.0,6.0,5Mui
"
2022.11.23_14.36.49",7.118119,43.584454,5G,5G,-87.0,-3.0,15.0,15.0,-,9470.0,65.0,62.0,62.0,D,,-86.0,-15.0,6.0,5Mui
"
2022.11.23_14.36.49",7.118119,43.584454,5G,5G,-87.0,-3.0,15.0,10.0,-,24277.0,142.0,62.0,62.0,D,PERIODIC,-83.0,-13.0,4.0,5Mui
