Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.23_19.11.27",7.072182000000001,43.612727,5G,5G,-123.0,-9.0,0.0,8.0,-,0.0,0.0,142.0,142.0,I,LOG START,-98.0,-8.0,3.0,M23aug
"
2022.08.23_19.11.27",7.072052,43.612716,5G,5G,-123.0,-9.0,0.0,8.0,-,0.0,0.0,141.0,141.0,I,,-98.0,-8.0,3.0,M23aug
"
2022.08.23_19.11.27",7.072052,43.612716,5G,5G,-123.0,-9.0,0.0,6.0,-,0.0,1.0,141.0,141.0,D,PERIODIC,-103.0,-11.0,3.0,M23aug
"
2022.08.23_19.11.29",7.072052,43.612716,5G,5G,-126.0,-12.0,-1.0,6.0,-,0.0,0.0,141.0,141.0,D,PERIODIC,-103.0,-11.0,3.0,M23aug
"
2022.08.23_19.11.29",7.071799,43.61269,5G,5G,-126.0,-12.0,-1.0,6.0,-,0.0,0.0,140.0,140.0,D,,-103.0,-11.0,3.0,M23aug
"
2022.08.23_19.11.29",7.071799,43.61269,5G,5G,-121.0,-9.0,2.0,8.0,-,0.0,0.0,140.0,140.0,I,PERIODIC,-105.0,-12.0,1.0,M23aug
"
2022.08.23_19.11.30",7.071685,43.612655,5G,5G,-121.0,-9.0,2.0,8.0,-,0.0,0.0,139.0,139.0,I,,-105.0,-12.0,1.0,M23aug
"
2022.08.23_19.11.30",7.071685,43.612655,5G,5G,-121.0,-9.0,2.0,8.0,-,0.0,0.0,139.0,139.0,I,PERIODIC,-105.0,-12.0,1.0,M23aug
"
2022.08.23_19.11.31",7.07158,43.612596999999994,5G,5G,-121.0,-9.0,2.0,8.0,-,0.0,0.0,138.0,138.0,I,,-105.0,-12.0,1.0,M23aug
"
2022.08.23_19.11.31",7.07158,43.612596999999994,5G,5G,-121.0,-9.0,2.0,8.0,-,0.0,0.0,138.0,138.0,I,PERIODIC,-101.0,-10.0,1.0,M23aug
"
2022.08.23_19.11.33",7.07158,43.612596999999994,4G,LTE,-101.0,-10.0,1.0,8.0,-105,1.0,1.0,138.0,138.0,D,PERIODIC,,,,M23aug
"
2022.08.23_19.11.33",7.07158,43.612596999999994,4G,LTE,-101.0,-10.0,1.0,8.0,-105,1.0,1.0,138.0,138.0,D,,,,,M23aug
"
2022.08.23_19.11.33",7.071442,43.612444,4G,LTE,-101.0,-10.0,1.0,8.0,-105,1.0,1.0,137.0,137.0,D,,,,,M23aug
