Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.24_11.15.05",7.047117,43.623968,4G,LTE,-106.0,-15.0,-6.0,-,-107,0.0,0.0,211.0,211.0,I,LOG START,,,,M24auglte
"
2022.08.24_11.15.05",7.047217999999999,43.623995,4G,LTE,-106.0,-15.0,-3.0,-,-107,0.0,0.0,211.0,211.0,I,,,,,M24auglte
"
2022.08.24_11.15.05",7.047217999999999,43.623995,4G,LTE,-109.0,-18.0,-3.0,8,-107,0.0,0.0,211.0,211.0,I,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.06",7.047217999999999,43.623995,4G,LTE,-109.0,-18.0,-3.0,8,-111,0.0,0.0,211.0,211.0,I,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.06",7.047396000000001,43.624003,4G,LTE,-109.0,-18.0,-3.0,8,-111,0.0,0.0,211.0,211.0,I,,,,,M24auglte
"
2022.08.24_11.15.07",7.047542999999999,43.623979999999996,4G,LTE,-109.0,-18.0,-3.0,8,-109,0.0,0.0,206.0,206.0,D,,,,,M24auglte
"
2022.08.24_11.15.07",7.047542999999999,43.623979999999996,4G,LTE,-109.0,-15.0,-4.0,8,-109,0.0,1.0,206.0,206.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.08",7.047689999999999,43.623956,4G,LTE,-109.0,-15.0,-4.0,8,-107,0.0,1.0,203.0,203.0,D,,,,,M24auglte
"
2022.08.24_11.15.08",7.047689999999999,43.623956,4G,LTE,-109.0,-15.0,-4.0,8,-107,0.0,1.0,203.0,203.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.09",7.047834,43.623909000000005,4G,LTE,-109.0,-15.0,-4.0,8,-107,0.0,1.0,202.0,202.0,D,,,,,M24auglte
"
2022.08.24_11.15.09",7.047834,43.623909000000005,4G,LTE,-104.0,-14.0,0.0,10,-107,0.0,0.0,202.0,202.0,I,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.10",7.047974000000001,43.62385,4G,LTE,-104.0,-14.0,0.0,10,-103,0.0,0.0,201.0,201.0,D,,,,,M24auglte
"
2022.08.24_11.15.10",7.047974000000001,43.62385,4G,LTE,-104.0,-14.0,0.0,10,-99,221.0,127.0,201.0,201.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.11",7.048125,43.623788,4G,LTE,-104.0,-14.0,0.0,10,-99,221.0,127.0,199.0,199.0,D,,,,,M24auglte
"
2022.08.24_11.15.11",7.048125,43.623788,4G,LTE,-99.0,-13.0,2.0,14,-99,374.0,203.0,199.0,199.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.12",7.048263,43.623738,4G,LTE,-99.0,-13.0,2.0,14,-99,374.0,203.0,199.0,199.0,D,,,,,M24auglte
"
2022.08.24_11.15.12",7.048263,43.623738,4G,LTE,-99.0,-13.0,2.0,14,-99,1998.0,518.0,199.0,199.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.13",7.0484100000000005,43.623688,4G,LTE,-99.0,-13.0,2.0,14,-95,1998.0,518.0,198.0,198.0,D,,,,,M24auglte
"
2022.08.24_11.15.13",7.0484100000000005,43.623688,4G,LTE,-94.0,-12.0,8.0,9,-95,589.0,268.0,198.0,198.0,D,PERIODIC,,,,M24auglte
"
2022.08.24_11.15.14",7.048534,43.623651,4G,LTE,-94.0,-12.0,8.0,9,-93,589.0,268.0,198.0,198.0,D,,,,,M24auglte
