Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_11.34.07",7.045332000000001,43.62358,4G,LTE,-111.0,-14.0,1.0,9,-51.0,10.0,158.0,214.0,214.0,D,LOG START,M25auglte
"
2022.08.25_11.34.08",7.045332000000001,43.62358,4G,LTE,-111.0,-15.0,1.0,5,-113.0,3.0,0.0,214.0,214.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.08",7.045551,43.623525,4G,LTE,-111.0,-15.0,1.0,5,-113.0,3.0,0.0,210.0,210.0,D,,M25auglte
"
2022.08.25_11.34.09",7.045551,43.623525,4G,LTE,-111.0,-15.0,1.0,5,-113.0,12.0,150.0,210.0,210.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.10",7.045551,43.623525,4G,LTE,-112.0,-16.0,-2.0,8,-113.0,4.0,0.0,210.0,210.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.10",7.045672,43.623545,4G,LTE,-112.0,-16.0,-2.0,8,-113.0,4.0,0.0,208.0,208.0,D,,M25auglte
"
2022.08.25_11.34.11",7.045672,43.623545,4G,LTE,-112.0,-16.0,-2.0,8,-111.0,34.0,58.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.12",7.045672,43.623545,4G,LTE,-110.0,-14.0,1.0,9,-109.0,90.0,79.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.13",7.045672,43.623545,4G,LTE,-110.0,-14.0,1.0,9,-109.0,102.0,221.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.13",7.045762,43.62365,4G,LTE,-110.0,-14.0,1.0,9,-109.0,102.0,221.0,208.0,208.0,D,,M25auglte
"
2022.08.25_11.34.14",7.045762,43.62365,4G,LTE,-109.0,-14.0,0.0,10,-105.0,55.0,26.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.15",7.045762,43.62365,4G,LTE,-109.0,-14.0,0.0,10,-111.0,47.0,4.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.15",7.04585,43.623715000000004,4G,LTE,-109.0,-14.0,0.0,10,-111.0,47.0,4.0,209.0,209.0,D,,M25auglte
"
2022.08.25_11.34.16",7.04585,43.623715000000004,4G,LTE,-110.0,-14.0,0.0,10,-111.0,111.0,43.0,209.0,209.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.17",7.04585,43.623715000000004,4G,LTE,-110.0,-14.0,0.0,10,-109.0,287.0,149.0,209.0,209.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.17",7.045977000000001,43.623742,4G,LTE,-110.0,-14.0,0.0,10,-109.0,287.0,149.0,208.0,208.0,D,,M25auglte
"
2022.08.25_11.34.18",7.045977000000001,43.623742,4G,LTE,-108.0,-13.0,-1.0,10,-109.0,247.0,32.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.19",7.045977000000001,43.623742,4G,LTE,-108.0,-13.0,-1.0,10,-109.0,2.0,8.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.19",7.046125999999999,43.623746000000004,4G,LTE,-108.0,-13.0,-1.0,10,-109.0,2.0,8.0,210.0,210.0,D,,M25auglte
"
2022.08.25_11.34.20",7.046125999999999,43.623746000000004,4G,LTE,-107.0,-13.0,-1.0,8,-109.0,58.0,4.0,210.0,210.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.21",7.046125999999999,43.623746000000004,4G,LTE,-107.0,-13.0,-1.0,8,-109.0,110.0,40.0,210.0,210.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.21",7.046305,43.623765999999996,4G,LTE,-107.0,-13.0,-1.0,8,-109.0,110.0,40.0,209.0,209.0,D,,M25auglte
"
2022.08.25_11.34.22",7.046305,43.623765999999996,4G,LTE,-107.0,-12.0,2.0,5,-109.0,94.0,24.0,209.0,209.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.23",7.046305,43.623765999999996,4G,LTE,-107.0,-12.0,2.0,5,-109.0,31.0,33.0,209.0,209.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.23",7.046513,43.623834,4G,LTE,-107.0,-12.0,2.0,5,-109.0,31.0,33.0,208.0,208.0,D,,M25auglte
"
2022.08.25_11.34.24",7.046513,43.623834,4G,LTE,-109.0,-14.0,2.0,10,-109.0,0.0,0.0,208.0,208.0,D,PERIODIC,M25auglte
"
2022.08.25_11.34.25",7.046513,43.623834,4G,LTE,-109.0,-14.0,2.0,10,-109.0,0.0,0.0,208.0,208.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.25",7.046730999999999,43.623915999999994,4G,LTE,-109.0,-14.0,2.0,10,-109.0,0.0,0.0,208.0,208.0,I,,M25auglte
"
2022.08.25_11.34.26",7.046730999999999,43.623915999999994,4G,LTE,-108.0,-14.0,3.0,10,-109.0,0.0,0.0,208.0,208.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.26",7.046854,43.623953,4G,LTE,-108.0,-14.0,3.0,10,-109.0,0.0,0.0,207.0,207.0,I,,M25auglte
"
2022.08.25_11.34.27",7.046854,43.623953,4G,LTE,-108.0,-14.0,3.0,10,-113.0,0.0,0.0,207.0,207.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.27",7.047003,43.623981,4G,LTE,-108.0,-14.0,3.0,10,-113.0,0.0,0.0,205.0,205.0,I,,M25auglte
"
2022.08.25_11.34.28",7.047003,43.623981,4G,LTE,-113.0,-14.0,0.0,5,-53.0,0.0,0.0,205.0,205.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.28",7.047161,43.623999999999995,4G,LTE,-113.0,-14.0,0.0,5,-53.0,0.0,0.0,204.0,204.0,I,,M25auglte
"
2022.08.25_11.34.29",7.047161,43.623999999999995,4G,LTE,-113.0,-14.0,0.0,5,-53.0,0.0,0.0,204.0,204.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.29",7.0473490000000005,43.624014,4G,LTE,-113.0,-14.0,0.0,5,-53.0,0.0,0.0,204.0,204.0,I,,M25auglte
"
2022.08.25_11.34.30",7.0473490000000005,43.624014,4G,LTE,-114.0,-14.0,1.0,-,-55.0,0.0,0.0,204.0,204.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.30",7.0475270000000005,43.624006,4G,LTE,-114.0,-14.0,1.0,-,-55.0,0.0,0.0,203.0,203.0,I,,M25auglte
"
2022.08.25_11.34.31",7.0477,43.623969,4G,LTE,-114.0,-14.0,1.0,-,-55.0,0.0,0.0,203.0,203.0,I,,M25auglte
"
2022.08.25_11.34.31",7.0477,43.623969,4G,LTE,-114.0,-14.0,1.0,-,-55.0,0.0,0.0,203.0,203.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.32",7.047866,43.623927,4G,LTE,-111.0,-16.0,8.0,-,-111.0,0.0,0.0,202.0,202.0,I,,M25auglte
"
2022.08.25_11.34.32",7.047866,43.623927,4G,LTE,-111.0,-16.0,8.0,-,-111.0,0.0,0.0,202.0,202.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.33",7.047866,43.623927,4G,LTE,-111.0,-16.0,8.0,-,-111.0,0.0,0.0,202.0,202.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.33",7.048025999999999,43.623882,4G,LTE,-111.0,-16.0,8.0,-,-111.0,0.0,0.0,201.0,201.0,I,,M25auglte
"
2022.08.25_11.34.34",7.048178999999999,43.623837,4G,LTE,-111.0,-16.0,6.0,-,-107.0,0.0,0.0,200.0,200.0,I,,M25auglte
"
2022.08.25_11.34.34",7.048178999999999,43.623837,4G,LTE,-110.0,-14.0,6.0,-,-107.0,0.0,0.0,200.0,200.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.35",7.048178999999999,43.623837,4G,LTE,-110.0,-14.0,6.0,-,-107.0,0.0,0.0,200.0,200.0,I,PERIODIC,M25auglte
"
2022.08.25_11.34.35",7.048328,43.623793,4G,LTE,-110.0,-14.0,6.0,-,-107.0,0.0,0.0,200.0,200.0,I,,M25auglte
"
2022.08.25_11.34.36",7.048468,43.623751,4G,LTE,-107.0,-13.0,14.0,-,-105.0,0.0,0.0,201.0,201.0,I,,M25auglte
"
2022.08.25_11.34.36",7.048468,43.623751,4G,LTE,-107.0,-13.0,14.0,-,-105.0,0.0,0.0,201.0,201.0,I,PERIODIC,M25auglte
