Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.28_12.04.47",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,0.0,0.0,56.0,56.0,I,LOG START,-111.0,-16.0,-3.0,28airport5g
"
2022.09.28_12.04.47",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,0.0,0.0,56.0,56.0,I,PERIODIC,-111.0,-16.0,-3.0,28airport5g
"
2022.09.28_12.04.48",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,-,-,0.0,0.0,56.0,56.0,I,PERIODIC,-112.0,-15.0,1.0,28airport5g
"
2022.09.28_12.04.49",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,-,-,0.0,0.0,56.0,56.0,I,PERIODIC,-112.0,-15.0,1.0,28airport5g
"
2022.09.28_12.04.50",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,-,-,0.0,0.0,56.0,56.0,I,PERIODIC,-111.0,-15.0,2.0,28airport5g
"
2022.09.28_12.04.51",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,-,-,0.0,5.0,56.0,56.0,D,PERIODIC,-111.0,-15.0,2.0,28airport5g
"
2022.09.28_12.04.52",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,31.0,28.0,56.0,56.0,D,PERIODIC,-111.0,-15.0,-3.0,28airport5g
"
2022.09.28_12.04.53",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,12.0,26.0,56.0,56.0,D,PERIODIC,-111.0,-15.0,-3.0,28airport5g
"
2022.09.28_12.04.54",7.214106,43.66486,4G,LTE,-112.0,-17.0,-6.0,13,-113,11.0,26.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.04.54",7.214106,43.66486,4G,LTE,-112.0,-17.0,-6.0,13,-113,11.0,26.0,56.0,56.0,D,,,,,28airport5g
"
2022.09.28_12.04.55",7.214106,43.66486,4G,LTE,-112.0,-17.0,-6.0,13,-111,60.0,14.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.04.56",7.214106,43.66486,4G,LTE,-110.0,-15.0,-1.0,10,-111,110.0,9.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.04.57",7.214106,43.66486,4G,LTE,-110.0,-15.0,-1.0,10,-111,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.04.58",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.04.59",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,12,-111,42.0,3.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.00",7.214106,43.66486,4G,LTE,-110.0,-16.0,1.0,8,-111,2.0,7.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.01",7.214106,43.66486,4G,LTE,-110.0,-16.0,1.0,8,-111,2.0,5.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.02",7.214106,43.66486,4G,LTE,-110.0,-16.0,1.0,13,-111,58.0,15.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.03",7.214106,43.66486,4G,LTE,-110.0,-16.0,1.0,13,-111,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.04",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,11,-111,2.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.05",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,11,-111,1.0,1.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.06",7.214106,43.66486,4G,LTE,-111.0,-15.0,2.0,7,-111,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.07",7.214106,43.66486,4G,LTE,-111.0,-15.0,2.0,7,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.08",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,7,-111,1.0,3.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.09",7.214106,43.66486,4G,LTE,-111.0,-15.0,-1.0,7,-111,1.0,1.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.10",7.214106,43.66486,4G,LTE,-111.0,-16.0,1.0,7,-111,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.11",7.214106,43.66486,4G,LTE,-111.0,-16.0,1.0,7,-113,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.12",7.214106,43.66486,4G,LTE,-111.0,-15.0,0.0,10,-113,2.0,41.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.13",7.214106,43.66486,4G,LTE,-111.0,-15.0,0.0,10,-113,584.0,134.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.14",7.214106,43.66486,4G,LTE,-111.0,-15.0,4.0,11,-113,321.0,143.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.15",7.214106,43.66486,4G,LTE,-111.0,-15.0,4.0,11,-113,32.0,7.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.16",7.214106,43.66486,4G,LTE,-114.0,-15.0,2.0,10,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.17",7.214106,43.66486,4G,LTE,-114.0,-15.0,2.0,10,-113,4.0,2.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.18",7.214106,43.66486,4G,LTE,-113.0,-16.0,0.0,11,-113,4.0,2.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.19",7.214106,43.66486,4G,LTE,-113.0,-16.0,0.0,11,-113,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.20",7.214106,43.66486,4G,LTE,-113.0,-15.0,2.0,12,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.21",7.214106,43.66486,4G,LTE,-113.0,-15.0,2.0,12,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.22",7.214106,43.66486,4G,LTE,-113.0,-15.0,0.0,9,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.23",7.214106,43.66486,4G,LTE,-113.0,-15.0,0.0,9,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.24",7.214106,43.66486,4G,LTE,-112.0,-16.0,-4.0,10,-113,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.25",7.214106,43.66486,4G,LTE,-112.0,-16.0,-4.0,10,-113,0.0,2.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.26",7.214106,43.66486,4G,LTE,-113.0,-16.0,5.0,11,-113,264.0,102.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.27",7.214106,43.66486,4G,LTE,-113.0,-16.0,5.0,11,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.28",7.214106,43.66486,4G,LTE,-110.0,-16.0,3.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.29",7.214106,43.66486,4G,LTE,-110.0,-16.0,3.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.30",7.214106,43.66486,4G,LTE,-111.0,-16.0,3.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.31",7.214106,43.66486,4G,LTE,-111.0,-16.0,3.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.32",7.214106,43.66486,4G,LTE,-111.0,-16.0,1.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.33",7.214106,43.66486,4G,LTE,-111.0,-16.0,1.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.34",7.214106,43.66486,4G,LTE,-111.0,-15.0,3.0,12,-111,0.0,0.0,56.0,56.0,I,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.35",7.214106,43.66486,4G,LTE,-111.0,-15.0,3.0,12,-111,2.0,1.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.36",7.214106,43.66486,4G,LTE,-112.0,-15.0,3.0,9,-111,0.0,0.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.37",7.214106,43.66486,4G,LTE,-112.0,-15.0,3.0,9,-111,59.0,33.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.38",7.214106,43.66486,4G,LTE,-111.0,-15.0,3.0,10,-111,14429.0,278.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.39",7.214106,43.66486,4G,LTE,-111.0,-15.0,3.0,10,-111,3997.0,530.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.41",7.214106,43.66486,4G,LTE,-112.0,-17.0,1.0,13,-111,24869.0,429.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.42",7.214106,43.66486,4G,LTE,-112.0,-17.0,1.0,13,-113,45661.0,649.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.42",7.214106,43.66486,4G,LTE,-114.0,-17.0,0.0,12,-113,36793.0,277.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.43",7.214106,43.66486,4G,LTE,-114.0,-17.0,0.0,12,-113,56738.0,324.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.44",7.214106,43.66486,4G,LTE,-114.0,-16.0,0.0,11,-113,66799.0,372.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.45",7.214106,43.66486,4G,LTE,-114.0,-16.0,0.0,11,-113,68672.0,426.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.46",7.214106,43.66486,4G,LTE,-115.0,-16.0,1.0,7,-113,1653.0,20.0,56.0,56.0,D,PERIODIC,,,,28airport5g
"
2022.09.28_12.05.47",7.214106,43.66486,4G,LTE,-115.0,-16.0,1.0,7,-113,14.0,11.0,56.0,56.0,D,PERIODIC,,,,28airport5g
