Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.34.07",7.037373,43.62396,4G,LTE,-103.0,-13.0,-8.0,-,-103.0,0.0,0.0,233.0,233.0,I,LOG START,4A22n
"
2022.11.22_14.34.07",7.037364999999999,43.623986,4G,LTE,-103.0,-13.0,-8.0,-,-103.0,0.0,0.0,232.0,232.0,I,,4A22n
"
2022.11.22_14.34.07",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-6.0,8,-103.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.08",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-6.0,8,-103.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.09",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-6.0,8,-103.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.11",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-5.0,7,-103.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.11",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-5.0,7,-107.0,6.0,28.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.12",7.037364999999999,43.623986,4G,LTE,-106.0,-14.0,-2.0,7,-107.0,66.0,38.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.14",7.037364999999999,43.623986,4G,LTE,-106.0,-14.0,-2.0,7,-107.0,31.0,6.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.15",7.037364999999999,43.623986,4G,LTE,-104.0,-14.0,-8.0,8,-105.0,12.0,3.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.15",7.037364999999999,43.623986,4G,LTE,-104.0,-14.0,-8.0,8,-105.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.17",7.037364999999999,43.623986,4G,LTE,-105.0,-13.0,-9.0,8,-105.0,50.0,16.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.18",7.037364999999999,43.623986,4G,LTE,-105.0,-13.0,-9.0,8,-107.0,32.0,35.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.18",7.037364999999999,43.623986,4G,LTE,-107.0,-15.0,-3.0,7,-107.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.20",7.037364999999999,43.623986,4G,LTE,-107.0,-15.0,-3.0,7,-107.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.21",7.037364999999999,43.623986,4G,LTE,-106.0,-15.0,-11.0,7,-107.0,4.0,2.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.22",7.037364999999999,43.623986,4G,LTE,-106.0,-15.0,-11.0,7,-107.0,0.0,0.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.23",7.037364999999999,43.623986,4G,LTE,-106.0,-15.0,-11.0,7,-107.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.24",7.037364999999999,43.623986,4G,LTE,-106.0,-15.0,-11.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.25",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-7.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.26",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-7.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.27",7.037364999999999,43.623986,4G,LTE,-103.0,-16.0,-6.0,7,-105.0,0.0,0.0,232.0,232.0,I,PERIODIC,4A22n
"
2022.11.22_14.34.28",7.037364999999999,43.623986,4G,LTE,-103.0,-16.0,-6.0,7,-105.0,0.0,3.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.29",7.037364999999999,43.623986,4G,LTE,-104.0,-13.0,-4.0,8,-107.0,327.0,57.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.30",7.037364999999999,43.623986,4G,LTE,-104.0,-13.0,-4.0,8,-99.0,1990.0,303.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.31",7.037364999999999,43.623986,4G,LTE,-98.0,-11.0,-5.0,10,-99.0,7190.0,468.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.32",7.037364999999999,43.623986,4G,LTE,-98.0,-11.0,-5.0,10,-99.0,12764.0,278.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.33",7.037364999999999,43.623986,4G,LTE,-98.0,-15.0,-4.0,9,-99.0,16819.0,191.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.34",7.037364999999999,43.623986,4G,LTE,-98.0,-15.0,-4.0,9,-99.0,12202.0,183.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.35",7.037364999999999,43.623986,4G,LTE,-99.0,-14.0,-5.0,10,-99.0,9782.0,155.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.36",7.037364999999999,43.623986,4G,LTE,-99.0,-14.0,-5.0,10,-101.0,9872.0,119.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.37",7.037364999999999,43.623986,4G,LTE,-99.0,-14.0,-5.0,10,-101.0,6959.0,125.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.38",7.037364999999999,43.623986,4G,LTE,-102.0,-11.0,-4.0,9,-105.0,3.0,5.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.39",7.037364999999999,43.623986,4G,LTE,-102.0,-11.0,-4.0,9,-105.0,4.0,6.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.40",7.037364999999999,43.623986,4G,LTE,-104.0,-12.0,-2.0,10,-105.0,17.0,22.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.41",7.037364999999999,43.623986,4G,LTE,-104.0,-12.0,-2.0,10,-105.0,3.0,5.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.42",7.037364999999999,43.623986,4G,LTE,-105.0,-12.0,-2.0,9,-107.0,3.0,5.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.43",7.037364999999999,43.623986,4G,LTE,-105.0,-12.0,-2.0,9,-105.0,2631.0,80.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.44",7.037364999999999,43.623986,4G,LTE,-105.0,-11.0,-3.0,9,-101.0,6245.0,115.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.45",7.037364999999999,43.623986,4G,LTE,-105.0,-11.0,-3.0,9,-101.0,3941.0,89.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.46",7.037364999999999,43.623986,4G,LTE,-100.0,-14.0,-4.0,10,-101.0,3852.0,72.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.47",7.037364999999999,43.623986,4G,LTE,-100.0,-14.0,-4.0,10,-101.0,4013.0,76.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.48",7.037364999999999,43.623986,4G,LTE,-101.0,-14.0,-3.0,9,-101.0,4450.0,80.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.49",7.037364999999999,43.623986,4G,LTE,-101.0,-14.0,-3.0,9,-105.0,3147.0,103.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.50",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-2.0,8,-101.0,3380.0,129.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.51",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-2.0,8,-101.0,4871.0,187.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.52",7.037364999999999,43.623986,4G,LTE,-100.0,-15.0,-4.0,9,-103.0,5648.0,110.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.53",7.037364999999999,43.623986,4G,LTE,-100.0,-15.0,-4.0,9,-105.0,3308.0,98.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.54",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-2.0,8,-111.0,3620.0,165.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.55",7.037364999999999,43.623986,4G,LTE,-104.0,-15.0,-2.0,8,-111.0,2692.0,132.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.56",7.037364999999999,43.623986,4G,LTE,-111.0,-17.0,-2.0,6,-107.0,4762.0,141.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.57",7.037364999999999,43.623986,4G,LTE,-111.0,-17.0,-2.0,6,-107.0,2244.0,43.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.58",7.037364999999999,43.623986,4G,LTE,-108.0,-18.0,-4.0,5,-105.0,1471.0,32.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.34.59",7.037364999999999,43.623986,4G,LTE,-108.0,-18.0,-4.0,5,-111.0,2635.0,53.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.00",7.037364999999999,43.623986,4G,LTE,-110.0,-17.0,-5.0,7,-107.0,3566.0,107.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.01",7.037364999999999,43.623986,4G,LTE,-110.0,-17.0,-5.0,7,-107.0,2243.0,46.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.02",7.037364999999999,43.623986,4G,LTE,-107.0,-15.0,-5.0,7,-105.0,3095.0,60.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.03",7.037364999999999,43.623986,4G,LTE,-107.0,-15.0,-5.0,7,-109.0,3017.0,59.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.04",7.037364999999999,43.623986,4G,LTE,-109.0,-16.0,-4.0,7,-107.0,4394.0,79.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.05",7.037364999999999,43.623986,4G,LTE,-109.0,-16.0,-4.0,7,-109.0,4416.0,75.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.06",7.037364999999999,43.623986,4G,LTE,-109.0,-17.0,-5.0,6,-109.0,1564.0,51.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.07",7.037364999999999,43.623986,4G,LTE,-109.0,-17.0,-5.0,6,-113.0,3039.0,60.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.08",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-7.0,5,-111.0,1437.0,31.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.09",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-7.0,5,-113.0,1762.0,51.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.10",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-8.0,5,-109.0,2125.0,46.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.11",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-8.0,5,-109.0,1720.0,43.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.12",7.037364999999999,43.623986,4G,LTE,-107.0,-17.0,-6.0,7,-109.0,2613.0,52.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.13",7.037364999999999,43.623986,4G,LTE,-107.0,-17.0,-6.0,7,-111.0,1457.0,58.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.14",7.037364999999999,43.623986,4G,LTE,-110.0,-19.0,-9.0,6,-111.0,1348.0,30.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.15",7.037364999999999,43.623986,4G,LTE,-110.0,-19.0,-9.0,6,-109.0,2482.0,50.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.16",7.037364999999999,43.623986,4G,LTE,-108.0,-18.0,-9.0,5,-113.0,2165.0,44.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.17",7.037364999999999,43.623986,4G,LTE,-108.0,-18.0,-9.0,5,-107.0,1448.0,31.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.18",7.037364999999999,43.623986,4G,LTE,-106.0,-17.0,-9.0,6,-107.0,1169.0,63.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.19",7.037364999999999,43.623986,4G,LTE,-106.0,-17.0,-9.0,6,-105.0,1806.0,131.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.20",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-11.0,7,-111.0,1557.0,44.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.21",7.037364999999999,43.623986,4G,LTE,-104.0,-16.0,-11.0,7,-111.0,1975.0,41.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.22",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-11.0,5,-111.0,2086.0,60.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.23",7.037364999999999,43.623986,4G,LTE,-112.0,-19.0,-11.0,5,-107.0,1326.0,58.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.24",7.037364999999999,43.623986,4G,LTE,-106.0,-17.0,-9.0,5,-107.0,1837.0,65.0,232.0,232.0,D,PERIODIC,4A22n
"
2022.11.22_14.35.25",7.037364999999999,43.623986,4G,LTE,-106.0,-17.0,-9.0,5,-107.0,1834.0,46.0,232.0,232.0,D,PERIODIC,4A22n
