Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.27_13.55.47",7.118453999999999,43.58641,4G,LTE,-81.0,-10.0,1.0,12.0,-63.0,0.0,0.0,204.0,204.0,D,LOG START,4A27
"
2022.08.27_13.55.47",7.118453999999999,43.58641,4G,LTE,-81.0,-10.0,1.0,12.0,-63.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.48",7.118453999999999,43.58641,4G,LTE,-81.0,-10.0,1.0,12.0,-63.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.49",7.118453999999999,43.58641,4G,LTE,-79.0,-10.0,8.0,11.0,-61.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.50",7.118453999999999,43.58641,4G,LTE,-79.0,-10.0,8.0,8.0,-57.0,38.0,16.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.55.51",7.118453999999999,43.58641,4G,LTE,-74.0,-9.0,1.0,12.0,-57.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.55.53",7.118453999999999,43.58641,4G,LTE,-74.0,-9.0,1.0,13.0,-57.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.53",7.118453999999999,43.58641,4G,LTE,-78.0,-10.0,9.0,14.0,-61.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.54",7.118453999999999,43.58641,4G,LTE,-78.0,-10.0,9.0,11.0,-63.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.55.56",7.118453999999999,43.58641,4G,LTE,-79.0,-16.0,8.0,8.0,-60.0,71.0,48.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.55.56",7.118453999999999,43.58641,4G,LTE,-79.0,-16.0,8.0,8.0,-60.0,10.0,6.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.55.58",7.118453999999999,43.58641,4G,LTE,-75.0,-15.0,5.0,12.0,-58.0,11.0,3.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.55.59",7.118453999999999,43.58641,4G,LTE,-75.0,-15.0,5.0,12.0,-58.0,161.0,48.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.00",7.118453999999999,43.58641,4G,LTE,-76.0,-10.0,9.0,12.0,-58.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.01",7.118453999999999,43.58641,4G,LTE,-76.0,-10.0,9.0,13.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.02",7.118453999999999,43.58641,4G,LTE,-77.0,-8.0,7.0,13.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.03",7.118453999999999,43.58641,4G,LTE,-77.0,-8.0,7.0,13.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.04",7.118453999999999,43.58641,4G,LTE,-78.0,-9.0,9.0,15.0,-58.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.05",7.118453999999999,43.58641,4G,LTE,-78.0,-9.0,9.0,15.0,-58.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.06",7.118453999999999,43.58641,4G,LTE,-75.0,-15.0,9.0,10.0,-60.0,20.0,3.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.07",7.118453999999999,43.58641,4G,LTE,-75.0,-15.0,9.0,15.0,-62.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.08",7.118453999999999,43.58641,4G,LTE,-80.0,-12.0,5.0,14.0,-64.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.09",7.118453999999999,43.58641,4G,LTE,-80.0,-12.0,5.0,12.0,-66.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.10",7.118453999999999,43.58641,4G,LTE,-83.0,-16.0,11.0,12.0,-66.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.11",7.118453999999999,43.58641,4G,LTE,-83.0,-16.0,11.0,8.0,-64.0,20.0,3.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.12",7.118453999999999,43.58641,4G,LTE,-81.0,-10.0,5.0,8.0,-64.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.13",7.118453999999999,43.58641,4G,LTE,-81.0,-10.0,5.0,9.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.14",7.118453999999999,43.58641,4G,LTE,-76.0,-10.0,4.0,10.0,-58.0,91.0,5.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.15",7.118453999999999,43.58641,4G,LTE,-76.0,-10.0,4.0,10.0,-58.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.16",7.118453999999999,43.58641,4G,LTE,-75.0,-10.0,5.0,14.0,-56.0,19.0,2.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.17",7.118453999999999,43.58641,4G,LTE,-75.0,-10.0,5.0,14.0,-56.0,0.0,0.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.18",7.118453999999999,43.58641,4G,LTE,-74.0,-7.0,7.0,14.0,-56.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.19",7.118453999999999,43.58641,4G,LTE,-74.0,-7.0,7.0,14.0,-56.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.20",7.118453999999999,43.58641,4G,LTE,-74.0,-11.0,9.0,11.0,-58.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.21",7.118453999999999,43.58641,4G,LTE,-74.0,-11.0,9.0,11.0,-58.0,19.0,3.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.22",7.118453999999999,43.58641,4G,LTE,-75.0,-7.0,6.0,11.0,-58.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.23",7.118453999999999,43.58641,4G,LTE,-75.0,-7.0,6.0,14.0,-56.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.24",7.118453999999999,43.58641,4G,LTE,-74.0,-7.0,7.0,14.0,-56.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.25",7.118453999999999,43.58641,4G,LTE,-74.0,-7.0,7.0,15.0,-54.0,30.0,34.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.26",7.118453999999999,43.58641,4G,LTE,-71.0,-10.0,4.0,14.0,-56.0,19.0,2.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.27",7.118453999999999,43.58641,4G,LTE,-71.0,-10.0,4.0,9.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.28",7.118453999999999,43.58641,4G,LTE,-78.0,-8.0,6.0,9.0,-60.0,0.0,0.0,204.0,204.0,I,PERIODIC,4A27
"
2022.08.27_13.56.29",7.118453999999999,43.58641,4G,LTE,-78.0,-8.0,6.0,11.0,-58.0,3.0,7.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.30",7.118453999999999,43.58641,4G,LTE,-75.0,-10.0,13.0,11.0,-58.0,106.0,50.0,204.0,204.0,D,PERIODIC,4A27
"
2022.08.27_13.56.31",7.118453999999999,43.58641,4G,LTE,-75.0,-10.0,13.0,14.0,-68.0,552.0,74.0,204.0,204.0,D,PERIODIC,4A27
