Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_16.38.06",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,3.0,9.0,-75,18.0,1.0,181.0,181.0,D,LOG START,4A7s
"
2022.09.08_16.38.07",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,3.0,6.0,-77,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.08",7.072474000000001,43.61679,4G,LTE,-93.0,-14.0,4.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.09",7.072474000000001,43.61679,4G,LTE,-93.0,-14.0,4.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.10",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,7.0,-,2.0,2.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.11",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,6.0,-,18.0,1.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.12",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,2.0,6.0,-75,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.13",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,2.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.14",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,2.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.15",7.072474000000001,43.61679,4G,LTE,-90.0,-12.0,1.0,6.0,-,0.0,1.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.16",7.072474000000001,43.61679,4G,LTE,-90.0,-12.0,1.0,6.0,-,18.0,1.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.18",7.072474000000001,43.61679,4G,LTE,-89.0,-11.0,3.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.19",7.072474000000001,43.61679,4G,LTE,-89.0,-11.0,3.0,6.0,-75,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.19",7.072474000000001,43.61679,4G,LTE,-92.0,-13.0,2.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.20",7.072474000000001,43.61679,4G,LTE,-92.0,-13.0,2.0,6.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.21",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,6.0,-75,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.22",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,6.0,-77,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.23",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,3.0,7.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.24",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,3.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.25",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,3.0,6.0,-,20.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.26",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,3.0,6.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.27",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,3.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.28",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.29",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,3.0,9.0,-77,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.30",7.072474000000001,43.61679,4G,LTE,-92.0,-15.0,4.0,7.0,-75,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.31",7.072474000000001,43.61679,4G,LTE,-92.0,-15.0,4.0,7.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.33",7.072474000000001,43.61679,4G,LTE,-90.0,-13.0,5.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.33",7.072474000000001,43.61679,4G,LTE,-90.0,-13.0,5.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.34",7.072474000000001,43.61679,4G,LTE,-88.0,-11.0,6.0,10.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.35",7.072474000000001,43.61679,4G,LTE,-88.0,-11.0,6.0,10.0,-71,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.36",7.072474000000001,43.61679,4G,LTE,-87.0,-9.0,5.0,10.0,-71,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.38",7.072474000000001,43.61679,4G,LTE,-87.0,-9.0,5.0,10.0,-71,28.0,36.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.39",7.072474000000001,43.61679,4G,LTE,-92.0,-12.0,7.0,6.0,-,60.0,35.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.39",7.072474000000001,43.61679,4G,LTE,-92.0,-12.0,7.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.40",7.072474000000001,43.61679,4G,LTE,-91.0,-11.0,4.0,6.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.42",7.072474000000001,43.61679,4G,LTE,-91.0,-11.0,4.0,6.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.42",7.072474000000001,43.61679,4G,LTE,-91.0,-11.0,4.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.44",7.072474000000001,43.61679,4G,LTE,-92.0,-14.0,2.0,7.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.44",7.072474000000001,43.61679,4G,LTE,-92.0,-14.0,2.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.45",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,4.0,7.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.46",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,4.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.48",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,4.0,7.0,-,41.0,48.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.49",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,4.0,6.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.50",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,4.0,6.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.51",7.072474000000001,43.61679,4G,LTE,-90.0,-11.0,4.0,6.0,-73,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.52",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,3.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.53",7.072474000000001,43.61679,4G,LTE,-91.0,-14.0,3.0,6.0,-,47.0,56.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.54",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,2.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.55",7.072474000000001,43.61679,4G,LTE,-91.0,-13.0,2.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.38.56",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,3.0,6.0,-77,18.0,3.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.57",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,3.0,10.0,-,41.0,36.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.58",7.072474000000001,43.61679,4G,LTE,-90.0,-14.0,3.0,7.0,-,22.0,9.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.38.59",7.072474000000001,43.61679,4G,LTE,-89.0,-12.0,3.0,7.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.39.00",7.072474000000001,43.61679,4G,LTE,-89.0,-12.0,3.0,6.0,-76,255.0,139.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.39.01",7.072474000000001,43.61679,4G,LTE,-93.0,-11.0,5.0,6.0,-,123.0,13.0,181.0,181.0,D,PERIODIC,4A7s
"
2022.09.08_16.39.02",7.072474000000001,43.61679,4G,LTE,-93.0,-11.0,5.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.39.03",7.072474000000001,43.61679,4G,LTE,-94.0,-12.0,4.0,6.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.39.04",7.072474000000001,43.61679,4G,LTE,-94.0,-12.0,4.0,6.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.39.05",7.072474000000001,43.61679,4G,LTE,-93.0,-14.0,4.0,9.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4A7s
"
2022.09.08_16.39.06",7.072474000000001,43.61679,4G,LTE,-93.0,-14.0,4.0,9.0,-76,18.0,2.0,181.0,181.0,D,PERIODIC,4A7s
