Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_16.33.35",7.103649000000001,43.572266,4G,LTE,-98.0,-9.0,4.0,9.0,-81,0.0,0.0,214.0,214.0,I,LOG START,4Ab
"
2022.09.10_16.33.36",7.103649000000001,43.572266,4G,LTE,-98.0,-9.0,4.0,9.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Ab
"
2022.09.10_16.33.37",7.103649000000001,43.572266,4G,LTE,-100.0,-10.0,2.0,8.0,-83,1.0,0.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.38",7.103649000000001,43.572266,4G,LTE,-100.0,-10.0,2.0,8.0,-81,5.0,2.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.39",7.103649000000001,43.572266,4G,LTE,-98.0,-10.0,-3.0,8.0,-81,21.0,4.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.40",7.103649000000001,43.572266,4G,LTE,-98.0,-10.0,-3.0,11.0,-79,1.0,0.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.41",7.103649000000001,43.572266,4G,LTE,-96.0,-10.0,-3.0,11.0,-79,0.0,0.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.42",7.103649000000001,43.572266,4G,LTE,-96.0,-10.0,-3.0,9.0,-83,1.0,0.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.43",7.103649000000001,43.572266,4G,LTE,-100.0,-10.0,-1.0,9.0,-83,5.0,2.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.44",7.103649000000001,43.572266,4G,LTE,-100.0,-10.0,-1.0,9.0,-83,24.0,6.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.45",7.103649000000001,43.572266,4G,LTE,-101.0,-9.0,-5.0,9.0,-85,4.0,2.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.46",7.103649000000001,43.572266,4G,LTE,-101.0,-9.0,-5.0,8.0,-80,2.0,1.0,214.0,214.0,D,PERIODIC,4Ab
"
2022.09.10_16.33.47",7.103649000000001,43.572266,4G,LTE,-99.0,-10.0,2.0,9.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ab
