Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_16.40.35",7.1037490000000005,43.57225,4G,LTE,-99.0,-8.0,6.0,10.0,-,0.0,0.0,214.0,214.0,I,LOG START,4Ae
"
2022.09.10_16.40.35",7.1037490000000005,43.57225,4G,LTE,-99.0,-8.0,6.0,10.0,-,18.0,3.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.36",7.1037490000000005,43.57225,4G,LTE,-100.0,-10.0,3.0,10.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.37",7.1037490000000005,43.57225,4G,LTE,-100.0,-10.0,3.0,10.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.38",7.1037490000000005,43.57225,4G,LTE,-99.0,-9.0,4.0,10.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.39",7.1037490000000005,43.57225,4G,LTE,-99.0,-9.0,4.0,10.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.40",7.1037490000000005,43.57225,4G,LTE,-99.0,-9.0,2.0,10.0,-82,19.0,3.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.41",7.1037490000000005,43.57225,4G,LTE,-99.0,-9.0,2.0,10.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.42",7.1037490000000005,43.57225,4G,LTE,-101.0,-9.0,1.0,7.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.43",7.103581,43.572263,4G,LTE,-101.0,-9.0,1.0,13.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.44",7.103581,43.572263,4G,LTE,-99.0,-9.0,3.0,12.0,-82,0.0,0.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.45",7.103581,43.572263,4G,LTE,-99.0,-9.0,3.0,12.0,-82,18.0,2.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.46",7.103581,43.572263,4G,LTE,-101.0,-10.0,-1.0,12.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.47",7.103581,43.572263,4G,LTE,-101.0,-10.0,-1.0,12.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.48",7.103581,43.572263,4G,LTE,-99.0,-9.0,3.0,12.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.49",7.103581,43.572263,4G,LTE,-99.0,-9.0,3.0,11.0,-84,1.0,0.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.50",7.103581,43.572263,4G,LTE,-102.0,-12.0,-3.0,7.0,-,18.0,2.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.51",7.103581,43.572263,4G,LTE,-102.0,-12.0,-3.0,7.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.53",7.103581,43.572263,4G,LTE,-102.0,-10.0,0.0,7.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.53",7.103581,43.572263,4G,LTE,-102.0,-10.0,0.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.54",7.103581,43.572263,4G,LTE,-100.0,-10.0,-1.0,12.0,-,0.0,1.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.55",7.103581,43.572263,4G,LTE,-100.0,-10.0,-1.0,9.0,-,18.0,1.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.40.56",7.103581,43.572263,4G,LTE,-101.0,-11.0,-1.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.57",7.103581,43.572263,4G,LTE,-101.0,-11.0,-1.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.58",7.103581,43.572263,4G,LTE,-100.0,-12.0,-4.0,10.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.40.59",7.103581,43.572263,4G,LTE,-100.0,-12.0,-4.0,6.0,-83,0.0,1.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.41.00",7.103581,43.572263,4G,LTE,-99.0,-11.0,-1.0,6.0,-83,18.0,1.0,214.0,214.0,D,PERIODIC,4Ae
"
2022.09.10_16.41.01",7.103581,43.572263,4G,LTE,-99.0,-11.0,-1.0,6.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
"
2022.09.10_16.41.02",7.103581,43.572263,4G,LTE,-100.0,-9.0,3.0,6.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4Ae
