Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_10.01.57",7.044785000000001,43.623731,4G,LTE,-104.0,-14.0,3.0,10,-105.0,0.0,0.0,202.0,202.0,D,LOG START,4Aq
"
2022.11.23_10.01.58",7.044784,43.623737,4G,LTE,-104.0,-14.0,3.0,10,-105.0,0.0,0.0,202.0,202.0,D,,4Aq
"
2022.11.23_10.01.58",7.044784,43.623737,4G,LTE,-104.0,-14.0,3.0,10,-105.0,119.0,86.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.01.59",7.044784,43.623737,4G,LTE,-105.0,-14.0,3.0,6,-105.0,0.0,0.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.00",7.044784,43.623737,4G,LTE,-105.0,-14.0,3.0,6,-105.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.01",7.044784,43.623737,4G,LTE,-103.0,-13.0,3.0,11,-105.0,73.0,32.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.02",7.044784,43.623737,4G,LTE,-103.0,-13.0,3.0,11,-107.0,53.0,8.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.03",7.044784,43.623737,4G,LTE,-106.0,-14.0,2.0,6,-107.0,11.0,4.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.04",7.044784,43.623737,4G,LTE,-106.0,-14.0,2.0,6,-107.0,52.0,24.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.05",7.044784,43.623737,4G,LTE,-107.0,-13.0,6.0,6,-107.0,58.0,7.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.06",7.044784,43.623737,4G,LTE,-107.0,-13.0,6.0,6,-109.0,12.0,3.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.07",7.044784,43.623737,4G,LTE,-108.0,-13.0,6.0,8,-109.0,43.0,13.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.08",7.044784,43.623737,4G,LTE,-108.0,-13.0,6.0,8,-107.0,7.0,2.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.09",7.044784,43.623737,4G,LTE,-106.0,-13.0,6.0,10,-107.0,0.0,0.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.10",7.044784,43.623737,4G,LTE,-106.0,-13.0,6.0,10,-109.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.11",7.044784,43.623737,4G,LTE,-104.0,-15.0,6.0,9,-105.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.12",7.044784,43.623737,4G,LTE,-104.0,-15.0,6.0,9,-107.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.13",7.044784,43.623737,4G,LTE,-104.0,-13.0,0.0,-,-107.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.14",7.044784,43.623737,4G,LTE,-104.0,-13.0,0.0,-,-105.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.15",7.044784,43.623737,4G,LTE,-104.0,-13.0,1.0,-,-107.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.16",7.044784,43.623737,4G,LTE,-104.0,-13.0,1.0,-,-107.0,0.0,0.0,202.0,202.0,I,PERIODIC,4Aq
"
2022.11.23_10.02.17",7.044784,43.623737,4G,LTE,-104.0,-13.0,1.0,-,-107.0,0.0,2.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.18",7.044784,43.623737,4G,LTE,-106.0,-14.0,5.0,-,-103.0,343.0,80.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.19",7.044784,43.623737,4G,LTE,-103.0,-14.0,4.0,13,-109.0,602.0,226.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.20",7.044784,43.623737,4G,LTE,-103.0,-14.0,4.0,13,-105.0,12.0,68.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.21",7.044784,43.623737,4G,LTE,-106.0,-14.0,3.0,9,-105.0,794.0,255.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.22",7.044784,43.623737,4G,LTE,-106.0,-14.0,3.0,9,-109.0,3074.0,70.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.23",7.044784,43.623737,4G,LTE,-105.0,-14.0,3.0,11,-105.0,6928.0,41.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.24",7.044784,43.623737,4G,LTE,-105.0,-14.0,3.0,11,-109.0,6863.0,72.0,202.0,202.0,D,PERIODIC,4Aq
"
2022.11.23_10.02.25",7.044784,43.623737,4G,LTE,-105.0,-13.0,4.0,6,-105.0,6237.0,55.0,202.0,202.0,D,PERIODIC,4Aq
