Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.27_15.39.35",7.118436,43.586201,4G,LTE,-78.0,-13.0,1.0,9.0,-62,0.0,0.0,204.0,204.0,D,LOG START,4Au26
"
2022.08.27_15.39.36",7.118436,43.586201,4G,LTE,-78.0,-13.0,1.0,9.0,-62,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.37",7.118567999999999,43.586348,4G,LTE,-78.0,-13.0,1.0,13.0,-62,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.38",7.118567999999999,43.586348,4G,LTE,-78.0,-14.0,1.0,14.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.39",7.118567999999999,43.586348,4G,LTE,-78.0,-14.0,1.0,14.0,-60,19.0,3.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.40",7.118567999999999,43.586348,4G,LTE,-78.0,-16.0,1.0,14.0,-60,0.0,0.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.41",7.118567999999999,43.586348,4G,LTE,-78.0,-16.0,1.0,14.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.42",7.118567999999999,43.586348,4G,LTE,-77.0,-13.0,6.0,14.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.43",7.118567999999999,43.586348,4G,LTE,-77.0,-13.0,6.0,11.0,-64,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.44",7.118567999999999,43.586348,4G,LTE,-81.0,-14.0,1.0,11.0,-64,19.0,3.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.45",7.118567999999999,43.586348,4G,LTE,-81.0,-14.0,1.0,10.0,-71,0.0,0.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.46",7.118567999999999,43.586348,4G,LTE,-87.0,-13.0,7.0,12.0,-69,18.0,13.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.47",7.118567999999999,43.586348,4G,LTE,-87.0,-13.0,7.0,12.0,-69,0.0,0.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.48",7.118567999999999,43.586348,4G,LTE,-85.0,-13.0,7.0,12.0,-69,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.49",7.118567999999999,43.586348,4G,LTE,-85.0,-13.0,7.0,12.0,-69,19.0,3.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.50",7.118567999999999,43.586348,4G,LTE,-85.0,-14.0,6.0,12.0,-69,49.0,42.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.51",7.118567999999999,43.586348,4G,LTE,-85.0,-14.0,6.0,12.0,-69,0.0,0.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.52",7.118567999999999,43.586348,4G,LTE,-86.0,-12.0,12.0,12.0,-69,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.53",7.118567999999999,43.586348,4G,LTE,-86.0,-12.0,12.0,12.0,-69,0.0,0.0,204.0,204.0,I,PERIODIC,4Au26
"
2022.08.27_15.39.54",7.118567999999999,43.586348,4G,LTE,-87.0,-12.0,15.0,12.0,-69,32.0,9.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.55",7.118567999999999,43.586348,4G,LTE,-87.0,-12.0,15.0,7.0,-73,0.0,0.0,204.0,204.0,D,PERIODIC,4Au26
"
2022.08.27_15.39.56",7.118567999999999,43.586348,4G,LTE,-93.0,-14.0,3.0,11.0,-75,104.0,55.0,204.0,204.0,D,PERIODIC,4Au26
