Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_14.25.54",7.039642999999999,43.622201000000004,4G,LTE,-113.0,-17.0,-7.0,8.0,-113.0,29.0,1751.0,229.0,229.0,D,LOG START,4O22n
"
2022.11.22_14.25.54",7.039631,43.622208,4G,LTE,-113.0,-17.0,-7.0,8.0,-113.0,29.0,1751.0,229.0,229.0,D,,4O22n
"
2022.11.22_14.25.55",7.039631,43.622208,4G,LTE,-113.0,-17.0,-7.0,8.0,-113.0,34.0,2376.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.25.56",7.039631,43.622208,4G,LTE,-112.0,-16.0,-6.0,8.0,-113.0,122.0,1787.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.25.57",7.039631,43.622208,4G,LTE,-112.0,-16.0,-6.0,8.0,-111.0,72.0,3470.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.25.58",7.039631,43.622208,4G,LTE,-110.0,-15.0,-6.0,11.0,-111.0,296.0,4333.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.25.59",7.039631,43.622208,4G,LTE,-110.0,-15.0,-6.0,11.0,-111.0,104.0,3411.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.00",7.039631,43.622208,4G,LTE,-111.0,-15.0,-5.0,9.0,-111.0,107.0,2986.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.01",7.039631,43.622208,4G,LTE,-111.0,-15.0,-5.0,9.0,-109.0,32.0,2867.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.02",7.039631,43.622208,4G,LTE,-110.0,-15.0,-5.0,9.0,-109.0,32.0,4106.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.03",7.039631,43.622208,4G,LTE,-110.0,-15.0,-5.0,9.0,-113.0,32.0,3634.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.04",7.039631,43.622208,4G,LTE,-111.0,-18.0,-7.0,9.0,-113.0,32.0,3348.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.05",7.039631,43.622208,4G,LTE,-111.0,-18.0,-7.0,9.0,-111.0,33.0,3123.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.06",7.039631,43.622208,4G,LTE,-112.0,-16.0,-7.0,9.0,-113.0,36.0,2656.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.07",7.039631,43.622208,4G,LTE,-112.0,-16.0,-7.0,9.0,-109.0,505.0,670.0,229.0,229.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.07",7.039507,43.622245,4G,LTE,-112.0,-16.0,-7.0,9.0,-109.0,505.0,670.0,228.0,228.0,D,,4O22n
"
2022.11.22_14.26.08",7.039507,43.622245,4G,LTE,-111.0,-15.0,-6.0,9.0,-111.0,139.0,30.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.09",7.039507,43.622245,4G,LTE,-111.0,-15.0,-6.0,9.0,-113.0,86.0,25.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.10",7.039507,43.622245,4G,LTE,-111.0,-16.0,-5.0,8.0,-111.0,185.0,66.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.11",7.039507,43.622245,4G,LTE,-111.0,-16.0,-5.0,8.0,-111.0,9.0,1.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.12",7.039507,43.622245,4G,LTE,-109.0,-15.0,0.0,7.0,-109.0,80.0,118.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.13",7.039507,43.622245,4G,LTE,-109.0,-15.0,0.0,7.0,-111.0,0.0,0.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.14",7.039507,43.622245,4G,LTE,-110.0,-16.0,-6.0,7.0,-111.0,0.0,0.0,228.0,228.0,I,PERIODIC,4O22n
"
2022.11.22_14.26.15",7.039507,43.622245,4G,LTE,-110.0,-16.0,-6.0,7.0,-111.0,0.0,96.0,228.0,228.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.15",7.039406,43.622304,4G,LTE,-110.0,-16.0,-6.0,7.0,-111.0,0.0,96.0,227.0,227.0,D,,4O22n
"
2022.11.22_14.26.16",7.039406,43.622304,4G,LTE,-106.0,-14.0,-4.0,7.0,-107.0,8.0,1.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.17",7.039406,43.622304,4G,LTE,-106.0,-14.0,-4.0,7.0,-107.0,0.0,0.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.18",7.039406,43.622304,4G,LTE,-110.0,-17.0,-6.0,6.0,-111.0,0.0,0.0,227.0,227.0,I,PERIODIC,4O22n
"
2022.11.22_14.26.19",7.039406,43.622304,4G,LTE,-110.0,-17.0,-6.0,6.0,-107.0,11.0,91.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.20",7.039406,43.622304,4G,LTE,-108.0,-15.0,-7.0,7.0,-109.0,0.0,0.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.21",7.039406,43.622304,4G,LTE,-108.0,-15.0,-7.0,7.0,-109.0,0.0,0.0,227.0,227.0,I,PERIODIC,4O22n
"
2022.11.22_14.26.22",7.039406,43.622304,4G,LTE,-110.0,-16.0,-6.0,7.0,-111.0,0.0,4.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.23",7.039406,43.622304,4G,LTE,-110.0,-16.0,-6.0,7.0,-109.0,364.0,35.0,227.0,227.0,D,PERIODIC,4O22n
"
2022.11.22_14.26.23",7.0393360000000005,43.622382,4G,LTE,-110.0,-16.0,-6.0,7.0,-109.0,364.0,35.0,226.0,226.0,D,,4O22n
"
2022.11.22_14.26.24",7.0393360000000005,43.622382,4G,LTE,-109.0,-15.0,-5.0,9.0,-109.0,1553.0,226.0,226.0,226.0,D,PERIODIC,4O22n
