Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_16.41.29",7.0692,43.61524,4G,LTE,-96.0,-12.0,1.0,5.0,-,0.0,0.0,178.0,178.0,D,LOG START,4Oi15ik
"
2022.09.15_16.41.29",7.0692,43.61524,4G,LTE,-93.0,-13.0,4.0,5.0,-,0.0,0.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.30",7.0692,43.61524,4G,LTE,-93.0,-13.0,4.0,5.0,-78,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.31",7.0692,43.61524,4G,LTE,-92.0,-13.0,4.0,6.0,-76,19.0,3.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.32",7.0692,43.61524,4G,LTE,-92.0,-13.0,4.0,6.0,-78,0.0,0.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.33",7.0692,43.61524,4G,LTE,-97.0,-14.0,4.0,6.0,-80,5.0,1.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.34",7.0692,43.61524,4G,LTE,-97.0,-14.0,4.0,6.0,-85,9.0,4.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.35",7.0692,43.61524,4G,LTE,-97.0,-14.0,4.0,6.0,-,39.0,35.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.36",7.0692,43.61524,4G,LTE,-100.0,-15.0,2.0,5.0,-83,32.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.37",7.0692,43.61524,4G,LTE,-100.0,-15.0,2.0,5.0,-,55.0,18.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.38",7.0692,43.61524,4G,LTE,-99.0,-14.0,5.0,6.0,-84,0.0,0.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.39",7.0692,43.61524,4G,LTE,-99.0,-14.0,5.0,6.0,-84,36.0,29.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.40",7.0692,43.61524,4G,LTE,-94.0,-13.0,4.0,6.0,-79,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.41",7.0692,43.61524,4G,LTE,-94.0,-13.0,4.0,6.0,-79,19.0,3.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.42",7.0692,43.61524,4G,LTE,-94.0,-12.0,4.0,6.0,-77,0.0,0.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.43",7.0692,43.61524,4G,LTE,-94.0,-12.0,4.0,6.0,-77,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.44",7.0692,43.61524,4G,LTE,-96.0,-13.0,5.0,9.0,-79,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.45",7.0692,43.61524,4G,LTE,-96.0,-13.0,5.0,5.0,-81,1.0,3.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.46",7.0692,43.61524,4G,LTE,-99.0,-13.0,5.0,9.0,-79,116.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.47",7.0692,43.61524,4G,LTE,-99.0,-13.0,5.0,9.0,-81,0.0,0.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.48",7.0692,43.61524,4G,LTE,-98.0,-14.0,3.0,5.0,-79,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.49",7.0692,43.61524,4G,LTE,-98.0,-14.0,3.0,5.0,-79,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.50",7.0692,43.61524,4G,LTE,-94.0,-14.0,3.0,11.0,-75,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.51",7.0692,43.61524,4G,LTE,-94.0,-14.0,3.0,11.0,-73,21.0,3.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.52",7.0692,43.61524,4G,LTE,-90.0,-11.0,2.0,11.0,-71,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.53",7.0692,43.61524,4G,LTE,-90.0,-11.0,2.0,9.0,-75,0.0,0.0,178.0,178.0,I,PERIODIC,4Oi15ik
"
2022.09.15_16.41.54",7.0692,43.61524,4G,LTE,-93.0,-14.0,5.0,10.0,-77,22.0,2.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.55",7.0692,43.61524,4G,LTE,-93.0,-14.0,5.0,6.0,-82,272.0,39.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.56",7.0692,43.61524,4G,LTE,-93.0,-14.0,5.0,6.0,-82,417.0,155.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.57",7.0692,43.61524,4G,LTE,-99.0,-13.0,1.0,6.0,-82,697.0,165.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.58",7.0692,43.61524,4G,LTE,-99.0,-13.0,1.0,6.0,-82,698.0,196.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.41.59",7.0692,43.61524,4G,LTE,-100.0,-14.0,2.0,6.0,-82,794.0,61.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.01",7.0692,43.61524,4G,LTE,-100.0,-14.0,2.0,6.0,-82,905.0,48.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.02",7.0692,43.61524,4G,LTE,-100.0,-13.0,2.0,9.0,-84,409.0,29.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.02",7.0692,43.61524,4G,LTE,-100.0,-13.0,2.0,8.0,-81,447.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.03",7.0692,43.61524,4G,LTE,-98.0,-13.0,3.0,8.0,-81,643.0,57.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.04",7.0692,43.61524,4G,LTE,-98.0,-13.0,3.0,8.0,-81,486.0,36.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.05",7.0692,43.61524,4G,LTE,-99.0,-13.0,4.0,8.0,-81,263.0,26.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.06",7.0692,43.61524,4G,LTE,-99.0,-13.0,4.0,8.0,-84,328.0,21.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.07",7.0692,43.61524,4G,LTE,-101.0,-13.0,3.0,8.0,-84,235.0,28.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.09",7.0692,43.61524,4G,LTE,-101.0,-13.0,3.0,7.0,-82,357.0,60.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.10",7.0692,43.61524,4G,LTE,-99.0,-13.0,3.0,5.0,-86,368.0,45.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.11",7.0692,43.61524,4G,LTE,-99.0,-13.0,3.0,5.0,-86,474.0,74.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.12",7.0692,43.61524,4G,LTE,-102.0,-14.0,3.0,6.0,-83,545.0,102.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.13",7.0692,43.61524,4G,LTE,-102.0,-14.0,3.0,6.0,-83,348.0,23.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.14",7.0692,43.61524,4G,LTE,-99.0,-13.0,3.0,6.0,-83,402.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.15",7.0692,43.61524,4G,LTE,-99.0,-13.0,3.0,6.0,-83,429.0,29.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.16",7.0692,43.61524,4G,LTE,-99.0,-14.0,5.0,11.0,-81,371.0,32.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.17",7.0692,43.61524,4G,LTE,-99.0,-14.0,5.0,11.0,-81,396.0,33.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.18",7.0692,43.61524,4G,LTE,-98.0,-13.0,4.0,11.0,-81,546.0,51.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.19",7.0692,43.61524,4G,LTE,-98.0,-13.0,4.0,9.0,-84,522.0,22.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.20",7.0692,43.61524,4G,LTE,-101.0,-14.0,5.0,5.0,-86,347.0,19.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.20",7.0692,43.61524,4G,LTE,-101.0,-14.0,5.0,9.0,-82,481.0,25.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.22",7.0692,43.61524,4G,LTE,-99.0,-13.0,4.0,9.0,-82,343.0,44.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.23",7.0692,43.61524,4G,LTE,-99.0,-13.0,4.0,9.0,-82,333.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.24",7.0692,43.61524,4G,LTE,-100.0,-14.0,6.0,9.0,-82,328.0,29.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.25",7.0692,43.61524,4G,LTE,-100.0,-14.0,6.0,9.0,-82,515.0,24.0,178.0,178.0,D,PERIODIC,4Oi15ik
"
2022.09.15_16.42.26",7.0692,43.61524,4G,LTE,-98.0,-12.0,6.0,6.0,-80,568.0,32.0,178.0,178.0,D,PERIODIC,4Oi15ik
