Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_15.14.58",7.119184,43.586234000000005,4G,LTE,-80.0,-8.0,4.0,-,-83.0,0.0,0.0,73.0,73.0,I,LOG START,4Oi22n
"
2022.11.22_15.14.59",7.119184,43.586234000000005,4G,LTE,-84.0,-11.0,4.0,-,-83.0,0.0,0.0,73.0,73.0,I,PERIODIC,4Oi22n
"
2022.11.22_15.14.59",7.11915,43.586226,4G,LTE,-84.0,-11.0,4.0,-,-83.0,0.0,0.0,65.0,65.0,I,,4Oi22n
"
2022.11.22_15.15.00",7.11915,43.586226,4G,LTE,-84.0,-11.0,4.0,-,-83.0,0.0,0.0,65.0,65.0,I,PERIODIC,4Oi22n
"
2022.11.22_15.15.01",7.11915,43.586226,4G,LTE,-83.0,-11.0,8.0,-,-83.0,0.0,0.0,65.0,65.0,I,PERIODIC,4Oi22n
"
2022.11.22_15.15.02",7.11915,43.586226,4G,LTE,-83.0,-11.0,8.0,-,-83.0,93.0,50.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.03",7.11915,43.586226,4G,LTE,-83.0,-11.0,6.0,14,-83.0,105.0,32.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.04",7.11915,43.586226,4G,LTE,-83.0,-11.0,6.0,14,-83.0,12.0,2.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.05",7.11915,43.586226,4G,LTE,-83.0,-12.0,9.0,11,-83.0,43.0,13.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.06",7.11915,43.586226,4G,LTE,-83.0,-12.0,9.0,11,-83.0,20.0,21.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.07",7.11915,43.586226,4G,LTE,-83.0,-10.0,9.0,11,-83.0,0.0,0.0,65.0,65.0,I,PERIODIC,4Oi22n
"
2022.11.22_15.15.08",7.11915,43.586226,4G,LTE,-83.0,-10.0,9.0,11,-83.0,1.0,1.0,65.0,65.0,D,PERIODIC,4Oi22n
"
2022.11.22_15.15.09",7.11915,43.586226,4G,LTE,-84.0,-10.0,6.0,9,-83.0,0.0,0.0,65.0,65.0,I,PERIODIC,4Oi22n
"
2022.11.22_15.15.10",7.11915,43.586226,4G,LTE,-84.0,-10.0,6.0,9,-83.0,0.0,0.0,65.0,65.0,I,PERIODIC,4Oi22n
