Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.27_15.20.27",7.1205050000000005,43.580452,4G,LTE,-97.0,-15.0,5.0,9.0,-79.0,19.0,3.0,204.0,204.0,D,LOG START,4Or27
"
2022.08.27_15.20.27",7.1205050000000005,43.580452,4G,LTE,-97.0,-15.0,5.0,9.0,-79.0,0.0,0.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.29",7.1205050000000005,43.580452,4G,LTE,-97.0,-16.0,11.0,14.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.29",7.120576,43.580551,4G,LTE,-97.0,-16.0,11.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.31",7.120576,43.580551,4G,LTE,-97.0,-16.0,6.0,9.0,-79.0,0.0,1.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.31",7.120576,43.580551,4G,LTE,-97.0,-16.0,6.0,9.0,-79.0,18.0,2.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.32",7.120576,43.580551,4G,LTE,-97.0,-15.0,6.0,9.0,-79.0,19.0,13.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.34",7.120576,43.580551,4G,LTE,-97.0,-15.0,6.0,10.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.34",7.120576,43.580551,4G,LTE,-98.0,-14.0,7.0,10.0,-81.0,8.0,7.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.36",7.120576,43.580551,4G,LTE,-98.0,-14.0,7.0,12.0,-79.0,9.0,4.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.36",7.120576,43.580551,4G,LTE,-97.0,-15.0,4.0,12.0,-79.0,37.0,29.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.38",7.120576,43.580551,4G,LTE,-97.0,-15.0,4.0,11.0,-81.0,4.0,1.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.39",7.120576,43.580551,4G,LTE,-97.0,-14.0,6.0,11.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.39",7.120576,43.580551,4G,LTE,-97.0,-14.0,6.0,11.0,-79.0,11.0,5.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.41",7.120576,43.580551,4G,LTE,-98.0,-16.0,10.0,14.0,-81.0,0.0,1.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.42",7.120576,43.580551,4G,LTE,-98.0,-16.0,10.0,10.0,-79.0,132.0,80.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.43",7.120576,43.580551,4G,LTE,-98.0,-16.0,9.0,10.0,-81.0,102.0,15.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.44",7.120576,43.580551,4G,LTE,-98.0,-16.0,9.0,10.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.45",7.120576,43.580551,4G,LTE,-97.0,-14.0,9.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.45",7.120576,43.580551,4G,LTE,-97.0,-14.0,9.0,9.0,-79.0,2.0,2.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.47",7.120576,43.580551,4G,LTE,-96.0,-15.0,6.0,9.0,-79.0,18.0,1.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.48",7.120576,43.580551,4G,LTE,-96.0,-15.0,6.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.49",7.120576,43.580551,4G,LTE,-96.0,-14.0,8.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.50",7.120576,43.580551,4G,LTE,-96.0,-14.0,8.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.51",7.120576,43.580551,4G,LTE,-96.0,-14.0,7.0,9.0,-79.0,19.0,2.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.52",7.120576,43.580551,4G,LTE,-96.0,-14.0,7.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.53",7.120576,43.580551,4G,LTE,-96.0,-14.0,8.0,9.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.54",7.120576,43.580551,4G,LTE,-96.0,-14.0,8.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.55",7.120576,43.580551,4G,LTE,-98.0,-16.0,3.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.56",7.120576,43.580551,4G,LTE,-98.0,-16.0,3.0,9.0,-81.0,19.0,2.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.20.57",7.120576,43.580551,4G,LTE,-97.0,-15.0,7.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.58",7.120576,43.580551,4G,LTE,-97.0,-15.0,7.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.20.59",7.120576,43.580551,4G,LTE,-98.0,-15.0,5.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.00",7.120576,43.580551,4G,LTE,-98.0,-15.0,5.0,9.0,-81.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.01",7.120576,43.580551,4G,LTE,-96.0,-16.0,6.0,10.0,-79.0,19.0,2.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.21.02",7.120576,43.580551,4G,LTE,-96.0,-16.0,6.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.03",7.120576,43.580551,4G,LTE,-96.0,-11.0,7.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.04",7.120576,43.580551,4G,LTE,-96.0,-11.0,7.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.05",7.120576,43.580551,4G,LTE,-96.0,-14.0,7.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.06",7.120576,43.580551,4G,LTE,-96.0,-14.0,7.0,10.0,-79.0,19.0,3.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.21.07",7.120576,43.580551,4G,LTE,-96.0,-11.0,5.0,10.0,-79.0,0.0,0.0,204.0,204.0,D,PERIODIC,4Or27
"
2022.08.27_15.21.08",7.120576,43.580551,4G,LTE,-96.0,-11.0,5.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.09",7.120576,43.580551,4G,LTE,-96.0,-15.0,7.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.10",7.120576,43.580551,4G,LTE,-96.0,-15.0,7.0,10.0,-79.0,0.0,0.0,204.0,204.0,I,PERIODIC,4Or27
"
2022.08.27_15.21.11",7.120576,43.580551,4G,LTE,-95.0,-14.0,8.0,10.0,-79.0,19.0,3.0,204.0,204.0,D,PERIODIC,4Or27
