Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.20_18.50.45",7.072754,43.617,5G,5G,-88.0,-3.0,21.0,15,-,3.0,6.0,166.0,166.0,D,LOG START,-95.0,-8.0,25.0,5A20s
"
2022.09.20_18.50.46",7.072754,43.617,5G,5G,-85.0,-3.0,21.0,15,-,0.0,0.0,166.0,166.0,I,PERIODIC,-95.0,-8.0,25.0,5A20s
"
2022.09.20_18.50.46",7.072856,43.616988,5G,5G,-85.0,-3.0,21.0,15,-,0.0,0.0,165.0,165.0,I,,-95.0,-8.0,25.0,5A20s
"
2022.09.20_18.50.47",7.072856,43.616988,5G,5G,-86.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-96.0,-9.0,25.0,5A20s
"
2022.09.20_18.50.48",7.072856,43.616988,5G,5G,-82.0,-3.0,22.0,14,-,0.0,0.0,165.0,165.0,I,PERIODIC,-96.0,-7.0,22.0,5A20s
"
2022.09.20_18.50.49",7.072856,43.616988,5G,5G,-82.0,-3.0,22.0,14,-,0.0,0.0,165.0,165.0,I,PERIODIC,-96.0,-7.0,22.0,5A20s
"
2022.09.20_18.50.50",7.072856,43.616988,5G,5G,-82.0,-3.0,22.0,14,-,0.0,0.0,165.0,165.0,I,PERIODIC,-81.0,-6.0,22.0,5A20s
"
2022.09.20_18.50.51",7.072856,43.616988,5G,5G,-81.0,-3.0,22.0,14,-,0.0,0.0,165.0,165.0,I,PERIODIC,-81.0,-6.0,22.0,5A20s
"
2022.09.20_18.50.52",7.072856,43.616988,5G,5G,-81.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-93.0,-6.0,22.0,5A20s
"
2022.09.20_18.50.53",7.072856,43.616988,5G,5G,-85.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-93.0,-6.0,22.0,5A20s
"
2022.09.20_18.50.54",7.072856,43.616988,5G,5G,-87.0,-3.0,21.0,15,-,0.0,0.0,165.0,165.0,D,PERIODIC,-81.0,-7.0,25.0,5A20s
"
2022.09.20_18.50.55",7.072856,43.616988,5G,5G,-90.0,-3.0,21.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-81.0,-7.0,25.0,5A20s
"
2022.09.20_18.50.56",7.072856,43.616988,5G,5G,-88.0,-3.0,21.0,15,-,0.0,3.0,165.0,165.0,D,PERIODIC,-96.0,-5.0,26.0,5A20s
"
2022.09.20_18.50.57",7.072856,43.616988,5G,5G,-87.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,D,PERIODIC,-96.0,-5.0,26.0,5A20s
"
2022.09.20_18.50.58",7.072856,43.616988,5G,5G,-89.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,D,PERIODIC,-85.0,-7.0,18.0,5A20s
"
2022.09.20_18.50.59",7.072856,43.616988,5G,5G,-89.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-85.0,-7.0,18.0,5A20s
"
2022.09.20_18.51.00",7.072856,43.616988,5G,5G,-89.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,D,PERIODIC,-89.0,-8.0,26.0,5A20s
"
2022.09.20_18.51.01",7.072856,43.616988,5G,5G,-89.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-89.0,-8.0,26.0,5A20s
"
2022.09.20_18.51.02",7.072856,43.616988,5G,5G,-89.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-87.0,-7.0,26.0,5A20s
"
2022.09.20_18.51.03",7.072856,43.616988,5G,5G,-87.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-87.0,-7.0,26.0,5A20s
"
2022.09.20_18.51.04",7.072856,43.616988,5G,5G,-87.0,-3.0,22.0,15,-,0.0,0.0,165.0,165.0,D,PERIODIC,-89.0,-6.0,25.0,5A20s
"
2022.09.20_18.51.05",7.072856,43.616988,5G,5G,-90.0,-3.0,20.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-89.0,-6.0,25.0,5A20s
"
2022.09.20_18.51.06",7.072856,43.616988,5G,5G,-90.0,-3.0,20.0,15,-,0.0,0.0,165.0,165.0,I,PERIODIC,-88.0,-7.0,25.0,5A20s
