Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_15.53.16",7.072921000000001,43.616859000000005,5G,5G,-92.0,-3.0,20.0,10.0,-,1.0,1.0,158.0,158.0,D,LOG START,-96.0,-6.0,16.0,5A30
"
2022.08.30_15.53.16",7.072921000000001,43.616859000000005,5G,5G,-92.0,-3.0,20.0,10.0,-,69.0,5.0,158.0,158.0,D,PERIODIC,-96.0,-6.0,16.0,5A30
"
2022.08.30_15.53.16",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,10.0,-,69.0,5.0,160.0,160.0,D,,-96.0,-6.0,16.0,5A30
"
2022.08.30_15.53.17",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,12.0,-,0.0,0.0,160.0,160.0,D,PERIODIC,-93.0,-6.0,21.0,5A30
"
2022.08.30_15.53.18",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,12.0,-,97.0,22.0,160.0,160.0,D,PERIODIC,-93.0,-6.0,21.0,5A30
"
2022.08.30_15.53.19",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,15.0,-,0.0,0.0,160.0,160.0,D,PERIODIC,-94.0,-6.0,24.0,5A30
"
2022.08.30_15.53.20",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,15.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-94.0,-6.0,24.0,5A30
"
2022.08.30_15.53.21",7.072918,43.616859000000005,5G,5G,-92.0,-3.0,20.0,15.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-94.0,-6.0,24.0,5A30
"
2022.08.30_15.53.22",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,15.0,-,14.0,33.0,160.0,160.0,D,PERIODIC,-94.0,-6.0,24.0,5A30
"
2022.08.30_15.53.23",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,13.0,-,69.0,85.0,160.0,160.0,D,PERIODIC,-95.0,-7.0,20.0,5A30
"
2022.08.30_15.53.24",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,13.0,-,0.0,0.0,160.0,160.0,D,PERIODIC,-95.0,-7.0,20.0,5A30
"
2022.08.30_15.53.25",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,13.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-95.0,-7.0,20.0,5A30
"
2022.08.30_15.53.26",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,13.0,-,21.0,14.0,160.0,160.0,D,PERIODIC,-95.0,-7.0,20.0,5A30
"
2022.08.30_15.53.27",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,14.0,7.0,160.0,160.0,D,PERIODIC,-96.0,-5.0,17.0,5A30
"
2022.08.30_15.53.28",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,129.0,31.0,160.0,160.0,D,PERIODIC,-96.0,-5.0,17.0,5A30
"
2022.08.30_15.53.29",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,14.0,-,72.0,43.0,160.0,160.0,D,PERIODIC,-95.0,-9.0,16.0,5A30
"
2022.08.30_15.53.30",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,14.0,-,67.0,13.0,160.0,160.0,D,PERIODIC,-95.0,-9.0,16.0,5A30
"
2022.08.30_15.53.31",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,12.0,-,256.0,80.0,160.0,160.0,D,PERIODIC,-96.0,-6.0,20.0,5A30
"
2022.08.30_15.53.32",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,12.0,-,0.0,0.0,160.0,160.0,D,PERIODIC,-96.0,-6.0,20.0,5A30
"
2022.08.30_15.53.33",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,12.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-96.0,-6.0,20.0,5A30
"
2022.08.30_15.53.34",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,12.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-96.0,-6.0,20.0,5A30
"
2022.08.30_15.53.35",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-95.0,-4.0,20.0,5A30
"
2022.08.30_15.53.36",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,0.0,0.0,160.0,160.0,D,PERIODIC,-95.0,-4.0,20.0,5A30
"
2022.08.30_15.53.37",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-95.0,-4.0,20.0,5A30
"
2022.08.30_15.53.38",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-95.0,-4.0,20.0,5A30
"
2022.08.30_15.53.39",7.072918,43.616859000000005,5G,5G,-97.0,-3.0,20.0,11.0,-,0.0,0.0,160.0,160.0,I,PERIODIC,-95.0,-4.0,20.0,5A30
