Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.06.39",7.07292,43.616811,5G,5G,-86.0,-3.0,22.0,11.0,-,0.0,0.0,166.0,166.0,I,LOG START,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.40",7.072953,43.616813,5G,5G,-86.0,-3.0,22.0,11.0,-,0.0,0.0,167.0,167.0,I,,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.40",7.072953,43.616813,5G,5G,-86.0,-3.0,22.0,11.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.41",7.072953,43.616813,5G,5G,-86.0,-3.0,22.0,11.0,-,0.0,1.0,167.0,167.0,D,PERIODIC,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.42",7.072953,43.616813,5G,5G,-93.0,-3.0,22.0,11.0,-,0.0,0.0,167.0,167.0,D,PERIODIC,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.43",7.072953,43.616813,5G,5G,-93.0,-3.0,22.0,11.0,-,82.0,9.0,167.0,167.0,D,PERIODIC,-71.0,-10.0,15.0,5Ai23n
"
2022.11.23_14.06.44",7.072953,43.616813,5G,5G,-88.0,-3.0,21.0,13.0,-,73.0,8.0,167.0,167.0,D,PERIODIC,-73.0,-12.0,15.0,5Ai23n
"
2022.11.23_14.06.45",7.072953,43.616813,5G,5G,-88.0,-3.0,21.0,13.0,-,12.0,5.0,167.0,167.0,D,PERIODIC,-73.0,-12.0,15.0,5Ai23n
"
2022.11.23_14.06.46",7.072953,43.616813,5G,5G,-88.0,-3.0,21.0,4.0,-,47.0,36.0,167.0,167.0,D,PERIODIC,-70.0,-13.0,6.0,5Ai23n
"
2022.11.23_14.06.47",7.072953,43.616813,5G,5G,-94.0,-3.0,21.0,4.0,-,52.0,17.0,167.0,167.0,D,PERIODIC,-70.0,-13.0,6.0,5Ai23n
