Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_14.02.08",7.07297,43.616809,5G,5G,-101.0,-3.0,20.0,13.0,-,89.0,327.0,166.0,166.0,D,LOG START,-75.0,-12.0,15.0,5Ar23
"
2022.11.23_14.02.09",7.07297,43.616809,5G,5G,-101.0,-3.0,20.0,13.0,-,127.0,745.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.09",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,127.0,745.0,166.0,166.0,D,,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.10",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,19.0,525.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.11",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,11.0,-,35.0,107.0,166.0,166.0,D,PERIODIC,-75.0,-13.0,16.0,5Ar23
"
2022.11.23_14.02.12",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,11.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-75.0,-13.0,16.0,5Ar23
"
2022.11.23_14.02.13",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,-11.0,5Ar23
"
2022.11.23_14.02.14",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,-11.0,5Ar23
"
2022.11.23_14.02.15",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,-11.0,5Ar23
"
2022.11.23_14.02.16",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,-11.0,5Ar23
"
2022.11.23_14.02.17",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-75.0,-11.0,15.0,5Ar23
"
2022.11.23_14.02.18",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-11.0,15.0,5Ar23
"
2022.11.23_14.02.19",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,15.0,17.0,166.0,166.0,D,PERIODIC,-75.0,-11.0,15.0,5Ar23
"
2022.11.23_14.02.20",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-11.0,15.0,5Ar23
"
2022.11.23_14.02.21",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-13.0,13.0,5Ar23
"
2022.11.23_14.02.22",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-75.0,-13.0,13.0,5Ar23
"
2022.11.23_14.02.23",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,11.0,19.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,13.0,5Ar23
"
2022.11.23_14.02.24",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,13.0,-,19.0,482.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,13.0,5Ar23
"
2022.11.23_14.02.25",7.072956,43.616795,5G,5G,-101.0,-3.0,20.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-14.0,12.0,5Ar23
"
2022.11.23_14.02.26",7.072956,43.616795,5G,5G,-100.0,-3.0,16.0,12.0,-,64.0,34.0,166.0,166.0,D,PERIODIC,-75.0,-14.0,12.0,5Ar23
"
2022.11.23_14.02.27",7.072956,43.616795,5G,5G,-100.0,-3.0,16.0,8.0,-,44.0,4.0,166.0,166.0,D,PERIODIC,-77.0,-12.0,15.0,5Ar23
"
2022.11.23_14.02.28",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,8.0,-,77.0,9.0,166.0,166.0,D,PERIODIC,-77.0,-12.0,15.0,5Ar23
"
2022.11.23_14.02.29",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,10.0,3.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,12.0,5Ar23
"
2022.11.23_14.02.30",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,43.0,19.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,12.0,5Ar23
"
2022.11.23_14.02.31",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,6.0,-,11.0,4.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,13.0,5Ar23
"
2022.11.23_14.02.32",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,6.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,13.0,5Ar23
"
2022.11.23_14.02.33",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-73.0,-13.0,13.0,5Ar23
"
2022.11.23_14.02.34",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-73.0,-13.0,13.0,5Ar23
"
2022.11.23_14.02.35",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.36",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.37",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,10.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.38",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-75.0,-12.0,12.0,5Ar23
"
2022.11.23_14.02.39",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,9.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-11.0,14.0,5Ar23
"
2022.11.23_14.02.40",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,9.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-11.0,14.0,5Ar23
"
2022.11.23_14.02.41",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-12.0,14.0,5Ar23
"
2022.11.23_14.02.42",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,29.0,51.0,166.0,166.0,D,PERIODIC,-74.0,-12.0,14.0,5Ar23
"
2022.11.23_14.02.43",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-13.0,15.0,5Ar23
"
2022.11.23_14.02.44",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-13.0,15.0,5Ar23
"
2022.11.23_14.02.45",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,15.0,5Ar23
"
2022.11.23_14.02.46",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,11.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-74.0,-13.0,15.0,5Ar23
"
2022.11.23_14.02.47",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,11.0,-,89.0,59.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,15.0,5Ar23
"
2022.11.23_14.02.48",7.072956,43.616795,5G,5G,-101.0,-3.0,18.0,9.0,-,605.0,122.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,12.0,5Ar23
"
2022.11.23_14.02.49",7.072956,43.616795,5G,5G,-98.0,-3.0,18.0,9.0,-,32874.0,482.0,166.0,166.0,D,PERIODIC,-74.0,-13.0,12.0,5Ar23
