Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_13.58.27",7.073417,43.61658,5G,5G,-99.0,-3.0,19.0,15.0,-,1.0,0.0,165.0,165.0,D,LOG START,-83.0,-12.0,9.0,5At23
"
2022.11.23_13.58.28",7.073417,43.61658,5G,5G,-99.0,-3.0,19.0,15.0,-,0.0,0.0,165.0,165.0,D,PERIODIC,-83.0,-12.0,9.0,5At23
"
2022.11.23_13.58.28",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,19.0,15.0,-,0.0,0.0,166.0,166.0,D,,-83.0,-12.0,9.0,5At23
"
2022.11.23_13.58.29",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,19.0,8.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-82.0,-13.0,11.0,5At23
"
2022.11.23_13.58.30",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,19.0,8.0,-,61.0,31.0,166.0,166.0,D,PERIODIC,-82.0,-13.0,11.0,5At23
"
2022.11.23_13.58.31",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,17.0,15.0,-,119.0,14.0,166.0,166.0,D,PERIODIC,-83.0,-12.0,13.0,5At23
"
2022.11.23_13.58.32",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,17.0,15.0,-,11.0,5.0,166.0,166.0,D,PERIODIC,-83.0,-12.0,13.0,5At23
"
2022.11.23_13.58.33",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,16.0,9.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-80.0,-11.0,9.0,5At23
"
2022.11.23_13.58.34",7.073367999999999,43.616602,5G,5G,-99.0,-3.0,16.0,9.0,-,93.0,23.0,166.0,166.0,D,PERIODIC,-80.0,-11.0,9.0,5At23
"
2022.11.23_13.58.35",7.073367999999999,43.616602,5G,5G,-97.0,-3.0,17.0,12.0,-,2.0,1.0,166.0,166.0,D,PERIODIC,-79.0,-10.0,14.0,5At23
"
2022.11.23_13.58.36",7.073367999999999,43.616602,5G,5G,-97.0,-3.0,17.0,12.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-79.0,-10.0,14.0,5At23
"
2022.11.23_13.58.37",7.073367999999999,43.616602,5G,5G,-97.0,-3.0,17.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-81.0,-9.0,8.0,5At23
"
2022.11.23_13.58.38",7.073367999999999,43.616602,5G,5G,-101.0,-4.0,19.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-81.0,-9.0,8.0,5At23
"
2022.11.23_13.58.39",7.073367999999999,43.616602,5G,5G,-101.0,-3.0,19.0,10.0,-,0.0,0.0,166.0,166.0,D,PERIODIC,-83.0,-13.0,9.0,5At23
"
2022.11.23_13.58.40",7.073367999999999,43.616602,5G,5G,-101.0,-3.0,19.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-83.0,-13.0,9.0,5At23
"
2022.11.23_13.58.41",7.073269,43.616657000000004,5G,5G,-101.0,-3.0,19.0,10.0,-,0.0,0.0,166.0,166.0,I,,-83.0,-13.0,9.0,5At23
"
2022.11.23_13.58.41",7.073269,43.616657000000004,5G,5G,-101.0,-3.0,19.0,15.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-81.0,-13.0,-12.0,5At23
