Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_16.38.30",7.021669,43.554248,5G,5G,-77.0,-3.0,22.0,14.0,-,1.0,1.0,71.0,71.0,D,LOG START,-63.0,-11.0,24.0,5Aty (1)
"
2022.11.23_16.38.31",7.021669,43.554248,5G,5G,-77.0,-3.0,22.0,14.0,-,1.0,1.0,71.0,71.0,D,,-63.0,-11.0,24.0,5Aty (1)
"
2022.11.23_16.38.31",7.021669,43.554248,5G,5G,-77.0,-3.0,22.0,14.0,-,0.0,0.0,71.0,71.0,D,PERIODIC,-63.0,-11.0,24.0,5Aty (1)
"
2022.11.23_16.38.32",7.021669,43.554248,5G,5G,-80.0,-3.0,22.0,14.0,-,0.0,0.0,71.0,71.0,I,PERIODIC,-63.0,-11.0,24.0,5Aty (1)
"
2022.11.23_16.38.33",7.021669,43.554248,5G,5G,-80.0,-3.0,22.0,14.0,-,77.0,6.0,71.0,71.0,D,PERIODIC,-61.0,-11.0,26.0,5Aty (1)
"
2022.11.23_16.38.34",7.021669,43.554248,5G,5G,-78.0,-3.0,22.0,14.0,-,6.0,2.0,71.0,71.0,D,PERIODIC,-61.0,-11.0,26.0,5Aty (1)
"
2022.11.23_16.38.35",7.021669,43.554248,5G,5G,-78.0,-3.0,22.0,14.0,-,74.0,7.0,71.0,71.0,D,PERIODIC,-64.0,-11.0,-5.0,5Aty (1)
"
2022.11.23_16.38.36",7.021669,43.554248,5G,5G,-78.0,-3.0,22.0,14.0,-,15.0,10.0,71.0,71.0,D,PERIODIC,-64.0,-11.0,-5.0,5Aty (1)
"
2022.11.23_16.38.37",7.021669,43.554248,5G,5G,-78.0,-3.0,22.0,15.0,-,5.0,2.0,71.0,71.0,D,PERIODIC,-62.0,-11.0,24.0,5Aty (1)
"
2022.11.23_16.38.38",7.021669,43.554248,5G,5G,-78.0,-3.0,22.0,15.0,-,0.0,0.0,71.0,71.0,D,PERIODIC,-62.0,-11.0,24.0,5Aty (1)
