Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_19.25.53",7.088033,43.602699,5G,5G,-94.0,-3.0,16.0,7,-,0.0,0.0,137.0,137.0,I,LOG START,-90.0,-14.0,3.0,5Av29
"
2022.08.29_19.25.53",7.088033,43.602699,5G,5G,-94.0,-3.0,16.0,7,-,0.0,0.0,137.0,137.0,I,,-90.0,-14.0,3.0,5Av29
"
2022.08.29_19.25.54",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,7,-,0.0,0.0,137.0,137.0,I,PERIODIC,-90.0,-14.0,3.0,5Av29
"
2022.08.29_19.25.55",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,7,-,0.0,0.0,137.0,137.0,I,PERIODIC,-90.0,-14.0,3.0,5Av29
"
2022.08.29_19.25.56",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,7,-,0.0,0.0,137.0,137.0,I,PERIODIC,-90.0,-14.0,3.0,5Av29
"
2022.08.29_19.25.57",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,11,-,0.0,0.0,137.0,137.0,I,PERIODIC,-87.0,-15.0,4.0,5Av29
"
2022.08.29_19.25.58",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,11,-,0.0,0.0,137.0,137.0,I,PERIODIC,-87.0,-15.0,4.0,5Av29
"
2022.08.29_19.25.59",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,9,-,57.0,14.0,137.0,137.0,D,PERIODIC,-89.0,-13.0,5.0,5Av29
"
2022.08.29_19.26.00",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,9,-,0.0,0.0,137.0,137.0,I,PERIODIC,-89.0,-13.0,5.0,5Av29
"
2022.08.29_19.26.01",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,10,-,0.0,0.0,137.0,137.0,I,PERIODIC,-88.0,-14.0,-14.0,5Av29
"
2022.08.29_19.26.02",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,10,-,56.0,29.0,137.0,137.0,D,PERIODIC,-88.0,-14.0,-14.0,5Av29
"
2022.08.29_19.26.03",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,10,-,92.0,21.0,137.0,137.0,D,PERIODIC,-88.0,-14.0,-14.0,5Av29
"
2022.08.29_19.26.04",7.088033,43.602699,5G,5G,-93.0,-3.0,15.0,10,-,16.0,6.0,137.0,137.0,D,PERIODIC,-88.0,-14.0,-14.0,5Av29
