Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_16.07.22",7.119459,43.586223,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,63.0,63.0,I,LOG START,-71.0,-10.0,7.0,5Aw22n
"
2022.11.22_16.07.23",7.119346000000001,43.586234999999995,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,65.0,65.0,I,,-71.0,-10.0,7.0,5Aw22n
"
2022.11.22_16.07.23",7.119346000000001,43.586234999999995,5G,5G,-82.0,-3.0,20.0,12,-,0.0,0.0,65.0,65.0,I,PERIODIC,-71.0,-9.0,-13.0,5Aw22n
"
2022.11.22_16.07.24",7.119346000000001,43.586234999999995,5G,5G,-82.0,-3.0,20.0,12,-,0.0,0.0,65.0,65.0,I,PERIODIC,-71.0,-9.0,-13.0,5Aw22n
"
2022.11.22_16.07.25",7.119346000000001,43.586234999999995,5G,5G,-84.0,-3.0,17.0,13,-,0.0,0.0,65.0,65.0,I,PERIODIC,-73.0,-11.0,-12.0,5Aw22n
"
2022.11.22_16.07.26",7.119346000000001,43.586234999999995,5G,5G,-86.0,-3.0,15.0,13,-,0.0,0.0,65.0,65.0,I,PERIODIC,-73.0,-11.0,-12.0,5Aw22n
"
2022.11.22_16.07.27",7.119346000000001,43.586234999999995,5G,5G,-86.0,-3.0,15.0,11,-,0.0,0.0,65.0,65.0,I,PERIODIC,-71.0,-8.0,8.0,5Aw22n
"
2022.11.22_16.07.28",7.119346000000001,43.586234999999995,5G,5G,-89.0,-3.0,17.0,11,-,0.0,1.0,65.0,65.0,D,PERIODIC,-71.0,-8.0,8.0,5Aw22n
"
2022.11.22_16.07.29",7.119346000000001,43.586234999999995,5G,5G,-89.0,-3.0,17.0,9,-,0.0,0.0,65.0,65.0,D,PERIODIC,-69.0,-13.0,6.0,5Aw22n
"
2022.11.22_16.07.30",7.119346000000001,43.586234999999995,5G,5G,-85.0,-3.0,11.0,9,-,1.0,1.0,65.0,65.0,D,PERIODIC,-69.0,-13.0,6.0,5Aw22n
"
2022.11.22_16.07.31",7.119346000000001,43.586234999999995,5G,5G,-85.0,-3.0,11.0,8,-,70.0,66.0,65.0,65.0,D,PERIODIC,-63.0,-13.0,5.0,5Aw22n
"
2022.11.22_16.07.32",7.119346000000001,43.586234999999995,5G,5G,-85.0,-3.0,11.0,8,-,31.0,6.0,65.0,65.0,D,PERIODIC,-63.0,-13.0,5.0,5Aw22n
"
2022.11.22_16.07.33",7.119346000000001,43.586234999999995,5G,5G,-85.0,-3.0,17.0,8,-,136.0,33.0,65.0,65.0,D,PERIODIC,-63.0,-13.0,5.0,5Aw22n
"
2022.11.22_16.07.34",7.119346000000001,43.586234999999995,5G,5G,-85.0,-3.0,17.0,8,-,258.0,126.0,65.0,65.0,D,PERIODIC,-63.0,-13.0,5.0,5Aw22n
