Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_16.34.36",7.021649000000001,43.554254,5G,5G,-80.0,-3.0,20.0,15.0,-,0.0,1.0,63.0,63.0,D,LOG START,-57.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.36",7.021686999999999,43.554239,5G,5G,-80.0,-3.0,20.0,15.0,-,0.0,1.0,72.0,72.0,D,,-57.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.37",7.021686999999999,43.554239,5G,5G,-80.0,-3.0,20.0,14.0,-,0.0,0.0,72.0,72.0,D,PERIODIC,-57.0,-10.0,23.0,5Awer
"
2022.11.23_16.34.38",7.021686999999999,43.554239,5G,5G,-80.0,-3.0,20.0,14.0,-,2.0,7.0,72.0,72.0,D,PERIODIC,-57.0,-10.0,23.0,5Awer
"
2022.11.23_16.34.39",7.021686999999999,43.554239,5G,5G,-80.0,-3.0,20.0,15.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-57.0,-13.0,-5.0,5Awer
"
2022.11.23_16.34.40",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,15.0,-,66.0,41.0,72.0,72.0,D,PERIODIC,-57.0,-13.0,-5.0,5Awer
"
2022.11.23_16.34.41",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,22.0,15.0,-,99.0,62.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,30.0,5Awer
"
2022.11.23_16.34.42",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,15.0,-,77.0,10.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,30.0,5Awer
"
2022.11.23_16.34.43",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,13.0,-,50.0,33.0,72.0,72.0,D,PERIODIC,-69.0,-12.0,23.0,5Awer
"
2022.11.23_16.34.44",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,13.0,-,235.0,101.0,72.0,72.0,D,PERIODIC,-69.0,-12.0,23.0,5Awer
"
2022.11.23_16.34.45",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,13.0,-,1764.0,21.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,24.0,5Awer
"
2022.11.23_16.34.46",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,13.0,-,90.0,25.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,24.0,5Awer
"
2022.11.23_16.34.47",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,9.0,3.0,72.0,72.0,D,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.48",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,0.0,0.0,72.0,72.0,D,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.49",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.50",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.51",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.52",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,14.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-13.0,-6.0,5Awer
"
2022.11.23_16.34.53",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,12.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.54",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,12.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.55",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,12.0,-,0.0,0.0,72.0,72.0,I,PERIODIC,-59.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.56",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,12.0,-,0.0,2.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,24.0,5Awer
"
2022.11.23_16.34.57",7.021686999999999,43.554239,5G,5G,-79.0,-3.0,21.0,13.0,-,738.0,154.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,25.0,5Awer
"
2022.11.23_16.34.58",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,19.0,13.0,-,22705.0,462.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,25.0,5Awer
"
2022.11.23_16.34.59",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,19.0,13.0,-,81165.0,460.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,25.0,5Awer
"
2022.11.23_16.35.00",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,12.0,-,53792.0,1229.0,72.0,72.0,D,PERIODIC,-56.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.01",7.021686999999999,43.554239,5G,5G,-76.0,-3.0,20.0,12.0,-,35657.0,323.0,72.0,72.0,D,PERIODIC,-56.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.02",7.021686999999999,43.554239,5G,5G,-76.0,-3.0,21.0,12.0,-,4.0,6.0,72.0,72.0,D,PERIODIC,-61.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.03",7.021686999999999,43.554239,5G,5G,-77.0,-3.0,20.0,12.0,-,12485.0,122.0,72.0,72.0,D,PERIODIC,-61.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.04",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,10.0,-,21595.0,108.0,72.0,72.0,D,PERIODIC,-61.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.05",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,10.0,-,4.0,22.0,72.0,72.0,D,PERIODIC,-61.0,-11.0,25.0,5Awer
"
2022.11.23_16.35.06",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,10.0,-,28241.0,177.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,27.0,5Awer
"
2022.11.23_16.35.07",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,10.0,-,35651.0,195.0,72.0,72.0,D,PERIODIC,-57.0,-11.0,27.0,5Awer
"
2022.11.23_16.35.08",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,20.0,15.0,-,4.0,6.0,72.0,72.0,D,PERIODIC,-58.0,-12.0,23.0,5Awer
"
2022.11.23_16.35.09",7.021686999999999,43.554239,5G,5G,-77.0,-3.0,21.0,15.0,-,4.0,5.0,72.0,72.0,D,PERIODIC,-58.0,-12.0,23.0,5Awer
"
2022.11.23_16.35.10",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,14.0,-,47648.0,225.0,72.0,72.0,D,PERIODIC,-60.0,-13.0,25.0,5Awer
"
2022.11.23_16.35.11",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,14.0,-,56.0,20.0,72.0,72.0,D,PERIODIC,-60.0,-13.0,25.0,5Awer
"
2022.11.23_16.35.12",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,14.0,-,65.0,57.0,72.0,72.0,D,PERIODIC,-60.0,-13.0,25.0,5Awer
"
2022.11.23_16.35.13",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,12.0,-,28255.0,189.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,24.0,5Awer
"
2022.11.23_16.35.14",7.021686999999999,43.554239,5G,5G,-78.0,-3.0,21.0,12.0,-,4.0,6.0,72.0,72.0,D,PERIODIC,-59.0,-12.0,24.0,5Awer
